,what,monastery,did,the,saint-evroul,monks,establish,in,italy,?
under,0.20154598355293274,0.1729365438222885,0.20815621316432953,0.3348022699356079,0.25939956307411194,0.14061850309371948,0.15733370184898376,0.2535393238067627,0.22012680768966675,0.18233340978622437
the,0.42745697498321533,0.22441139817237854,0.34736719727516174,1.0,0.34619078040122986,0.21652711927890778,0.31343501806259155,0.6662389636039734,0.2633645832538605,0.22068053483963013
norman,0.12319435924291611,0.13585245609283447,0.1672605574131012,0.23459704220294952,0.3038793206214905,0.2601599395275116,0.09955646097660065,0.17613162100315094,0.20724600553512573,0.12243545055389404
abbot,0.11491783708333969,0.5095549821853638,0.12099624425172806,0.1794712245464325,0.5027722716331482,0.4904017150402069,0.14711663126945496,0.1286536306142807,0.14396966993808746,0.109479621052742
robert,0.1948658525943756,0.13084611296653748,0.16245460510253906,0.2257954627275467,0.22203993797302246,0.15098412334918976,0.053762003779411316,0.22155319154262543,0.16670899093151093,0.11293095350265503
de,0.10476839542388916,0.21760620176792145,0.09745011478662491,0.23491892218589783,0.37336739897727966,0.08223184943199158,0.16102133691310883,0.24818959832191467,0.1590152382850647,0.11064168810844421
grantmesnil,0.2537213861942291,0.31303566694259644,0.18269316852092743,0.3191452920436859,0.5990417003631592,0.2933844029903412,0.2603617310523987,0.30116593837738037,0.2386135309934616,0.2753920555114746
",",0.3087472915649414,0.19176508486270905,0.3015086054801941,0.4933079481124878,0.3705630302429199,0.17870470881462097,0.19669954478740692,0.5201468467712402,0.2497674822807312,0.31091248989105225
several,0.22446060180664062,0.12588977813720703,0.24080568552017212,0.40559855103492737,0.20240409672260284,0.17978636920452118,0.2117169201374054,0.39405709505081177,0.21132557094097137,0.15595775842666626
monks,0.2028580605983734,0.6571652293205261,0.18693049252033234,0.21652711927890778,0.4172104299068451,1.0,0.12495453655719757,0.23887430131435394,0.19604729115962982,0.12877516448497772
of,0.33290785551071167,0.23102009296417236,0.2513895630836487,0.733189046382904,0.36568978428840637,0.2314586341381073,0.210533007979393,0.5696388483047485,0.2844046950340271,0.1826142966747284
saint-evroul,0.27515196800231934,0.42909127473831177,0.2079707533121109,0.34619078040122986,1.0,0.4172104299068451,0.17718401551246643,0.28636065125465393,0.27446290850639343,0.27136653661727905
fled,0.17151756584644318,0.2799467146396637,0.3007028102874756,0.27857163548469543,0.26719918847084045,0.3475121557712555,0.24428164958953857,0.28289681673049927,0.23710396885871887,0.13968057930469513
to,0.455847829580307,0.21633468568325043,0.4452643394470215,0.535392165184021,0.2977866232395172,0.29168152809143066,0.32019129395484924,0.45010748505592346,0.19335418939590454,0.29463258385658264
southern,0.18679563701152802,0.18579313158988953,0.13322393596172333,0.3282862603664398,0.32266148924827576,0.20271526277065277,0.1504799723625183,0.3190481662750244,0.24130389094352722,0.11225555837154388
italy,0.16949890553951263,0.18339182436466217,0.10825580358505249,0.2633645832538605,0.27446290850639343,0.19604729115962982,0.06662072241306305,0.3334544897079468,1.0,0.11567100137472153
",",0.3087472915649414,0.19176508486270905,0.3015086054801941,0.4933079481124878,0.3705630302429199,0.17870470881462097,0.19669954478740692,0.5201468467712402,0.2497674822807312,0.31091248989105225
where,0.4457937180995941,0.19567489624023438,0.24159270524978638,0.5003893971443176,0.2668326199054718,0.28270384669303894,0.18938548862934113,0.5344807505607605,0.2641044557094574,0.24793872237205505
they,0.4431931674480438,0.1898472160100937,0.4879390597343445,0.49925389885902405,0.2591578960418701,0.3008573055267334,0.23672963678836823,0.4330179989337921,0.1823738068342209,0.2753053903579712
were,0.22298263013362885,0.193439781665802,0.4162326455116272,0.3906462490558624,0.26732704043388367,0.29595303535461426,0.15369434654712677,0.3815755248069763,0.21057331562042236,0.17890112102031708
