,some,of,the,income,went,to,the,purchase,of,arms,which,exacerbated,political,tension,especially,in,which,area,?
much,0.498896986246109,0.2671096920967102,0.35023224353790283,0.22319182753562927,0.17840880155563354,0.40610215067863464,0.35023224353790283,0.21499411761760712,0.2671096920967102,0.19145633280277252,0.4274604916572571,0.3603917956352234,0.14760065078735352,0.23674389719963074,0.47381144762039185,0.2725222110748291,0.4274604916572571,0.23905497789382935,0.23442231118679047
went,0.22878345847129822,0.2527906000614166,0.3345835506916046,0.17222389578819275,1.0,0.33234721422195435,0.3345835506916046,0.1253356635570526,0.2527906000614166,0.14440594613552094,0.17248094081878662,0.2065822035074234,0.19685131311416626,0.1118876188993454,0.2011508196592331,0.30470821261405945,0.17248094081878662,0.21133454144001007,0.12109432369470596
for,0.4257155656814575,0.4185989499092102,0.4739971458911896,0.27512091398239136,0.26803430914878845,0.4451248347759247,0.4739971458911896,0.2267349809408188,0.4185989499092102,0.14311425387859344,0.44095608592033386,0.28991079330444336,0.24620850384235382,0.23103433847427368,0.42758095264434814,0.4322226941585541,0.44095608592033386,0.20941852033138275,0.264628142118454
arms,0.23259331285953522,0.30713436007499695,0.2508765757083893,0.18849186599254608,0.14440594613552094,0.19866348803043365,0.2508765757083893,0.15093009173870087,0.30713436007499695,0.9999999403953552,0.2236589938402176,0.18392367660999298,0.1648307591676712,0.14713595807552338,0.16301275789737701,0.2064935863018036,0.2236589938402176,0.1299084722995758,0.1243237629532814
purchases,0.2833588719367981,0.22748708724975586,0.24318276345729828,0.3514760434627533,0.1579466313123703,0.2596205174922943,0.24318276345729828,0.9247592687606812,0.22748708724975586,0.1374153047800064,0.2980690002441406,0.2070692479610443,0.13447009027004242,0.15159787237644196,0.16792674362659454,0.19206173717975616,0.2980690002441406,0.15042993426322937,0.06198372691869736
that,0.6049469113349915,0.41498205065727234,0.5473989248275757,0.2627509534358978,0.1990986317396164,0.5436353087425232,0.5473989248275757,0.2909925580024719,0.41498205065727234,0.23017831146717072,0.6894589066505432,0.39910414814949036,0.2016311138868332,0.3515162169933319,0.40526580810546875,0.435920387506485,0.6894589066505432,0.2566552460193634,0.32716336846351624
exacerbated,0.3417387008666992,0.34209468960762024,0.33966222405433655,0.26657792925834656,0.2065822035074234,0.2781783640384674,0.33966222405433655,0.1987854391336441,0.34209468960762024,0.18392367660999298,0.3956272602081299,1.0,0.2378453016281128,0.27406060695648193,0.3792199194431305,0.265819251537323,0.3956272602081299,0.22505590319633484,0.23153939843177795
political,0.20301494002342224,0.27319738268852234,0.20477235317230225,0.2540283501148224,0.19685131311416626,0.2065112292766571,0.20477235317230225,0.12961794435977936,0.27319738268852234,0.1648307591676712,0.15920867025852203,0.2378453016281128,1.0000001192092896,0.20195898413658142,0.21054859459400177,0.22136160731315613,0.15920867025852203,0.1672178953886032,0.17130474746227264
tensions,0.26241278648376465,0.26010504364967346,0.27084341645240784,0.22561782598495483,0.14376480877399445,0.2460726797580719,0.27084341645240784,0.10282978415489197,0.26010504364967346,0.20141635835170746,0.2921615540981293,0.30058205127716064,0.33083564043045044,0.8470738530158997,0.27660563588142395,0.2865762710571289,0.2921615540981293,0.21595269441604614,0.16045744717121124
",",0.42400437593460083,0.4946078956127167,0.4933079481124878,0.19703416526317596,0.29013195633888245,0.44245919585227966,0.4933079481124878,0.220005065202713,0.4946078956127167,0.1768338978290558,0.3658004403114319,0.28781822323799133,0.27072274684906006,0.15723368525505066,0.3689771592617035,0.5201468467712402,0.3658004403114319,0.2664283812046051,0.31091248989105225
particularly,0.5231269598007202,0.30258041620254517,0.32132959365844727,0.21079540252685547,0.15175819396972656,0.33588847517967224,0.32132959365844727,0.1221839189529419,0.30258041620254517,0.13693787157535553,0.4413786828517914,0.35339826345443726,0.25186797976493835,0.30966460704803467,0.6944306492805481,0.33242201805114746,0.4413786828517914,0.193064883351326,0.2644225060939789
in,0.4010399878025055,0.5696388483047485,0.6662389636039734,0.1795814335346222,0.30470821261405945,0.45010748505592346,0.6662389636039734,0.18969708681106567,0.5696388483047485,0.2064935863018036,0.4840516746044159,0.265819251537323,0.22136160731315613,0.26541417837142944,0.3526567816734314,1.0,0.4840516746044159,0.33632898330688477,0.20430970191955566
the,0.4566698372364044,0.733189046382904,1.0,0.23699946701526642,0.3345835506916046,0.535392165184021,1.0,0.242343470454216,0.733189046382904,0.2508765757083893,0.6521818041801453,0.33966222405433655,0.20477235317230225,0.28513848781585693,0.39420849084854126,0.6662389636039734,0.6521818041801453,0.37834644317626953,0.22068053483963013
middle,0.21445779502391815,0.2799445688724518,0.3405749201774597,0.2744423747062683,0.16391931474208832,0.2015334814786911,0.3405749201774597,0.09611979126930237,0.2799445688724518,0.20618915557861328,0.22406704723834991,0.18226660788059235,0.22539913654327393,0.1951889842748642,0.2200390249490738,0.26767921447753906,0.22406704723834991,0.21394044160842896,0.13139553368091583
east,0.1941682994365692,0.314786434173584,0.3383176326751709,0.17102165520191193,0.25950226187705994,0.24717837572097778,0.3383176326751709,0.1905553638935089,0.314786434173584,0.14562976360321045,0.22817298769950867,0.0903613492846489,0.177991583943367,0.1587880402803421,0.17035320401191711,0.32659441232681274,0.22817298769950867,0.39479681849479675,0.10070597380399704
.,0.40663889050483704,0.5352458953857422,0.5934505462646484,0.26448529958724976,0.27773603796958923,0.4645031690597534,0.5934505462646484,0.21300923824310303,0.5352458953857422,0.18833984434604645,0.45942068099975586,0.2854521572589874,0.24802669882774353,0.21468229591846466,0.329635351896286,0.5591574311256409,0.45942068099975586,0.2760866582393646,0.4130953550338745
