,how,old,was,tesla,when,he,became,a,us,citizen,?
on,0.32655060291290283,0.21449986100196838,0.3909217119216919,0.16159376502037048,0.37706470489501953,0.32403138279914856,0.19448097050189972,0.3848365545272827,0.2646999955177307,0.15227127075195312,0.2714994251728058
30,-0.0035910264123231173,0.05475926026701927,0.08394331485033035,-0.04432673379778862,0.07008512318134308,0.09904062002897263,0.09589818120002747,-0.003403416834771633,0.023661255836486816,-0.016239361837506294,-0.08261742442846298
july,0.14530204236507416,0.15088678896427155,0.40724116563796997,0.1044287383556366,0.24211758375167847,0.2984912395477295,0.2311512678861618,0.23807190358638763,0.18137727677822113,0.2618657648563385,0.2897891402244568
1891,0.10361551493406296,0.10769730806350708,0.16745510697364807,0.09345825016498566,0.06664902716875076,0.284648060798645,0.18665292859077454,0.15026944875717163,0.22074803709983826,0.2645869255065918,0.17882704734802246
",",0.22659391164779663,0.26524028182029724,0.45456063747406006,0.20599327981472015,0.36674630641937256,0.40251094102859497,0.2798398435115814,0.427140474319458,0.3120202422142029,0.23887503147125244,0.31091248989105225
at,0.2154216170310974,0.17987459897994995,0.36707764863967896,0.16552478075027466,0.38876327872276306,0.3280475437641144,0.23894885182380676,0.3095070421695709,0.2341633439064026,0.19782142341136932,0.21978627145290375
the,0.33890387415885925,0.31849798560142517,0.48711544275283813,0.1324402391910553,0.5091903209686279,0.4571082592010498,0.36325156688690186,0.5829201340675354,0.25727739930152893,0.21445687115192413,0.22068053483963013
age,0.17137715220451355,0.3780447840690613,0.27072176337242126,0.07816897332668304,0.30780088901519775,0.3103105127811432,0.24982047080993652,0.19297243654727936,0.09961831569671631,0.29105690121650696,0.16859300434589386
of,0.2480744868516922,0.30522194504737854,0.4069072902202606,0.18837453424930573,0.3757161796092987,0.38706058263778687,0.3638904094696045,0.5052502155303955,0.23568789660930634,0.19158314168453217,0.1826142966747284
35,-0.11944353580474854,-0.1382424533367157,-0.07451801747083664,-0.07225775718688965,-0.11391286551952362,-0.022917890921235085,-0.05737300589680672,-0.017194027081131935,0.06522811204195023,-0.037308499217033386,-0.044106997549533844
",",0.22659391164779663,0.26524028182029724,0.45456063747406006,0.20599327981472015,0.36674630641937256,0.40251094102859497,0.2798398435115814,0.427140474319458,0.3120202422142029,0.23887503147125244,0.31091248989105225
tesla,0.19128404557704926,0.13497856259346008,0.16455206274986267,0.9999999403953552,0.1504557579755783,0.12373391538858414,0.12976884841918945,0.2211925983428955,0.2018621414899826,0.16133640706539154,0.10250775516033173
became,0.10954522341489792,0.233250692486763,0.6575068235397339,0.12976884841918945,0.32363733649253845,0.4161640405654907,1.0,0.28774285316467285,0.13816098868846893,0.3172663748264313,0.11374033987522125
