,what,value,does,the,seperating,into,fermions,and,bosons,depend,?
depending,0.3483159840106964,0.34180718660354614,0.36036571860313416,0.3423977494239807,0.34541893005371094,0.2375688999891281,0.2699183225631714,0.3186084032058716,0.2574129104614258,0.7817660570144653,0.21704205870628357
on,0.34226128458976746,0.14862556755542755,0.2568802833557129,0.5107308030128479,0.3353864848613739,0.30585673451423645,0.14022572338581085,0.4077630043029785,0.17696219682693481,0.30157047510147095,0.2714994251728058
the,0.42745697498321533,0.16908381879329681,0.35928019881248474,1.0,0.2827416658401489,0.39493247866630554,0.2234962284564972,0.5171257257461548,0.21860371530056,0.26284557580947876,0.22068053483963013
value,0.24056871235370636,1.0,0.24607554078102112,0.16908381879329681,0.2648305296897888,0.10322462022304535,0.2630906105041504,0.24539050459861755,0.26288720965385437,0.34205710887908936,0.23920650780200958
of,0.33290785551071167,0.14933855831623077,0.3119818866252899,0.733189046382904,0.26366955041885376,0.32255905866622925,0.233738973736763,0.5116966962814331,0.22500739991664886,0.2895388901233673,0.1826142966747284
the,0.42745697498321533,0.16908381879329681,0.35928019881248474,1.0,0.2827416658401489,0.39493247866630554,0.2234962284564972,0.5171257257461548,0.21860371530056,0.26284557580947876,0.22068053483963013
spin,0.1801164597272873,0.1219012662768364,0.16342073678970337,0.22827482223510742,0.22540555894374847,0.192012220621109,0.4436461925506592,0.16865940392017365,0.42281296849250793,0.13953249156475067,0.10766658186912537
",",0.3087472915649414,0.23697449266910553,0.28617382049560547,0.4933079481124878,0.3120349049568176,0.2826121151447296,0.24819830060005188,0.6633074283599854,0.24658267199993134,0.20705392956733704,0.31091248989105225
identical,0.23528943955898285,0.13390375673770905,0.23736457526683807,0.2547973096370697,0.3306370675563812,0.22512155771255493,0.32791668176651,0.26339876651763916,0.2783225476741791,0.2181447446346283,0.17817780375480652
particles,0.26094838976860046,0.20866917073726654,0.21566829085350037,0.23884518444538116,0.24837835133075714,0.25418001413345337,0.725257933139801,0.23946726322174072,0.741854190826416,0.25517141819000244,0.22255320847034454
split,0.2802104353904724,0.07295244187116623,0.14161136746406555,0.2967630624771118,0.289595365524292,0.43188852071762085,0.23541145026683807,0.3033278286457062,0.1789223849773407,0.05407954007387161,0.16133880615234375
into,0.2180619090795517,0.10322462022304535,0.22312942147254944,0.39493247866630554,0.24576476216316223,1.0,0.19493311643600464,0.36597734689712524,0.17366191744804382,0.1704639047384262,0.15662476420402527
two,0.23363454639911652,0.0562245212495327,0.2100418359041214,0.43858039379119873,0.2548527717590332,0.34175926446914673,0.3596303462982178,0.4671151638031006,0.30232948064804077,0.18676811456680298,0.19645625352859497
different,0.39262300729751587,0.19655272364616394,0.30926814675331116,0.36412742733955383,0.345778226852417,0.31681573390960693,0.38310325145721436,0.39536112546920776,0.3245461583137512,0.4925391376018524,0.24476227164268494
classes,0.20746955275535583,0.1714668571949005,0.16797713935375214,0.21469499170780182,0.19472123682498932,0.23469138145446777,0.2910701334476471,0.2892279624938965,0.2675588130950928,0.24911679327487946,0.14397528767585754
",",0.3087472915649414,0.23697449266910553,0.28617382049560547,0.4933079481124878,0.3120349049568176,0.2826121151447296,0.24819830060005188,0.6633074283599854,0.24658267199993134,0.20705392956733704,0.31091248989105225
fermions,0.28718090057373047,0.2630906105041504,0.2979733645915985,0.2234962284564972,0.2883204221725464,0.19493311643600464,1.0000001192092896,0.23113790154457092,0.765290379524231,0.2624727785587311,0.23825699090957642
and,0.31309178471565247,0.24539050459861755,0.3461615741252899,0.5171257257461548,0.2682031989097595,0.36597734689712524,0.23113790154457092,1.0,0.23966842889785767,0.24564869701862335,0.20544172823429108
bosons,0.2764873802661896,0.26288720965385437,0.24769136309623718,0.21860371530056,0.2667655348777771,0.17366191744804382,0.765290379524231,0.23966842889785767,0.9999999403953552,0.2353944331407547,0.20861397683620453
.,0.3567904531955719,0.21357886493206024,0.3022993505001068,0.5934505462646484,0.2860715985298157,0.26250120997428894,0.2509286403656006,0.588965117931366,0.2409217655658722,0.2650664448738098,0.4130953550338745
