,what,flood,impacted,the,meuse,?
before,0.3801657259464264,0.22301658987998962,0.26574158668518066,0.45900648832321167,0.13810652494430542,0.2507109045982361
the,0.42745697498321533,0.2599719166755676,0.2348020076751709,1.0,0.28249096870422363,0.22068053483963013
st.,0.10219959169626236,0.13204973936080933,0.07778742909431458,0.18141359090805054,0.19845344126224518,0.13592876493930817
elizabeth,0.18697009980678558,0.1532786786556244,0.14801448583602905,0.19892844557762146,0.07596897333860397,0.157150536775589
's,0.02692362666130066,0.04508885741233826,0.00119389605242759,-0.01540423184633255,0.036204323172569275,-0.023395681753754616
flood,0.23546519875526428,1.0000001192092896,0.2839801609516144,0.2599719166755676,0.2012663632631302,0.2279077023267746
(,0.2411840260028839,0.19329702854156494,0.19812548160552979,0.33289089798927307,0.21577869355678558,0.40561532974243164
1421,-0.14201338589191437,-0.094045490026474,-0.13976478576660156,0.04676410183310509,0.2381410002708435,-0.17428839206695557
),0.26259949803352356,0.17958250641822815,0.18384158611297607,0.3456730246543884,0.21203434467315674,0.42300865054130554
",",0.3087472915649414,0.2639766335487366,0.27414676547050476,0.4933079481124878,0.21688565611839294,0.31091248989105225
the,0.42745697498321533,0.2599719166755676,0.2348020076751709,1.0,0.28249096870422363,0.22068053483963013
meuse,0.1806630939245224,0.2012663632631302,0.16147145628929138,0.28249096870422363,0.9999999403953552,0.21687322854995728
flowed,0.1444557160139084,0.37243786454200745,0.29657453298568726,0.3597415089607239,0.2745228111743927,0.13853344321250916
just,0.5854880809783936,0.2925576865673065,0.24632059037685394,0.40061673521995544,0.21334096789360046,0.4144178032875061
south,0.15388517081737518,0.21829523146152496,0.23757342994213104,0.3129390776157379,0.2827702462673187,0.12336621433496475
of,0.33290785551071167,0.22012197971343994,0.2348475158214569,0.733189046382904,0.20204558968544006,0.1826142966747284
today,0.3814660608768463,0.1634962111711502,0.1419578492641449,0.35740926861763,0.12816621363162994,0.17338968813419342
's,0.02692362666130066,0.04508885741233826,0.00119389605242759,-0.01540423184633255,0.036204323172569275,-0.023395681753754616
line,0.2245367169380188,0.1417490690946579,0.10667471587657928,0.29789501428604126,0.26629650592803955,0.16271452605724335
merwede-oude,0.11618790775537491,0.1901254653930664,0.1494482159614563,0.24134695529937744,0.5335342884063721,0.16854119300842285
maas,0.13124726712703705,0.2121351808309555,0.14501166343688965,0.1690772920846939,0.5680901408195496,0.1508096158504486
to,0.455847829580307,0.2131204903125763,0.21139752864837646,0.535392165184021,0.17968733608722687,0.29463258385658264
the,0.42745697498321533,0.2599719166755676,0.2348020076751709,1.0,0.28249096870422363,0.22068053483963013
north,0.18673177063465118,0.21283888816833496,0.22174552083015442,0.36298373341560364,0.3197983205318451,0.11829731613397598
sea,0.19525039196014404,0.2606792747974396,0.16209177672863007,0.30363768339157104,0.2636064291000366,0.15551945567131042
and,0.31309178471565247,0.19103416800498962,0.2718685269355774,0.5171257257461548,0.19935591518878937,0.20544172823429108
formed,0.15451857447624207,0.16137485206127167,0.3746340274810791,0.28813210129737854,0.19899822771549225,0.09686966985464096
an,0.2821882665157318,0.17761492729187012,0.1640254706144333,0.4207492768764496,0.10567357391119003,0.19793890416622162
archipelago-like,0.22752943634986877,0.21304845809936523,0.3206181824207306,0.30338016152381897,0.22942385077476501,0.1324818879365921
estuary,0.16203543543815613,0.28302425146102905,0.25001415610313416,0.32509705424308777,0.42840638756752014,0.17284251749515533
with,0.2464839518070221,0.11970382183790207,0.2337174117565155,0.4223487675189972,0.1673470437526703,0.2433311939239502
waal,0.18199798464775085,0.18850372731685638,0.1841200739145279,0.14903073012828827,0.45813530683517456,0.11904393881559372
and,0.31309178471565247,0.19103416800498962,0.2718685269355774,0.5171257257461548,0.19935591518878937,0.20544172823429108
lek,0.05934940651059151,0.14071126282215118,0.1020587757229805,0.17809559404850006,0.25181058049201965,0.12949015200138092
.,0.3567904531955719,0.23594464361667633,0.24438737332820892,0.5934505462646484,0.23117180168628693,0.4130953550338745
