,where,was,the,disease,spreading,between,1348,and,1350,?
from,0.3713873624801636,0.31171464920043945,0.40150508284568787,0.28593382239341736,0.24486413598060608,0.3269653618335724,0.10902312397956848,0.3601827025413513,0.005837444216012955,0.19969791173934937
italy,0.2641044557094574,0.26177310943603516,0.2633645832538605,0.18530432879924774,0.19383957982063293,0.204374298453331,0.0297040157020092,0.25207585096359253,0.06820943206548691,0.11567100137472153
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.29627472162246704,0.259539395570755,0.27714940905570984,0.17199116945266724,0.6633074283599854,-0.10464861989021301,0.31091248989105225
the,0.5003893971443176,0.48711544275283813,1.0,0.22720423340797424,0.3464648723602295,0.39067012071609497,0.17177245020866394,0.5171257257461548,0.15980932116508484,0.22068053483963013
disease,0.17014959454536438,0.1844245046377182,0.22720423340797424,1.0,0.36716070771217346,0.16280439496040344,0.1461547166109085,0.19961869716644287,-0.09117557853460312,0.16159942746162415
spread,0.2061590999364853,0.16506560146808624,0.28994160890579224,0.36523008346557617,0.835309624671936,0.12057363241910934,0.13986876606941223,0.2815358638763428,0.009671805426478386,0.16482828557491302
northwest,0.2237447053194046,0.20665329694747925,0.3162118196487427,0.20314623415470123,0.2111033946275711,0.2297963798046112,0.056192345917224884,0.2169310748577118,0.16045710444450378,0.15228797495365143
across,0.3917434513568878,0.20413610339164734,0.3816230297088623,0.16725283861160278,0.4310753643512726,0.3911133110523224,0.17961615324020386,0.3308866024017334,0.06370063126087189,0.17034576833248138
europe,0.2320680469274521,0.2931758761405945,0.34463706612586975,0.1432574838399887,0.30283159017562866,0.24463391304016113,0.05098693072795868,0.3463572859764099,0.1266968995332718,0.18278923630714417
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.29627472162246704,0.259539395570755,0.27714940905570984,0.17199116945266724,0.6633074283599854,-0.10464861989021301,0.31091248989105225
striking,0.2668541371822357,0.20555302500724792,0.26894596219062805,0.0759148970246315,0.24729901552200317,0.23690184950828552,0.19974537193775177,0.26233795285224915,-0.027474453672766685,0.11332554370164871
france,0.21451038122177124,0.2715669870376587,0.35517507791519165,0.2188250869512558,0.18125781416893005,0.21021217107772827,-0.00036989254294894636,0.2925812005996704,0.2226206660270691,0.15069349110126495
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.29627472162246704,0.259539395570755,0.27714940905570984,0.17199116945266724,0.6633074283599854,-0.10464861989021301,0.31091248989105225
spain,0.21038863062858582,0.21705155074596405,0.259463906288147,0.17549294233322144,0.1620568186044693,0.16656753420829773,-0.01937306486070156,0.2462231069803238,0.11192197352647781,0.16814002394676208
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.29627472162246704,0.259539395570755,0.27714940905570984,0.17199116945266724,0.6633074283599854,-0.10464861989021301,0.31091248989105225
portugal,0.19205471873283386,0.14830951392650604,0.2186722755432129,0.15559589862823486,0.20060189068317413,0.15282663702964783,0.05093515291810036,0.1821029633283615,0.029070647433400154,0.20750629901885986
and,0.43859338760375977,0.3740963041782379,0.5171257257461548,0.19961869716644287,0.328510582447052,0.40645647048950195,0.1306249499320984,1.0,-0.0005520491977222264,0.20544172823429108
england,0.23118865489959717,0.2656741440296173,0.28280043601989746,0.21220144629478455,0.21407021582126617,0.23450130224227905,-0.03390619158744812,0.35173749923706055,0.15972286462783813,0.13436897099018097
