,what,is,an,example,of,an,article,of,uniform,clothing,typically,present,in,australian,private,schools,?
student,0.20548318326473236,0.18911804258823395,0.20635002851486206,0.15551696717739105,0.20310284197330475,0.20635002851486206,0.22775550186634064,0.20310284197330475,0.1913651078939438,0.1619277149438858,0.18384619057178497,0.17572101950645447,0.254856139421463,0.12638774514198303,0.3240567743778229,0.41530340909957886,0.13282090425491333
uniforms,0.2348768413066864,0.14537648856639862,0.1275075227022171,0.23338092863559723,0.21850739419460297,0.1275075227022171,0.24502402544021606,0.21850739419460297,0.8817824125289917,0.48641178011894226,0.2534446716308594,0.17186172306537628,0.19122402369976044,0.17398707568645477,0.21627044677734375,0.33162492513656616,0.1901218593120575
for,0.3017193675041199,0.43268078565597534,0.3236706852912903,0.45665353536605835,0.4185989499092102,0.3236706852912903,0.31357312202453613,0.4185989499092102,0.23248837888240814,0.2317313700914383,0.3479194939136505,0.2564438581466675,0.4322226941585541,0.23053424060344696,0.22242696583271027,0.2320515662431717,0.264628142118454
australian,0.13873113691806793,0.1682673692703247,0.2602223753929138,0.16975679993629456,0.19989325106143951,0.2602223753929138,0.13750313222408295,0.19989325106143951,0.14683234691619873,0.19478558003902435,0.155881866812706,0.0950901061296463,0.1796053647994995,1.0000001192092896,0.10250017791986465,0.13071531057357788,0.10848008096218109
private,0.16778090596199036,0.1420905888080597,0.14829891920089722,0.14079010486602783,0.18706899881362915,0.14829891920089722,0.11464355140924454,0.18706899881362915,0.15416057407855988,0.13480223715305328,0.1948787122964859,0.13450680673122406,0.21135757863521576,0.10250017791986465,1.0,0.4158569872379303,0.14389030635356903
schools,0.1820785105228424,0.2022145688533783,0.13943931460380554,0.166231170296669,0.265506386756897,0.13943931460380554,0.17768268287181854,0.265506386756897,0.24934907257556915,0.21178972721099854,0.20168879628181458,0.08099272847175598,0.2632134258747101,0.13071531057357788,0.4158569872379303,1.0,0.18349280953407288
are,0.29724663496017456,0.5330929756164551,0.1556541919708252,0.4108889698982239,0.39081433415412903,0.1556541919708252,0.23467081785202026,0.39081433415412903,0.1994631439447403,0.233611062169075,0.4610564708709717,0.20985287427902222,0.3841303884983063,0.14346839487552643,0.1694057136774063,0.30816179513931274,0.24591213464736938
generally,0.40614598989486694,0.4094115197658539,0.26753097772598267,0.371061772108078,0.3127037584781647,0.26753097772598267,0.2341187298297882,0.3127037584781647,0.26924970746040344,0.2565307021141052,0.6192160248756409,0.15962818264961243,0.28190043568611145,0.1807878464460373,0.20470187067985535,0.3060886263847351,0.23411904275417328
stricter,0.3493970036506653,0.25423571467399597,0.2590424120426178,0.29048752784729004,0.2826891541481018,0.2590424120426178,0.31820839643478394,0.2826891541481018,0.26986587047576904,0.23323620855808258,0.34811773896217346,0.16939489543437958,0.22230689227581024,0.16710034012794495,0.1537179946899414,0.27594971656799316,0.26646921038627625
and,0.31309178471565247,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.2838519215583801,0.23647621273994446,0.5116966962814331,0.16675704717636108,0.2891175150871277,0.3137528598308563,0.2790124714374542,0.4954058527946472,0.2769584059715271,0.2557651102542877,0.29319998621940613,0.20544172823429108
more,0.3484537899494171,0.2946030795574188,0.316240519285202,0.35535088181495667,0.30478984117507935,0.316240519285202,0.29788336157798767,0.30478984117507935,0.1651126891374588,0.24729755520820618,0.3908897936344147,0.15510453283786774,0.32563260197639465,0.17146877944469452,0.1487022042274475,0.16193780303001404,0.27894994616508484
formal,0.26485171914100647,0.21914683282375336,0.24771077930927277,0.31238067150115967,0.2704104781150818,0.24771077930927277,0.2379966527223587,0.2704104781150818,0.40099701285362244,0.2516111135482788,0.354927122592926,0.1773364096879959,0.2482539862394333,0.11311819404363632,0.22575482726097107,0.2066141813993454,0.1989586055278778
than,0.29388150572776794,0.2839990258216858,0.2493579238653183,0.3422342538833618,0.33036211133003235,0.2493579238653183,0.23791484534740448,0.33036211133003235,0.1611461043357849,0.2100009024143219,0.4123818576335907,0.15400688350200653,0.3270052373409271,0.11628710478544235,0.13248130679130554,0.16902634501457214,0.24917294085025787
in,0.30808621644973755,0.5394441485404968,0.2605783939361572,0.30483278632164,0.5696388483047485,0.2605783939361572,0.26153311133384705,0.5696388483047485,0.15644873678684235,0.24482418596744537,0.22473083436489105,0.23905439674854279,1.0,0.1796053647994995,0.21135757863521576,0.2632134258747101,0.20430970191955566
government,0.28074538707733154,0.20343491435050964,0.15164874494075775,0.15536615252494812,0.3475167155265808,0.15164874494075775,0.21801061928272247,0.3475167155265808,0.19308322668075562,0.20536978542804718,0.13976189494132996,0.16974812746047974,0.3066793978214264,0.2484046220779419,0.3261575996875763,0.3405122756958008,0.18851417303085327
schools,0.1820785105228424,0.2022145688533783,0.13943931460380554,0.166231170296669,0.265506386756897,0.13943931460380554,0.17768268287181854,0.265506386756897,0.24934907257556915,0.21178972721099854,0.20168879628181458,0.08099272847175598,0.2632134258747101,0.13071531057357788,0.4158569872379303,1.0,0.18349280953407288
-,0.13380742073059082,0.30179503560066223,0.18423457443714142,0.2055530697107315,0.2919245660305023,0.18423457443714142,0.23073886334896088,0.2919245660305023,0.12472444772720337,0.13910076022148132,0.17536424100399017,0.24620294570922852,0.2593633532524109,0.19718416035175323,0.10989251732826233,0.15425290167331696,0.3336010277271271
for,0.3017193675041199,0.43268078565597534,0.3236706852912903,0.45665353536605835,0.4185989499092102,0.3236706852912903,0.31357312202453613,0.4185989499092102,0.23248837888240814,0.2317313700914383,0.3479194939136505,0.2564438581466675,0.4322226941585541,0.23053424060344696,0.22242696583271027,0.2320515662431717,0.264628142118454
example,0.3456268310546875,0.36737263202667236,0.3076696991920471,1.0,0.3570667505264282,0.3076696991920471,0.32476943731307983,0.3570667505264282,0.24437673389911652,0.2631331980228424,0.43578270077705383,0.13988029956817627,0.30483278632164,0.16975679993629456,0.14079010486602783,0.166231170296669,0.30374911427497864
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3581022024154663,0.28605279326438904,0.4946078956127167,0.10078256577253342,0.26554957032203674,0.18964512646198273,0.267320841550827,0.5201468467712402,0.18606895208358765,0.1899166703224182,0.2760516405105591,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,0.44552403688430786,0.30913418531417847,0.5052502155303955,0.2319142371416092,0.24166817963123322,0.37909039855003357,0.14277903735637665,0.539380669593811,0.1949160397052765,0.20346391201019287,0.2118925303220749,0.23916715383529663
compulsory,0.29406166076660156,0.18758688867092133,0.1839175671339035,0.17155781388282776,0.2537287175655365,0.1839175671339035,0.2647898495197296,0.2537287175655365,0.27816179394721985,0.24288569390773773,0.2712244987487793,0.18117918074131012,0.27406829595565796,0.18052835762500763,0.26994845271110535,0.36350685358047485,0.1774163395166397
blazer,0.16990222036838531,0.201508566737175,0.15438085794448853,0.14467741549015045,0.1687546819448471,0.15438085794448853,0.19855128228664398,0.1687546819448471,0.3038720488548279,0.2998630702495575,0.1781548410654068,0.16196167469024658,0.19962581992149353,0.19778382778167725,0.15954940021038055,0.11791589111089706,0.16261321306228638
.,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.3581749200820923,0.30669885873794556,0.5352458953857422,0.16901645064353943,0.22593531012535095,0.25537845492362976,0.23765113949775696,0.5591574311256409,0.2256850302219391,0.2534593939781189,0.2752705216407776,0.4130953550338745
