,who,was,the,executive,producer,of,the,2005,doctor,who,revival,series,?
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.20230282843112946,0.2240762859582901,0.41827285289764404,0.4223487675189972,-0.0030237799510359764,0.17277967929840088,0.3282766342163086,0.1361679881811142,0.17767351865768433,0.2433311939239502
the,0.3733934462070465,0.48711544275283813,1.0,0.2402946650981903,0.20962586998939514,0.733189046382904,1.0,0.037273142486810684,0.2820442318916321,0.3733934462070465,0.30452626943588257,0.31376904249191284,0.22068053483963013
show,0.2095358669757843,0.20142383873462677,0.319829523563385,0.22194629907608032,0.2887043058872223,0.21383242309093475,0.319829523563385,-0.037941694259643555,0.2094513326883316,0.2095358669757843,0.26577329635620117,0.41789430379867554,0.2520138621330261
's,0.05599616840481758,0.008974763564765453,-0.01540423184633255,-0.02472989447414875,0.01541486568748951,-0.03817026689648628,-0.01540423184633255,0.047040801495313644,0.031664930284023285,0.05599616840481758,0.015062598511576653,0.0006390819908119738,-0.023395681753754616
2005,0.18423187732696533,0.11356307566165924,0.037273142486810684,-0.07664264738559723,0.10894636064767838,0.017815761268138885,0.037273142486810684,1.0,0.07635467499494553,0.18423187732696533,0.10179609805345535,0.04714697599411011,0.10709824413061142
revival,0.1408388912677765,0.3003317415714264,0.30452626943588257,0.1390993744134903,0.2207231968641281,0.2109367549419403,0.30452626943588257,0.10179609805345535,0.13733609020709991,0.1408388912677765,1.0,0.22159305214881897,0.09967152029275894
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.27674952149391174,0.35589754581451416,0.4946078956127167,0.4933079481124878,0.11050146818161011,0.20407600700855255,0.3365725874900818,0.2530691921710968,0.24060699343681335,0.31091248989105225
executive,0.20786358416080475,0.26019418239593506,0.2402946650981903,1.0,0.5556210279464722,0.23221425712108612,0.2402946650981903,-0.07664264738559723,0.1511356085538864,0.20786358416080475,0.1390993744134903,0.1810639202594757,0.12134998291730881
producer,0.20600847899913788,0.2683317959308624,0.20962586998939514,0.5556210279464722,1.0,0.14949996769428253,0.20962586998939514,0.10894636064767838,0.23966555297374725,0.20600847899913788,0.2207231968641281,0.2266491949558258,0.17015865445137024
russell,0.2708354890346527,0.2758617401123047,0.2413037121295929,0.1792466640472412,0.20747485756874084,0.21486875414848328,0.2413037121295929,-0.02201666124165058,0.12072563916444778,0.2708354890346527,0.18377439677715302,0.21904300153255463,0.11642709374427795
t,0.23457348346710205,0.19807380437850952,0.2083338052034378,0.11441180855035782,0.20426274836063385,0.14617829024791718,0.2083338052034378,0.010420853272080421,0.17748232185840607,0.23457348346710205,0.14321601390838623,0.13229136168956757,0.4954066574573517
davies,0.24405889213085175,0.2509008049964905,0.22865624725818634,0.22854961454868317,0.3028464615345001,0.22032342851161957,0.22865624725818634,0.09149517863988876,0.2710629403591156,0.24405889213085175,0.23878809809684753,0.28206896781921387,0.12641099095344543
stated,0.25916561484336853,0.33307945728302,0.2814950942993164,0.25257307291030884,0.16183613240718842,0.22148488461971283,0.2814950942993164,0.015993500128388405,0.1923888772726059,0.25916561484336853,0.21916481852531433,0.17326653003692627,0.24280361831188202
his,0.44966956973075867,0.4405253231525421,0.4394008219242096,0.1982966959476471,0.23487605154514313,0.38364991545677185,0.4394008219242096,0.13162729144096375,0.2365143597126007,0.44966956973075867,0.22438955307006836,0.23445890843868256,0.18075084686279297
intention,0.3397294580936432,0.2700917720794678,0.25965142250061035,0.19543175399303436,0.06205590441823006,0.20242100954055786,0.25965142250061035,0.027277493849396706,0.09762579947710037,0.3397294580936432,0.21693667769432068,0.20288603007793427,0.27262312173843384
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.20976532995700836,0.16422288119792938,0.41548454761505127,0.535392165184021,0.018235651776194572,0.22950075566768646,0.42656609416007996,0.18364080786705017,0.19879554212093353,0.29463258385658264
reintroduce,0.18147127330303192,0.28486981987953186,0.29667291045188904,0.16661643981933594,0.12139449268579483,0.24789857864379883,0.29667291045188904,0.10377867519855499,0.058340396732091904,0.18147127330303192,0.22329729795455933,0.19110511243343353,0.21475966274738312
classic,0.10854986310005188,0.20978301763534546,0.2647959589958191,0.09049949049949646,0.1562405675649643,0.21591906249523163,0.2647959589958191,0.03386419266462326,0.12150934338569641,0.10854986310005188,0.3001735806465149,0.2942589223384857,0.2044331431388855
