,what,religion,is,the,western,region,mostly,?
western,0.2454150915145874,0.1605558842420578,0.2572968304157257,0.37920868396759033,1.0000001192092896,0.3075319528579712,0.23136073350906372,0.17439141869544983
areas,0.23739881813526154,0.1687411367893219,0.28282591700553894,0.3311663568019867,0.2719402313232422,0.4012795090675354,0.39205023646354675,0.1273590475320816
of,0.33290785551071167,0.30360451340675354,0.4854315221309662,0.733189046382904,0.32974064350128174,0.2852717339992523,0.2964755594730377,0.1826142966747284
the,0.42745697498321533,0.2757669985294342,0.5823672413825989,1.0,0.37920868396759033,0.35020557045936584,0.3490641117095947,0.22068053483963013
coast,0.2200622260570526,0.13185928761959076,0.25204822421073914,0.28366661071777344,0.3952251970767975,0.27730435132980347,0.23203320801258087,0.15869849920272827
region,0.2298986315727234,0.25090035796165466,0.3317503035068512,0.35020557045936584,0.3075319528579712,1.0,0.19201412796974182,0.13441751897335052
are,0.29724663496017456,0.1752774864435196,0.5330929756164551,0.40399202704429626,0.19592507183551788,0.20011243224143982,0.400334894657135,0.24591213464736938
mostly,0.32312366366386414,0.19127678871154785,0.35184943675994873,0.3490641117095947,0.23136073350906372,0.19201412796974182,1.0,0.09124795347452164
christian,0.17849333584308624,0.44423842430114746,0.1473853588104248,0.19930796325206757,0.18024936318397522,0.14053009450435638,0.09861239790916443,0.1508396863937378
.,0.3567904531955719,0.28897368907928467,0.4569662809371948,0.5934505462646484,0.2816847264766693,0.2506107687950134,0.3207794427871704,0.4130953550338745
