,what,is,the,comparison,in,price,between,australian,private,schools,versus,public,?
private,0.16778090596199036,0.1420905888080597,0.18291357159614563,0.12109161168336868,0.21135757863521576,0.24096262454986572,0.12549267709255219,0.10250017791986465,1.0,0.4158569872379303,0.10510627925395966,0.5126727223396301,0.14389030635356903
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.0836009606719017,0.2632134258747101,0.11481345444917679,0.08330926299095154,0.13071531057357788,0.4158569872379303,1.0,0.0864325761795044,0.4260808527469635,0.18349280953407288
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.19509035348892212,1.0,0.2097182273864746,0.41100412607192993,0.1796053647994995,0.21135757863521576,0.2632134258747101,0.22641630470752716,0.29074716567993164,0.20430970191955566
australia,0.1913539320230484,0.1734699010848999,0.26828548312187195,0.1708805114030838,0.2697675824165344,0.15425144135951996,0.20452465116977692,0.7325041890144348,0.13699065148830414,0.2057906836271286,0.11086378991603851,0.23103855550289154,0.15702682733535767
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.25999748706817627,0.3841303884983063,0.16159531474113464,0.2766000032424927,0.14346839487552643,0.1694057136774063,0.30816179513931274,0.15013527870178223,0.18111367523670197,0.24591213464736938
always,0.413568377494812,0.3208111822605133,0.31570959091186523,0.12067113071680069,0.2475486695766449,0.15514691174030304,0.2795160710811615,0.11668809503316879,0.169772669672966,0.17833146452903748,0.19602683186531067,0.23098796606063843,0.26136693358421326
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.2734054625034332,0.32563260197639465,0.25135260820388794,0.2803398668766022,0.17146877944469452,0.1487022042274475,0.16193780303001404,0.22592777013778687,0.17057493329048157,0.27894994616508484
expensive,0.20366261899471283,0.2977083623409271,0.2281464785337448,0.2546057403087616,0.23840641975402832,0.4411531984806061,0.17524126172065735,0.1700298935174942,0.31504008173942566,0.20672796666622162,0.15178175270557404,0.24293677508831024,0.12475880235433578
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.29797112941741943,0.3270052373409271,0.25886934995651245,0.2741905152797699,0.11628710478544235,0.13248130679130554,0.16902634501457214,0.2653728723526001,0.15035578608512878,0.24917294085025787
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.2146196961402893,0.34976133704185486,0.13530096411705017,0.26017478108406067,0.18183866143226624,0.24537235498428345,0.22621867060661316,0.1816255897283554,0.2602854371070862,0.1898253709077835
public,0.1729622185230255,0.1980048567056656,0.22857438027858734,0.05663919821381569,0.29074716567993164,0.17999765276908875,0.13557976484298706,0.2091640830039978,0.5126727223396301,0.4260808527469635,0.10011448711156845,1.0000001192092896,0.19872993230819702
counterparts,0.2151535004377365,0.27053865790367126,0.28527581691741943,0.34111082553863525,0.17612794041633606,0.10911866277456284,0.21240219473838806,0.12355552613735199,0.1378820538520813,0.20127016305923462,0.20456552505493164,0.15586936473846436,0.1446923315525055
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.22063274681568146,0.5591574311256409,0.20274421572685242,0.30295518040657043,0.2256850302219391,0.2534593939781189,0.2752705216407776,0.29986631870269775,0.21888655424118042,0.4130953550338745
