,what,did,watt,add,to,the,steam,engine,in,1788,?
the,0.42745697498321533,0.34736719727516174,0.1903349757194519,0.22751019895076752,0.535392165184021,1.0,0.23105813562870026,0.21651263535022736,0.6662389636039734,0.0961972028017044,0.22068053483963013
centrifugal,0.29518410563468933,0.17712102830410004,0.34991255402565,0.3046354353427887,0.28058773279190063,0.2855057716369629,0.38729631900787354,0.4245282709598541,0.20533668994903564,0.026420196518301964,0.17586340010166168
governor,0.21184112131595612,0.1650441586971283,0.24461476504802704,0.10807814449071884,0.15556925535202026,0.19955585896968842,0.1421302706003189,0.19372975826263428,0.19612561166286469,0.05002182722091675,0.135940283536911
was,0.22111038863658905,0.41399896144866943,0.20568017661571503,0.11427506804466248,0.3636345863342285,0.48711544275283813,0.16913670301437378,0.205611914396286,0.45514053106307983,0.028817273676395416,0.18412111699581146
adopted,0.1504661738872528,0.18617329001426697,0.1758275032043457,0.1751900613307953,0.1939777433872223,0.23462533950805664,0.12443877756595612,0.09301023185253143,0.22637200355529785,0.11645172536373138,0.14235380291938782
by,0.2455483376979828,0.18574509024620056,0.17395760118961334,0.15122953057289124,0.33534231781959534,0.4408751428127289,0.18134352564811707,0.1870088279247284,0.370934396982193,0.10546610504388809,0.17966607213020325
james,0.20536290109157562,0.20904116332530975,0.3038761615753174,0.07706855237483978,0.22204333543777466,0.22481533885002136,0.16582752764225006,0.14642857015132904,0.1994210183620453,-0.0025746417231857777,0.12139993160963058
watt,0.12468069046735764,0.17172856628894806,1.0,0.09825018793344498,0.18281418085098267,0.1903349757194519,0.3759114742279053,0.31998884677886963,0.14650258421897888,0.015907365828752518,0.16354146599769592
for,0.3017193675041199,0.318512886762619,0.19073650240898132,0.2750505208969116,0.4451248347759247,0.4739971458911896,0.19393667578697205,0.17779722809791565,0.4322226941585541,0.05047084763646126,0.264628142118454
use,0.3453877568244934,0.32446643710136414,0.19314832985401154,0.48956775665283203,0.47261837124824524,0.34342584013938904,0.2950085997581482,0.2398114949464798,0.2715643048286438,0.10915455967187881,0.32795652747154236
on,0.34226128458976746,0.2670976221561432,0.14423085749149323,0.23662592470645905,0.41031414270401,0.5107308030128479,0.1939276158809662,0.21060344576835632,0.46853652596473694,0.04243459925055504,0.2714994251728058
a,0.3320399522781372,0.2552328109741211,0.21096299588680267,0.24784277379512787,0.45503583550453186,0.5829201340675354,0.2141898274421692,0.24768835306167603,0.539380669593811,-0.00017062356346286833,0.23916715383529663
steam,0.15672586858272552,0.19902050495147705,0.3759114742279053,0.21531298756599426,0.22894427180290222,0.23105813562870026,1.0000001192092896,0.4921848475933075,0.19852672517299652,-0.04654355347156525,0.113324373960495
engine,0.18463268876075745,0.1357124000787735,0.31998884677886963,0.1946180760860443,0.20794793963432312,0.21651263535022736,0.4921848475933075,1.0,0.18885408341884613,0.03758301958441734,0.17739196121692657
in,0.30808621644973755,0.2593238651752472,0.14650258421897888,0.19317835569381714,0.45010748505592346,0.6662389636039734,0.19852672517299652,0.18885408341884613,1.0,0.09250704199075699,0.20430970191955566
1788,0.0740138441324234,0.005802822764962912,0.015907365828752518,0.08308619260787964,0.019751818850636482,0.0961972028017044,-0.04654355347156525,0.03758301958441734,0.09250704199075699,1.0000001192092896,0.10552866011857986
after,0.21973377466201782,0.30330467224121094,0.20518305897712708,0.1335783153772354,0.37890323996543884,0.4565047025680542,0.17783430218696594,0.18441832065582275,0.44050168991088867,0.016560709103941917,0.16608688235282898
