,when,was,a,zoological,garden,established,in,the,praga,park,?
in,0.4431333839893341,0.45514053106307983,0.539380669593811,0.2769727110862732,0.22543586790561676,0.3118882477283478,1.0,0.6662389636039734,0.20032811164855957,0.22758090496063232,0.20430970191955566
1927,0.1064443364739418,0.0028163567185401917,0.07009106129407883,-0.0273267924785614,0.08400100469589233,-0.035917192697525024,0.04699656367301941,0.0337834469974041,-0.06995827704668045,-0.03481107950210571,0.09959670156240463
a,0.44397395849227905,0.4508470594882965,1.0,0.2166648656129837,0.2035326063632965,0.23500119149684906,0.539380669593811,0.5829201340675354,0.1778053492307663,0.2207280695438385,0.23916715383529663
zoological,0.14903220534324646,0.2010899931192398,0.2166648656129837,1.0,0.352228581905365,0.19433237612247467,0.2769727110862732,0.28123846650123596,0.16156958043575287,0.3657117486000061,0.11178421974182129
garden,0.15807344019412994,0.2112511396408081,0.2035326063632965,0.352228581905365,1.0,0.20939235389232635,0.22543586790561676,0.23359008133411407,0.19921578466892242,0.37896856665611267,0.16720405220985413
(,0.2459595799446106,0.2980341613292694,0.3206180930137634,0.14640410244464874,0.22906486690044403,0.2072630226612091,0.3087427020072937,0.33289089798927307,0.22643937170505524,0.1229381263256073,0.40561532974243164
ogród,0.1916273981332779,0.05561339855194092,0.1987585425376892,0.06487435847520828,0.15478438138961792,0.10297392308712006,0.14096450805664062,0.20384527742862701,0.2025991529226303,0.08347766846418381,0.21530838310718536
zoologiczny,0.14314402639865875,0.24805395305156708,0.21266292035579681,0.9104225039482117,0.34990763664245605,0.15721186995506287,0.28470325469970703,0.2702208459377289,0.1967736929655075,0.3586450517177582,0.13595518469810486
),0.2538422644138336,0.3267642855644226,0.3640355169773102,0.15416546165943146,0.23771566152572632,0.23480038344860077,0.3326910734176636,0.3456730246543884,0.24999240040779114,0.1277286410331726,0.42300865054130554
was,0.37326499819755554,1.0000001192092896,0.4508470594882965,0.2010899931192398,0.2112511396408081,0.26515325903892517,0.45514053106307983,0.48711544275283813,0.23515623807907104,0.22738584876060486,0.18412111699581146
established,0.18169470131397247,0.26515325903892517,0.23500119149684906,0.19433237612247467,0.20939235389232635,0.9999998807907104,0.3118882477283478,0.33092597126960754,0.23692743480205536,0.22525131702423096,0.15917523205280304
on,0.37706470489501953,0.3909217119216919,0.3848365545272827,0.19092708826065063,0.18135347962379456,0.18237954378128052,0.46853652596473694,0.5107308030128479,0.2222563773393631,0.2332824319601059,0.2714994251728058
the,0.5091903209686279,0.48711544275283813,0.5829201340675354,0.28123846650123596,0.23359008133411407,0.33092597126960754,0.6662389636039734,1.0,0.24016854166984558,0.24748283624649048,0.22068053483963013
park,0.14917762577533722,0.22738584876060486,0.2207280695438385,0.3657117486000061,0.37896856665611267,0.22525131702423096,0.22758090496063232,0.24748283624649048,0.17948029935359955,1.0,0.13508929312229156
grounds,0.24754607677459717,0.2614538073539734,0.26895850896835327,0.2268340140581131,0.2738787531852722,0.3074891269207001,0.2294076681137085,0.2690851390361786,0.13922342658042908,0.3297644853591919,0.1594391018152237
",",0.36674630641937256,0.45456063747406006,0.427140474319458,0.24303841590881348,0.2712799608707428,0.22739723324775696,0.5201468467712402,0.4933079481124878,0.27217134833335876,0.22495080530643463,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.3739250600337982,0.23753301799297333,0.2236175239086151,0.2369968742132187,0.4954058527946472,0.5171257257461548,0.24721510708332062,0.21340665221214294,0.20544172823429108
in,0.4431333839893341,0.45514053106307983,0.539380669593811,0.2769727110862732,0.22543586790561676,0.3118882477283478,1.0,0.6662389636039734,0.20032811164855957,0.22758090496063232,0.20430970191955566
1952,0.015484105795621872,0.025524726137518883,0.1223839670419693,0.13223089277744293,0.0043297722004354,0.01966792158782482,0.09289009869098663,0.12244576215744019,-0.010003148578107357,0.1174948588013649,-0.04863175377249718
a,0.44397395849227905,0.4508470594882965,1.0,0.2166648656129837,0.2035326063632965,0.23500119149684906,0.539380669593811,0.5829201340675354,0.1778053492307663,0.2207280695438385,0.23916715383529663
bear,0.16633690893650055,0.15398217737674713,0.2376827448606491,0.23226191103458405,0.2061062604188919,0.054651543498039246,0.24696409702301025,0.27444571256637573,0.14621588587760925,0.12182006984949112,0.1837729662656784
run,0.2548166811466217,0.18548552691936493,0.2607046067714691,0.10225002467632294,0.08396157622337341,0.18871977925300598,0.26368704438209534,0.27883726358413696,0.08962783217430115,0.12218029797077179,0.17904110252857208
",",0.36674630641937256,0.45456063747406006,0.427140474319458,0.24303841590881348,0.2712799608707428,0.22739723324775696,0.5201468467712402,0.4933079481124878,0.27217134833335876,0.22495080530643463,0.31091248989105225
still,0.4688006639480591,0.3328092098236084,0.3478926122188568,0.1257011741399765,0.16314126551151276,0.2230798304080963,0.3424699008464813,0.40142056345939636,0.1793176233768463,0.09224418550729752,0.3039587736129761
open,0.21179616451263428,0.13277080655097961,0.21603602170944214,0.12336752563714981,0.24359507858753204,0.18193389475345612,0.27347445487976074,0.2764171361923218,0.14986826479434967,0.13301892578601837,0.20715104043483734
today,0.3225412964820862,0.3137040436267853,0.2396019846200943,0.11378410458564758,0.18484702706336975,0.24391146004199982,0.3300545811653137,0.35740926861763,0.19866186380386353,0.13996577262878418,0.17338968813419342
.,0.475719153881073,0.40146201848983765,0.50484299659729,0.2345525473356247,0.231033593416214,0.23771190643310547,0.5591574311256409,0.5934505462646484,0.20607799291610718,0.22825266420841217,0.4130953550338745
