,telnet,used,what,interface,technology
it,0.27301114797592163,0.3575260639190674,0.45803478360176086,0.2651674747467041,0.27103596925735474
initially,0.25116032361984253,0.19967558979988098,0.24580118060112,0.22702378034591675,0.10790417343378067
used,0.3177791237831116,0.9999998807907104,0.27546408772468567,0.2685967981815338,0.22553960978984833
arpanet,0.560100257396698,0.25705286860466003,0.21845723688602448,0.48648667335510254,0.39953312277793884
technology,0.361306756734848,0.22553960978984833,0.1940862536430359,0.38019293546676636,0.9999998807907104
but,0.24665485322475433,0.3391169309616089,0.5029441118240356,0.25445979833602905,0.21176929771900177
changed,0.17606444656848907,0.3302752375602722,0.2667781710624695,0.1740502566099167,0.1964055597782135
the,0.22775386273860931,0.3718377649784088,0.42745697498321533,0.23198577761650085,0.21669498085975647
host,0.2355344444513321,0.08540724962949753,0.12779991328716278,0.28446367383003235,0.1784338653087616
interface,0.5906372666358948,0.2685967981815338,0.24331238865852356,1.0,0.38019293546676636
to,0.24286587536334991,0.40058770775794983,0.455847829580307,0.23417389392852783,0.25372135639190674
x.25,0.13506142795085907,0.039583735167980194,0.16212259232997894,0.07551629841327667,0.010388138704001904
and,0.23012886941432953,0.3150506615638733,0.31309178471565247,0.22170387208461761,0.2333960235118866
the,0.22775386273860931,0.3718377649784088,0.42745697498321533,0.23198577761650085,0.21669498085975647
terminal,0.3262312114238739,0.2385612279176712,0.14734655618667603,0.36763060092926025,0.20003162324428558
interface,0.5906372666358948,0.2685967981815338,0.24331238865852356,1.0,0.38019293546676636
to,0.24286587536334991,0.40058770775794983,0.455847829580307,0.23417389392852783,0.25372135639190674
x.29,0.3815990686416626,0.30058252811431885,0.32177358865737915,0.3453727960586548,0.28741905093193054
.,0.23955440521240234,0.33111312985420227,0.3567904531955719,0.2585410177707672,0.21310871839523315
