,how,many,costumes,were,in,the,costiff,collection,?
in,0.2601168751716614,0.41474202275276184,0.20392239093780518,0.3815755248069763,1.0,0.6662389636039734,0.21570788323879242,0.23004686832427979,0.20430970191955566
2002,0.05020543187856674,-0.04735536873340607,0.05440502241253853,-0.11263610422611237,-0.15852214395999908,-0.07970229536294937,-0.15864765644073486,0.04641743749380112,0.045828185975551605
",",0.22659391164779663,0.40610817074775696,0.23070135712623596,0.36755475401878357,0.5201468467712402,0.4933079481124878,0.21184629201889038,0.2277175933122635,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.2165670096874237,0.3906462490558624,0.6662389636039734,1.0,0.2323952615261078,0.25281965732574463,0.22068053483963013
museum,0.08534817397594452,0.16926175355911255,0.1978643387556076,0.16107067465782166,0.2407650351524353,0.24861779808998108,0.19943198561668396,0.4441815912723541,0.14128351211547852
acquired,0.11872366070747375,0.14446644484996796,0.07529144734144211,0.16298405826091766,0.20108897984027863,0.22202405333518982,0.2437012642621994,0.29006797075271606,0.09366346150636673
the,0.33890387415885925,0.4335206151008606,0.2165670096874237,0.3906462490558624,0.6662389636039734,1.0,0.2323952615261078,0.25281965732574463,0.22068053483963013
costiff,0.27370375394821167,0.34450745582580566,0.40469294786453247,0.23486657440662384,0.21570788323879242,0.2323952615261078,1.0,0.24927334487438202,0.22294071316719055
collection,0.11592676490545273,0.24966391921043396,0.2637207508087158,0.22638525068759918,0.23004686832427979,0.25281965732574463,0.24927334487438202,0.9999998807907104,0.20069393515586853
of,0.2480744868516922,0.37253960967063904,0.2081592082977295,0.34038281440734863,0.5696388483047485,0.733189046382904,0.23048944771289825,0.2915455996990204,0.1826142966747284
178,0.19484898447990417,0.1710374355316162,0.24118541181087494,0.22048862278461456,0.05238906666636467,0.07313534617424011,0.13529548048973083,0.06212025508284569,0.1777212917804718
vivienne,0.09715460240840912,0.13706661760807037,0.24242529273033142,0.17854392528533936,0.24524268507957458,0.23282523453235626,0.1954837590456009,0.18269143998622894,0.1402239203453064
westwood,0.1328722983598709,0.2206973433494568,0.13058631122112274,0.2067428082227707,0.22285649180412292,0.289829283952713,0.2444639652967453,0.14090955257415771,0.17119714617729187
costumes,0.2232431173324585,0.32252436876296997,1.0,0.31769075989723206,0.20392239093780518,0.2165670096874237,0.40469294786453247,0.2637207508087158,0.1693248301744461
.,0.3287222981452942,0.3974229395389557,0.20573796331882477,0.3378238379955292,0.5591574311256409,0.5934505462646484,0.28037673234939575,0.2516246736049652,0.4130953550338745
