,who,may,teachers,focus,on,",",in,order,to,prioritize,attention,?
in,0.2792111933231354,0.3424151837825775,0.2128150761127472,0.27219411730766296,0.46853652596473694,0.5201468467712402,1.0,0.24184700846672058,0.45010748505592346,0.2962142527103424,0.2495301067829132,0.20430970191955566
response,0.2218329906463623,0.20480892062187195,0.1722080409526825,0.26330089569091797,0.20197884738445282,0.24039098620414734,0.20744606852531433,0.19659452140331268,0.277526319026947,0.3640517592430115,0.3916744887828827,0.2007838636636734
",",0.3365725874900818,0.5007920861244202,0.28049156069755554,0.23845507204532623,0.49057599902153015,1.0000001192092896,0.5201468467712402,0.22478096187114716,0.44245919585227966,0.2688228189945221,0.23177941143512726,0.31091248989105225
teachers,0.34250906109809875,0.21395352482795715,1.0,0.2487870305776596,0.24610933661460876,0.28049156069755554,0.2128150761127472,0.17418237030506134,0.2668606638908386,0.35108378529548645,0.2564553916454315,0.19522249698638916
may,0.23082798719406128,0.9999998807907104,0.21395352482795715,0.17213000357151031,0.3428080081939697,0.5007920861244202,0.3424151837825775,0.21539461612701416,0.391582727432251,0.2377627044916153,0.18241481482982635,0.2768254578113556
concentrate,0.24166332185268402,0.16281582415103912,0.1972055733203888,0.40579524636268616,0.26941370964050293,0.30280089378356934,0.29224032163619995,0.20335057377815247,0.3929895758628845,0.38970598578453064,0.29829099774360657,0.17956885695457458
their,0.3767721951007843,0.2552892565727234,0.2814970314502716,0.2851148545742035,0.3598666191101074,0.3045167922973633,0.34976133704185486,0.27875247597694397,0.44619059562683105,0.3625657856464386,0.2835642695426941,0.1898253709077835
attention,0.33245593309402466,0.18241481482982635,0.2564553916454315,0.42548084259033203,0.2695760428905487,0.23177941143512726,0.2495301067829132,0.12810100615024567,0.3454606831073761,0.34590113162994385,1.0,0.19994445145130157
on,0.2340552806854248,0.3428080081939697,0.24610933661460876,0.3158062696456909,0.9999999403953552,0.49057599902153015,0.46853652596473694,0.17813007533550262,0.41031414270401,0.3133547902107239,0.2695760428905487,0.2714994251728058
motivated,0.34423643350601196,0.275575190782547,0.27086523175239563,0.34783804416656494,0.1334913671016693,0.25606024265289307,0.21012412011623383,0.17887741327285767,0.33840689063072205,0.35786017775535583,0.3405068814754486,0.33650898933410645
students,0.3510516881942749,0.2131241261959076,0.7183375358581543,0.25384092330932617,0.2211644947528839,0.26501646637916565,0.2676171064376831,0.1669643670320511,0.2905822694301605,0.3650803864002228,0.2801015377044678,0.18017297983169556
",",0.3365725874900818,0.5007920861244202,0.28049156069755554,0.23845507204532623,0.49057599902153015,1.0000001192092896,0.5201468467712402,0.22478096187114716,0.44245919585227966,0.2688228189945221,0.23177941143512726,0.31091248989105225
ignoring,0.27034255862236023,0.32007870078086853,0.22061896324157715,0.29191678762435913,0.29140999913215637,0.25975653529167175,0.26473698019981384,0.13135398924350739,0.3638980984687805,0.37381964921951294,0.4105643033981323,0.3513915240764618
attention-seeking,0.36391696333885193,0.2562277913093567,0.29300588369369507,0.4326140582561493,0.2603260576725006,0.2960250675678253,0.2765130400657654,0.1509523093700409,0.4023617208003998,0.39098358154296875,0.8434280753135681,0.2918311357498169
and,0.41279885172843933,0.34598252177238464,0.28640416264533997,0.2707323133945465,0.4077630043029785,0.6633074283599854,0.4954058527946472,0.2671266496181488,0.48971283435821533,0.2702504098415375,0.2678675949573517,0.20544172823429108
disruptive,0.22123046219348907,0.2680848240852356,0.1711544394493103,0.26673007011413574,0.24297410249710083,0.24832308292388916,0.21467314660549164,0.1641320139169693,0.3288019001483917,0.4021255671977997,0.39426732063293457,0.4121488630771637
students,0.3510516881942749,0.2131241261959076,0.7183375358581543,0.25384092330932617,0.2211644947528839,0.26501646637916565,0.2676171064376831,0.1669643670320511,0.2905822694301605,0.3650803864002228,0.2801015377044678,0.18017297983169556
.,0.3541337847709656,0.35826805233955383,0.24628326296806335,0.21183714270591736,0.49257001280784607,0.6812511086463928,0.5591574311256409,0.20712141692638397,0.4645031690597534,0.2953678071498871,0.23165898025035858,0.4130953550338745
