,what,force,acts,on,an,object,suspended,on,a,spring,scale,in,addition,to,gravity,?
for,0.3017193675041199,0.15857845544815063,0.20180761814117432,0.36199691891670227,0.3236706852912903,0.23012496531009674,0.2676193416118622,0.36199691891670227,0.44038116931915283,0.18597541749477386,0.15877264738082886,0.4322226941585541,0.39286839962005615,0.4451248347759247,0.17030301690101624,0.264628142118454
example,0.3456268310546875,0.23485584557056427,0.18815334141254425,0.22160455584526062,0.3076696991920471,0.3402033746242523,0.12308725714683533,0.22160455584526062,0.40234753489494324,0.14610475301742554,0.33426815271377563,0.30483278632164,0.36732882261276245,0.3451666533946991,0.21619334816932678,0.30374911427497864
",",0.3087472915649414,0.22091743350028992,0.2014220803976059,0.49057599902153015,0.3581022024154663,0.149229496717453,0.2427910715341568,0.49057599902153015,0.427140474319458,0.30197975039482117,0.16146816313266754,0.5201468467712402,0.3040202856063843,0.44245919585227966,0.18731217086315155,0.31091248989105225
an,0.2821882665157318,0.21655116975307465,0.27118363976478577,0.3192969560623169,1.0,0.2576858103275299,0.1907585710287094,0.3192969560623169,0.44552403688430786,0.1161954402923584,0.12434741854667664,0.2605783939361572,0.25149449706077576,0.3138085603713989,0.13670778274536133,0.19793890416622162
object,0.25733083486557007,0.32587239146232605,0.25721475481987,0.18476571142673492,0.2576858103275299,1.0,0.14087995886802673,0.18476571142673492,0.3271922171115875,0.14848770201206207,0.274456650018692,0.18661287426948547,0.21725299954414368,0.2821136713027954,0.4685784876346588,0.19573666155338287
suspended,0.15452195703983307,0.21480007469654083,0.15164032578468323,0.29142817854881287,0.1907585710287094,0.14087995886802673,0.9999998807907104,0.29142817854881287,0.24709869921207428,0.22717195749282837,0.07108991593122482,0.20142072439193726,0.17250743508338928,0.20259469747543335,0.1232815757393837,0.13118882477283478
on,0.34226128458976746,0.1764998733997345,0.17921806871891022,0.9999999403953552,0.3192969560623169,0.18476571142673492,0.29142817854881287,0.9999999403953552,0.3848365545272827,0.15691092610359192,0.21774359047412872,0.46853652596473694,0.2673063576221466,0.41031414270401,0.18129420280456543,0.2714994251728058
a,0.3320399522781372,0.2451154738664627,0.25177326798439026,0.3848365545272827,0.44552403688430786,0.3271922171115875,0.24709869921207428,0.3848365545272827,1.0,0.23113512992858887,0.2199064940214157,0.539380669593811,0.2617819607257843,0.45503583550453186,0.18152470886707306,0.23916715383529663
vertical,0.20163756608963013,0.17750535905361176,0.12528322637081146,0.21591295301914215,0.1644919514656067,0.2566264867782593,0.19810064136981964,0.21591295301914215,0.2576088309288025,0.2058374583721161,0.2709313929080963,0.19875408709049225,0.18614032864570618,0.2298336923122406,0.259406715631485,0.18911753594875336
spring,0.17833508551120758,0.17592529952526093,0.11107873916625977,0.15691092610359192,0.1161954402923584,0.14848770201206207,0.22717195749282837,0.15691092610359192,0.23113512992858887,1.0,0.15794938802719116,0.3244975805282593,0.07927671819925308,0.21336959302425385,0.19993507862091064,0.06767474114894867
scale,0.23262472450733185,0.21000143885612488,0.10775339603424072,0.21774359047412872,0.12434741854667664,0.274456650018692,0.07108991593122482,0.21774359047412872,0.2199064940214157,0.15794938802719116,1.0000001192092896,0.2105615884065628,0.21676579117774963,0.18474817276000977,0.29204851388931274,0.21142835915088654
experiences,0.36542099714279175,0.21505007147789001,0.2490493208169937,0.2848793864250183,0.2660205662250519,0.21844473481178284,0.07913148403167725,0.2848793864250183,0.2915761172771454,0.22626586258411407,0.15724702179431915,0.2597954273223877,0.24828864634037018,0.2683977484703064,0.2549833655357361,0.17054305970668793
the,0.42745697498321533,0.2800885736942291,0.2568269371986389,0.5107308030128479,0.4207492768764496,0.22418850660324097,0.28768354654312134,0.5107308030128479,0.5829201340675354,0.316989928483963,0.1833842247724533,0.6662389636039734,0.32955414056777954,0.535392165184021,0.22609853744506836,0.22068053483963013
force,0.16915984451770782,1.0000001192092896,0.2649233341217041,0.1764998733997345,0.21655116975307465,0.32587239146232605,0.21480007469654083,0.1764998733997345,0.2451154738664627,0.17592529952526093,0.21000143885612488,0.21744468808174133,0.24005858600139618,0.24496492743492126,0.4355055093765259,0.1650998443365097
of,0.33290785551071167,0.27094775438308716,0.26445579528808594,0.3966929316520691,0.32280945777893066,0.1993778944015503,0.2760421931743622,0.3966929316520691,0.5052502155303955,0.2455621361732483,0.19989530742168427,0.5696388483047485,0.27503931522369385,0.41548454761505127,0.17525646090507507,0.1826142966747284
