,when,did,konstantin,mereschkowski,suggest,the,origin,of,chloroplasts,?
this,0.4959332048892975,0.3609912693500519,0.060911551117897034,0.2169342339038849,0.4227074682712555,0.6274310946464539,0.23185192048549652,0.45148900151252747,0.32268521189689636,0.3155723512172699
origin,0.13273842632770538,0.1306861788034439,0.005250090267509222,0.0824933797121048,0.21748429536819458,0.24161343276500702,1.0,0.23941168189048767,0.23827481269836426,0.12716172635555267
of,0.3757161796092987,0.2513895630836487,0.14262403547763824,0.21273104846477509,0.28071948885917664,0.733189046382904,0.23941168189048767,1.0,0.23179760575294495,0.1826142966747284
chloroplasts,0.2671385407447815,0.18686653673648834,0.23530510067939758,0.23021596670150757,0.27600815892219543,0.23062430322170258,0.23827481269836426,0.23179760575294495,0.9999999403953552,0.13049766421318054
was,0.37326499819755554,0.41399896144866943,0.22763784229755402,0.3049047589302063,0.17307642102241516,0.48711544275283813,0.20749133825302124,0.4069072902202606,0.1579415500164032,0.18412111699581146
first,0.4282494783401489,0.33691170811653137,0.23273798823356628,0.26189884543418884,0.1756066381931305,0.49448907375335693,0.2580423951148987,0.3536086082458496,0.23442697525024414,0.18701928853988647
suggested,0.3064453899860382,0.36875683069229126,0.12254129350185394,0.24106177687644958,0.7531330585479736,0.28443726897239685,0.21581652760505676,0.29373469948768616,0.266713947057724,0.2549840807914734
by,0.4376842677593231,0.18574509024620056,0.18230651319026947,0.21850495040416718,0.17751513421535492,0.4408751428127289,0.15467306971549988,0.3646814823150635,0.1951972097158432,0.17966607213020325
the,0.5091903209686279,0.34736719727516174,0.14999036490917206,0.2222645878791809,0.2682655155658722,1.0,0.24161343276500702,0.733189046382904,0.23062430322170258,0.22068053483963013
russian,0.17149752378463745,0.14638440310955048,0.5248938798904419,0.3454265594482422,0.11950826644897461,0.24014991521835327,0.18913932144641876,0.16226479411125183,0.20390905439853668,0.12951652705669403
biologist,0.17044419050216675,0.12941893935203552,0.25740376114845276,0.3171278238296509,0.2102668434381485,0.17062292993068695,0.25265225768089294,0.12955345213413239,0.2958817183971405,0.176077201962471
konstantin,0.1685243844985962,0.15812081098556519,1.0000001192092896,0.492320716381073,0.08067739009857178,0.14999036490917206,0.005250090267509222,0.14262403547763824,0.23530510067939758,0.10035119205713272
mereschkowski,0.17139652371406555,0.24278481304645538,0.492320716381073,1.0000001192092896,0.17569378018379211,0.2222645878791809,0.0824933797121048,0.21273104846477509,0.23021596670150757,0.24179978668689728
in,0.4431333839893341,0.2593238651752472,0.08711223304271698,0.24443049728870392,0.21134044229984283,0.6662389636039734,0.25708678364753723,0.5696388483047485,0.21141497790813446,0.20430970191955566
1905,0.1199149414896965,0.13497057557106018,0.2730569839477539,0.21671707928180695,0.10854651033878326,0.11463959515094757,0.09831605851650238,0.08918522298336029,0.0036748957354575396,0.1770307421684265
after,0.5331412553787231,0.30330467224121094,0.1738843023777008,0.27141326665878296,0.25971782207489014,0.4565047025680542,0.14586320519447327,0.3867455720901489,0.1769162118434906,0.16608688235282898
andreas,0.1064540222287178,0.13266701996326447,0.4155939519405365,0.44458943605422974,0.10371508449316025,0.20274370908737183,0.04851550981402397,0.14636510610580444,0.12351152300834656,0.06663193553686142
schimper,0.24637190997600555,0.18358075618743896,0.33865299820899963,0.5421561598777771,0.24641986191272736,0.2807835340499878,0.09695563465356827,0.2420530766248703,0.23184160888195038,0.24383647739887238
observed,0.22151441872119904,0.24909503757953644,0.07388382405042648,0.1881471425294876,0.2766568958759308,0.26280322670936584,0.19998443126678467,0.24605341255664825,0.32316407561302185,0.12128034234046936
in,0.4431333839893341,0.2593238651752472,0.08711223304271698,0.24443049728870392,0.21134044229984283,0.6662389636039734,0.25708678364753723,0.5696388483047485,0.21141497790813446,0.20430970191955566
1883,-0.026350555941462517,0.028603026643395424,0.04193082079291344,-0.01954885758459568,0.02129514515399933,-0.09378503262996674,0.10796630382537842,-0.11776425689458847,0.05783183500170708,0.05876028537750244
that,0.5860282182693481,0.47518548369407654,0.10057835280895233,0.22980636358261108,0.4803828001022339,0.5473989248275757,0.20789451897144318,0.41498205065727234,0.3177454173564911,0.32716336846351624
chloroplasts,0.2671385407447815,0.18686653673648834,0.23530510067939758,0.23021596670150757,0.27600815892219543,0.23062430322170258,0.23827481269836426,0.23179760575294495,0.9999999403953552,0.13049766421318054
closely,0.2098981738090515,0.2243669331073761,0.07564301788806915,0.1769164353609085,0.3089832067489624,0.2750711441040039,0.23132413625717163,0.21746549010276794,0.283425509929657,0.08341413736343384
resemble,0.2080206274986267,0.18630953133106232,0.060299281030893326,0.1884734332561493,0.31949499249458313,0.25901395082473755,0.28267017006874084,0.24820731580257416,0.28332072496414185,0.09784040600061417
cyanobacteria,0.24011343717575073,0.203631192445755,0.14413706958293915,0.20770642161369324,0.33753758668899536,0.23102529346942902,0.23144148290157318,0.2361430525779724,0.7097216844558716,0.2106003761291504
.,0.475719153881073,0.35288307070732117,0.22267475724220276,0.29589977860450745,0.23171280324459076,0.5934505462646484,0.21880026161670685,0.5352458953857422,0.23868323862552643,0.4130953550338745
