,what,were,the,structures,built,by,the,soviets,typical,of,?
after,0.21973377466201782,0.36224013566970825,0.4565047025680542,0.12038975954055786,0.21436075866222382,0.41259682178497314,0.4565047025680542,0.28364840149879456,0.13618628680706024,0.3867455720901489,0.16608688235282898
world,0.21669597923755646,0.2498536854982376,0.33604270219802856,0.1677178293466568,0.25674813985824585,0.22306372225284576,0.33604270219802856,0.24287185072898865,0.13409952819347382,0.2828933000564575,0.17579582333564758
war,0.22516006231307983,0.3151806890964508,0.366199791431427,0.12995439767837524,0.23055621981620789,0.18974854052066803,0.366199791431427,0.44155001640319824,0.17065319418907166,0.31680163741111755,0.15510529279708862
ii,0.13866674900054932,0.20646095275878906,0.2631464898586273,0.137599378824234,0.23734770715236664,0.25569188594818115,0.2631464898586273,0.24474182724952698,0.05775494500994682,0.2844806909561157,0.11928234249353409
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.2790010869503021,0.22658206522464752,0.3680937886238098,0.4933079481124878,0.26493433117866516,0.2310890257358551,0.4946078956127167,0.31091248989105225
under,0.20154598355293274,0.28293636441230774,0.3348022699356079,0.17236843705177307,0.17528566718101501,0.3161602020263672,0.3348022699356079,0.1373165100812912,0.08204075694084167,0.32766106724739075,0.18233340978622437
a,0.3320399522781372,0.17203083634376526,0.5829201340675354,0.2470725029706955,0.23064446449279785,0.32094135880470276,0.5829201340675354,0.18308846652507782,0.4022108316421509,0.5052502155303955,0.23916715383529663
communist,0.1774516999721527,0.20956014096736908,0.24560265243053436,0.16275803744792938,0.08390786498785019,0.15814270079135895,0.24560265243053436,0.5458670854568481,0.09330339729785919,0.24402955174446106,0.13955675065517426
regime,0.17682157456874847,0.22712816298007965,0.23305538296699524,0.11794102191925049,0.1267581433057785,0.20985093712806702,0.23305538296699524,0.44736576080322266,0.047080691903829575,0.21391896903514862,0.15561191737651825
set,0.28954121470451355,0.24437576532363892,0.2927955985069275,0.2762436270713806,0.2530454099178314,0.21600963175296783,0.2927955985069275,0.173296257853508,0.2602909803390503,0.20671486854553223,0.1698019951581955
up,0.28591108322143555,0.29601457715034485,0.38423117995262146,0.18193715810775757,0.2046009749174118,0.2738759219646454,0.38423117995262146,0.20268672704696655,0.21337248384952545,0.32945773005485535,0.1819818764925003
by,0.2455483376979828,0.4406847059726715,0.4408751428127289,0.1541803926229477,0.22056880593299866,1.0000001192092896,0.4408751428127289,0.2308209240436554,0.10447146743535995,0.3646814823150635,0.17966607213020325
the,0.42745697498321533,0.3906462490558624,1.0,0.2516176700592041,0.2950156033039093,0.4408751428127289,1.0,0.2880597412586212,0.28039172291755676,0.733189046382904,0.22068053483963013
conquering,0.3025504946708679,0.26669445633888245,0.37138304114341736,0.2341453731060028,0.21920832991600037,0.257876992225647,0.37138304114341736,0.3780246376991272,0.11423229426145554,0.3325044810771942,0.16821224987506866
soviets,0.21462668478488922,0.33786019682884216,0.2880597412586212,0.15450350940227509,0.18948522210121155,0.2308209240436554,0.2880597412586212,0.9999999403953552,0.04506141319870949,0.15548710525035858,0.16199669241905212
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.2790010869503021,0.22658206522464752,0.3680937886238098,0.4933079481124878,0.26493433117866516,0.2310890257358551,0.4946078956127167,0.31091248989105225
