,what,was,the,only,drama,extended,for,a,second,season,for,the,2010-11,schedule,?
the,0.42745697498321533,0.48711544275283813,1.0,0.5497692227363586,0.2408958077430725,0.3160722553730011,0.4739971458911896,0.5829201340675354,0.4620301127433777,0.2507155239582062,0.4739971458911896,1.0,0.204135000705719,0.21986375749111176,0.22068053483963013
network,0.16917307674884796,0.1994880586862564,0.27187061309814453,0.21967212855815887,0.20221145451068878,0.18392227590084076,0.253274142742157,0.17299489676952362,0.12895596027374268,0.27325206995010376,0.253274142742157,0.27187061309814453,0.044061195105314255,0.282244473695755,0.17853789031505585
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.08984304964542389,0.06856228411197662,-0.0012415836099535227,-0.07241261005401611,0.04866964742541313,-0.060212843120098114,0.06624794006347656,-0.07241261005401611,-0.01540423184633255,0.02180582843720913,0.019238965585827827,-0.023395681753754616
troubles,0.2750650644302368,0.17794688045978546,0.22123943269252777,0.15506398677825928,0.23511889576911926,0.1338348537683487,0.21698489785194397,0.18666279315948486,0.1962358057498932,0.1983739286661148,0.21698489785194397,0.22123943269252777,0.060623377561569214,0.13181383907794952,0.20424531400203705
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.367427259683609,0.1572226583957672,0.19003750383853912,0.39140474796295166,0.3783375024795532,0.272382527589798,0.26700887084007263,0.39140474796295166,0.4223487675189972,0.09095391631126404,0.14576628804206848,0.2433311939239502
sustaining,0.20614078640937805,0.15071897208690643,0.2449815720319748,0.2891678512096405,0.19379958510398865,0.22295789420604706,0.3605254292488098,0.31114739179611206,0.19341835379600525,0.22547005116939545,0.3605254292488098,0.2449815720319748,0.002443978562951088,0.23173603415489197,0.20325817167758942
existing,0.31325602531433105,0.19214795529842377,0.36013904213905334,0.3765083849430084,0.15062971413135529,0.2771407663822174,0.2923832833766937,0.2590343654155731,0.1527119278907776,0.1381860226392746,0.2923832833766937,0.36013904213905334,0.25251030921936035,0.19904957711696625,0.31003472208976746
series,0.17328087985515594,0.2261398285627365,0.31376904249191284,0.23628194630146027,0.42834165692329407,0.11568979918956757,0.2715710699558258,0.23966510593891144,0.24665457010269165,0.37080681324005127,0.2715710699558258,0.31376904249191284,-0.05267412215471268,0.2275308221578598,0.1709602326154709
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.4542345404624939,0.23960810899734497,0.22269432246685028,0.5064792633056641,0.3739250600337982,0.2743909955024719,0.2369309365749359,0.5064792633056641,0.5171257257461548,0.1643197387456894,0.2153918594121933,0.20544172823429108
gaining,0.24912129342556,0.24716636538505554,0.35633590817451477,0.31999942660331726,0.15263941884040833,0.29559966921806335,0.3965350091457367,0.3593192994594574,0.2127065807580948,0.20154941082000732,0.3965350091457367,0.35633590817451477,0.0955808013677597,0.18028512597084045,0.15860657393932343
new,0.2130378633737564,0.2748313844203949,0.3845241069793701,0.3027914762496948,0.17221881449222565,0.16484758257865906,0.2700757384300232,0.3214259147644043,0.2587158977985382,0.17859753966331482,0.2700757384300232,0.3845241069793701,0.07998085767030716,0.14268872141838074,0.14782847464084625
