,what,other,forces,were,tainted,by,corruption,allegations,?
kenya,0.18398970365524292,0.16828607022762299,0.14520081877708435,0.15519973635673523,0.16256365180015564,0.1010202169418335,0.15938818454742432,0.17381121218204498,0.17197901010513306
’,-0.01733604073524475,0.006062724161893129,0.046675100922584534,-0.06965887546539307,0.03730766847729683,-0.04605049267411232,-0.011787998490035534,-0.04445255175232887,0.045561522245407104
s,0.3634900748729706,0.25506797432899475,0.20708097517490387,0.24728383123874664,0.3066452145576477,0.40676382184028625,0.21512039005756378,0.20223000645637512,0.25130221247673035
armed,0.15827620029449463,0.16623137891292572,0.5604153871536255,0.2711462378501892,0.16655892133712769,0.22038479149341583,0.26886945962905884,0.2757473886013031,0.18816959857940674
forces,0.2112482488155365,0.1988212913274765,1.0,0.23023411631584167,0.16943493485450745,0.294624388217926,0.24432791769504547,0.2673138976097107,0.16984491050243378
",",0.3087472915649414,0.4446498453617096,0.2544684410095215,0.36755475401878357,0.22092781960964203,0.3680937886238098,0.1712050884962082,0.22029541432857513,0.31091248989105225
like,0.4320242702960968,0.5279693007469177,0.15667517483234406,0.3280778229236603,0.2985745072364807,0.2583819031715393,0.1417468637228012,0.13921210169792175,0.3268813192844391
many,0.36131182312965393,0.6324484348297119,0.20333386957645416,0.4804460406303406,0.23809929192066193,0.3409687578678131,0.27601584792137146,0.25040173530578613,0.2124512493610382
government,0.28074538707733154,0.25909486413002014,0.42034825682640076,0.27806493639945984,0.16115720570087433,0.24235671758651733,0.47197654843330383,0.2971934378147125,0.18851417303085327
institutions,0.22018329799175262,0.31779900193214417,0.2769937515258789,0.2120121717453003,0.06988771259784698,0.1569143533706665,0.30636540055274963,0.3139979839324951,0.19119486212730408
in,0.30808621644973755,0.39989137649536133,0.2565164566040039,0.3815755248069763,0.1599566638469696,0.370934396982193,0.17617714405059814,0.23326563835144043,0.20430970191955566
the,0.42745697498321533,0.44152235984802246,0.3134811818599701,0.3906462490558624,0.2541356086730957,0.4408751428127289,0.23319530487060547,0.2481755167245865,0.22068053483963013
country,0.22705033421516418,0.28020480275154114,0.1804332435131073,0.19303756952285767,0.10567176342010498,0.24224938452243805,0.30558717250823975,0.14900368452072144,0.12647280097007751
",",0.3087472915649414,0.4446498453617096,0.2544684410095215,0.36755475401878357,0.22092781960964203,0.3680937886238098,0.1712050884962082,0.22029541432857513,0.31091248989105225
have,0.39808809757232666,0.559082567691803,0.18171128630638123,0.5193349123001099,0.33767789602279663,0.3359639644622803,0.20609024167060852,0.2695932388305664,0.32991164922714233
been,0.2567804455757141,0.34575363993644714,0.14532743394374847,0.5062422156333923,0.3372208774089813,0.39107078313827515,0.27575796842575073,0.28232353925704956,0.24354910850524902
tainted,0.23226378858089447,0.21113842725753784,0.16943493485450745,0.3359348475933075,1.0,0.28843241930007935,0.24580703675746918,0.2922511100769043,0.18631592392921448
by,0.2455483376979828,0.3321913778781891,0.294624388217926,0.4406847059726715,0.28843241930007935,1.0000001192092896,0.23889042437076569,0.23401103913784027,0.17966607213020325
corruption,0.20003895461559296,0.19105756282806396,0.24432791769504547,0.21010510623455048,0.24580703675746918,0.23889042437076569,1.0,0.47969770431518555,0.16485145688056946
allegations,0.23008185625076294,0.20910796523094177,0.2673138976097107,0.2627026438713074,0.2922511100769043,0.23401103913784027,0.47969770431518555,1.0,0.23546560108661652
.,0.3567904531955719,0.41511186957359314,0.21802116930484772,0.3378238379955292,0.2553862929344177,0.3936232924461365,0.1565260887145996,0.2857607901096344,0.4130953550338745
