,in,what,field,were,double,and,triple,expansion,engines,common,?
these,0.3791837692260742,0.4164220690727234,0.2095874398946762,0.587685227394104,0.20845143496990204,0.5314885973930359,0.17298679053783417,0.2354423701763153,0.30611324310302734,0.3613099455833435,0.2571668326854706
stages,0.25691351294517517,0.18274828791618347,0.13621020317077637,0.20913328230381012,0.19439378380775452,0.207217738032341,0.15978610515594482,0.2172745317220688,0.27338987588882446,0.17846167087554932,0.12672165036201477
were,0.3815755248069763,0.22298263013362885,0.11600887030363083,1.0000001192092896,0.1562480628490448,0.42175528407096863,0.15936224162578583,0.13583680987358093,0.27072596549987793,0.14443030953407288,0.17890112102031708
called,0.40847352147102356,0.3235960602760315,0.1313139796257019,0.30364301800727844,0.15876372158527374,0.3251761794090271,0.1617029756307602,0.17007233202457428,0.17459313571453094,0.2879287302494049,0.18963319063186646
expansions,0.21610671281814575,0.24984155595302582,0.18302468955516815,0.20045426487922668,0.14576205611228943,0.24121059477329254,0.15415455400943756,0.9303915500640869,0.2961667776107788,0.140205517411232,0.20206446945667267
",",0.5201468467712402,0.3087472915649414,0.27645614743232727,0.36755475401878357,0.22470229864120483,0.6633074283599854,0.2646174430847168,0.15777990221977234,0.20245449244976044,0.2497023195028305,0.31091248989105225
with,0.4080928862094879,0.2464839518070221,0.15400348603725433,0.3179011940956116,0.2484344244003296,0.5477725267410278,0.25994884967803955,0.17767347395420074,0.21779674291610718,0.26739466190338135,0.2433311939239502
double,0.1451583355665207,0.16209302842617035,0.14734165370464325,0.1562480628490448,1.0000001192092896,0.19456486403942108,0.43051427602767944,0.14669793844223022,0.15108242630958557,0.15928032994270325,0.10017921775579453
and,0.4954058527946472,0.31309178471565247,0.26487240195274353,0.42175528407096863,0.19456486403942108,1.0,0.2567623555660248,0.1901247650384903,0.21148960292339325,0.229714497923851,0.20544172823429108
triple,0.18327002227306366,0.1699010133743286,0.14161363244056702,0.15936224162578583,0.43051427602767944,0.2567623555660248,1.0000001192092896,0.14901380240917206,0.06898585706949234,0.1567251831293106,0.10550399124622345
expansion,0.20021484792232513,0.2671823799610138,0.16464877128601074,0.13583680987358093,0.14669793844223022,0.1901247650384903,0.14901380240917206,1.0,0.2381553053855896,0.12522944808006287,0.18286365270614624
engines,0.18084456026554108,0.1634974628686905,0.15504786372184753,0.27072596549987793,0.15108242630958557,0.21148960292339325,0.06898585706949234,0.2381553053855896,1.0000001192092896,0.16336455941200256,0.18940703570842743
being,0.33162933588027954,0.3760843276977539,0.1572093516588211,0.4775565266609192,0.13502129912376404,0.4286794066429138,0.23594129085540771,0.2160266935825348,0.21743115782737732,0.14820167422294617,0.26743772625923157
common,0.23149342834949493,0.19989867508411407,0.12510007619857788,0.14443030953407288,0.15928032994270325,0.229714497923851,0.1567251831293106,0.12522944808006287,0.16336455941200256,0.9999998807907104,0.20434872806072235
",",0.5201468467712402,0.3087472915649414,0.27645614743232727,0.36755475401878357,0.22470229864120483,0.6633074283599854,0.2646174430847168,0.15777990221977234,0.20245449244976044,0.2497023195028305,0.31091248989105225
especially,0.3526567816734314,0.3590192496776581,0.23387411236763,0.35192251205444336,0.1395711898803711,0.47893428802490234,0.12194672971963882,0.1449676752090454,0.15060830116271973,0.40245702862739563,0.19751401245594025
in,1.0,0.30808621644973755,0.20553018152713776,0.3815755248069763,0.1451583355665207,0.4954058527946472,0.18327002227306366,0.20021484792232513,0.18084456026554108,0.23149342834949493,0.20430970191955566
shipping,0.22993473708629608,0.165150985121727,0.1810569316148758,0.27685683965682983,0.09487690031528473,0.3370305597782135,0.18454375863075256,0.2123345285654068,0.23539650440216064,0.14381873607635498,0.1596645563840866
where,0.5344807505607605,0.4457937180995941,0.1689169704914093,0.2363632768392563,0.19478586316108704,0.43859338760375977,0.1910674273967743,0.18731482326984406,0.14921875298023224,0.21611684560775757,0.24793872237205505
efficiency,0.1609385907649994,0.1758391559123993,0.17709746956825256,0.1054115742444992,0.21910244226455688,0.257267564535141,0.11760246753692627,0.36425748467445374,0.40249547362327576,0.218870609998703,0.14680004119873047
was,0.45514053106307983,0.22111038863658905,0.15975919365882874,0.590133786201477,0.16609808802604675,0.3740963041782379,0.20607773959636688,0.16902519762516022,0.18948708474636078,0.0880795493721962,0.18412111699581146
important,0.3796374499797821,0.31164905428886414,0.21620510518550873,0.20263507962226868,0.06594769656658173,0.37549954652786255,0.15765361487865448,0.15488432347774506,0.11883186548948288,0.38180869817733765,0.17812499403953552
to,0.45010748505592346,0.455847829580307,0.2647967040538788,0.31913647055625916,0.16518351435661316,0.48971283435821533,0.20908141136169434,0.2769574522972107,0.24536406993865967,0.21109338104724884,0.29463258385658264
reduce,0.22053970396518707,0.18258237838745117,0.13735559582710266,0.1593719720840454,0.2646862864494324,0.2456025630235672,0.18925030529499054,0.3301701247692108,0.2952462434768677,0.255198210477829,0.1462220549583435
the,0.6662389636039734,0.42745697498321533,0.2105809599161148,0.3906462490558624,0.21355170011520386,0.5171257257461548,0.23220868408679962,0.31353142857551575,0.2245008647441864,0.2705984115600586,0.22068053483963013
weight,0.14912216365337372,0.20223349332809448,0.18558722734451294,0.1475503295660019,0.16180258989334106,0.20614244043827057,0.16665121912956238,0.1449764519929886,0.25260797142982483,0.21431544423103333,0.18111222982406616
of,0.5696388483047485,0.33290785551071167,0.20410659909248352,0.34038281440734863,0.18580502271652222,0.5116966962814331,0.19114786386489868,0.24185356497764587,0.17593856155872345,0.2949881851673126,0.1826142966747284
coal,0.25431546568870544,0.15859243273735046,0.17475944757461548,0.23825810849666595,0.07412423193454742,0.23463141918182373,0.13496044278144836,0.1401342749595642,0.28264644742012024,0.205184206366539,0.10339318215847015
carried,0.22688958048820496,0.17649970948696136,0.19269412755966187,0.31860119104385376,0.05195441097021103,0.2700822949409485,0.07911340892314911,0.10998345911502838,0.18162241578102112,0.18050801753997803,0.1305524855852127
.,0.5591574311256409,0.3567904531955719,0.23224417865276337,0.3378238379955292,0.22321613132953644,0.588965117931366,0.2163039892911911,0.18406090140342712,0.24894580245018005,0.21817955374717712,0.4130953550338745
