,what,is,luther,'s,thought,about,the,extent,of,his,church,?
luther,0.2134782373905182,0.08282390236854553,1.0,-0.009990512393414974,0.16052690148353577,0.203048437833786,0.1759674996137619,0.035400453954935074,0.1719115972518921,0.27093374729156494,0.379041463136673,0.1732746809720993
's,0.02692362666130066,0.02396530658006668,-0.009990512393414974,0.9999999403953552,0.04379833862185478,-0.020936643704771996,-0.01540423184633255,0.04428907483816147,-0.03817026689648628,0.047556519508361816,0.023664841428399086,-0.023395681753754616
thought,0.4469435214996338,0.28001952171325684,0.16052690148353577,0.04379833862185478,1.0000001192092896,0.3717701733112335,0.3509289622306824,0.28366103768348694,0.34673458337783813,0.2999570071697235,0.17495398223400116,0.2600135803222656
is,0.28837618231773376,1.0,0.08282390236854553,0.02396530658006668,0.28001952171325684,0.3532065451145172,0.5823672413825989,0.21776145696640015,0.4854315221309662,0.24372583627700806,0.203276589512825,0.22961433231830597
revolutionary,0.15823614597320557,0.1598234474658966,0.26112210750579834,-0.03846333548426628,0.2188536673784256,0.18408265709877014,0.24521014094352722,0.07051553577184677,0.29118266701698303,0.18757833540439606,0.20489060878753662,0.1343436986207962
to,0.455847829580307,0.42745086550712585,0.18029534816741943,0.03782717138528824,0.3858291208744049,0.391953706741333,0.535392165184021,0.26711156964302063,0.41548454761505127,0.3715193271636963,0.24439501762390137,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,0.1759674996137619,-0.01540423184633255,0.3509289622306824,0.37995871901512146,1.0,0.2727625370025635,0.733189046382904,0.4394008219242096,0.23846197128295898,0.22068053483963013
extent,0.369102418422699,0.21776145696640015,0.035400453954935074,0.04428907483816147,0.28366103768348694,0.2609988749027252,0.2727625370025635,1.0,0.31072598695755005,0.20793306827545166,0.12682481110095978,0.1940663903951645
that,0.6297725439071655,0.3995479643344879,0.21746599674224854,0.04397977516055107,0.520185112953186,0.4500710964202881,0.5473989248275757,0.3597891628742218,0.41498205065727234,0.3173833191394806,0.18300943076610565,0.32716336846351624
it,0.45803478360176086,0.6328473687171936,0.15365919470787048,0.06608816236257553,0.3732614517211914,0.4291239380836487,0.6251175999641418,0.2926979064941406,0.38761502504348755,0.2876833975315094,0.23105517029762268,0.25732165575027466
is,0.28837618231773376,1.0,0.08282390236854553,0.02396530658006668,0.28001952171325684,0.3532065451145172,0.5823672413825989,0.21776145696640015,0.4854315221309662,0.24372583627700806,0.203276589512825,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.17967689037322998,0.04866964742541313,0.3342154324054718,0.34171196818351746,0.5829201340675354,0.20074869692325592,0.5052502155303955,0.3497250974178314,0.19588641822338104,0.23916715383529663
theology,0.322174996137619,0.16262532770633698,0.3810495138168335,0.020489903166890144,0.19939224421977997,0.24707390367984772,0.1939574033021927,0.13601849973201752,0.274120032787323,0.25988489389419556,0.4570952355861664,0.1560962051153183
of,0.33290785551071167,0.4854315221309662,0.1719115972518921,-0.03817026689648628,0.34673458337783813,0.40939709544181824,0.733189046382904,0.31072598695755005,1.0,0.38364991545677185,0.3079429268836975,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.1759674996137619,-0.01540423184633255,0.3509289622306824,0.37995871901512146,1.0,0.2727625370025635,0.733189046382904,0.4394008219242096,0.23846197128295898,0.22068053483963013
cross,0.1799720823764801,0.18649064004421234,0.21530480682849884,0.009486227296292782,0.17739155888557434,0.11430683732032776,0.25741100311279297,0.13083311915397644,0.2018742561340332,0.14299188554286957,0.20300160348415375,0.12288589030504227
",",0.3087472915649414,0.4691906273365021,0.23255878686904907,-0.0016132977325469255,0.2965437173843384,0.3877100944519043,0.4933079481124878,0.2477271556854248,0.4946078956127167,0.3378419280052185,0.2707274258136749,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.1759674996137619,-0.01540423184633255,0.3509289622306824,0.37995871901512146,1.0,0.2727625370025635,0.733189046382904,0.4394008219242096,0.23846197128295898,0.22068053483963013
negation,0.29476937651634216,0.18600696325302124,0.20645837485790253,-0.017185507342219353,0.2664652168750763,0.2003829926252365,0.286015123128891,0.24424442648887634,0.22688134014606476,0.19887810945510864,0.2621166706085205,0.18449290096759796
of,0.33290785551071167,0.4854315221309662,0.1719115972518921,-0.03817026689648628,0.34673458337783813,0.40939709544181824,0.733189046382904,0.31072598695755005,1.0,0.38364991545677185,0.3079429268836975,0.1826142966747284
every,0.30284011363983154,0.3428492546081543,0.13942168653011322,0.04262643679976463,0.2058114856481552,0.31516337394714355,0.4023689329624176,0.17153529822826385,0.3414052724838257,0.262839138507843,0.132063627243042,0.24066033959388733
affirmation,0.3352443277835846,0.22552774846553802,0.32642224431037903,-0.030140746384859085,0.24051469564437866,0.19209899008274078,0.29707154631614685,0.21770696341991425,0.31001949310302734,0.2816305458545685,0.33050280809402466,0.3014377951622009
:,-0.12022944539785385,-0.07222653180360794,-0.0567622147500515,0.07621461898088455,-0.11557964235544205,-0.14031879603862762,-0.03403344005346298,-0.13843689858913422,-0.08807745575904846,-0.010826457291841507,-0.07043963670730591,-0.07156077772378922
as,0.31749409437179565,0.43216490745544434,0.20242992043495178,-0.05775856226682663,0.3461970388889313,0.2989700436592102,0.48381632566452026,0.2333996593952179,0.3886612355709076,0.3146366477012634,0.211966410279274,0.27043893933296204
long,0.28276848793029785,0.28473302721977234,0.11501485854387283,-0.021484635770320892,0.27070891857147217,0.39844584465026855,0.3075225353240967,0.2556036412715912,0.2567519545555115,0.18129055202007294,0.10489097237586975,0.19699987769126892
as,0.31749409437179565,0.43216490745544434,0.20242992043495178,-0.05775856226682663,0.3461970388889313,0.2989700436592102,0.48381632566452026,0.2333996593952179,0.3886612355709076,0.3146366477012634,0.211966410279274,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,0.1759674996137619,-0.01540423184633255,0.3509289622306824,0.37995871901512146,1.0,0.2727625370025635,0.733189046382904,0.4394008219242096,0.23846197128295898,0.22068053483963013
cross,0.1799720823764801,0.18649064004421234,0.21530480682849884,0.009486227296292782,0.17739155888557434,0.11430683732032776,0.25741100311279297,0.13083311915397644,0.2018742561340332,0.14299188554286957,0.20300160348415375,0.12288589030504227
is,0.28837618231773376,1.0,0.08282390236854553,0.02396530658006668,0.28001952171325684,0.3532065451145172,0.5823672413825989,0.21776145696640015,0.4854315221309662,0.24372583627700806,0.203276589512825,0.22961433231830597
at,0.2838611304759979,0.25906258821487427,0.13834704458713531,-0.08481216430664062,0.23700381815433502,0.3110121488571167,0.457212895154953,0.10650227963924408,0.42558613419532776,0.27659502625465393,0.1633070856332779,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,0.1759674996137619,-0.01540423184633255,0.3509289622306824,0.37995871901512146,1.0,0.2727625370025635,0.733189046382904,0.4394008219242096,0.23846197128295898,0.22068053483963013
center,0.1908310204744339,0.24782158434391022,0.11677845567464828,-0.006294060964137316,0.17956353724002838,0.1520894169807434,0.29064592719078064,0.1681867241859436,0.24526838958263397,0.11023364216089249,0.09297051280736923,0.12538520991802216
",",0.3087472915649414,0.4691906273365021,0.23255878686904907,-0.0016132977325469255,0.2965437173843384,0.3877100944519043,0.4933079481124878,0.2477271556854248,0.4946078956127167,0.3378419280052185,0.2707274258136749,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.1759674996137619,-0.01540423184633255,0.3509289622306824,0.37995871901512146,1.0,0.2727625370025635,0.733189046382904,0.4394008219242096,0.23846197128295898,0.22068053483963013
system,0.23557309806346893,0.2282046526670456,0.09755570441484451,0.04329425096511841,0.22163662314414978,0.2074505239725113,0.3233085572719574,0.24855518341064453,0.25597915053367615,0.15711051225662231,0.12409090250730515,0.15556083619594574
