,what,percentage,of,warsaw,'s,population,was,protestant,in,1901,?
according,0.2776208221912384,0.18052242696285248,0.3307822346687317,0.10470367968082428,-0.0037221983075141907,0.3151155114173889,0.31116798520088196,0.20048846304416656,0.29259276390075684,0.013727563433349133,0.21173474192619324
to,0.455847829580307,0.25744274258613586,0.41548454761505127,0.1953994333744049,0.03782717138528824,0.19776633381843567,0.3636345863342285,0.23639842867851257,0.45010748505592346,-0.024875154718756676,0.29463258385658264
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.23137180507183075,-0.01540423184633255,0.32044094800949097,0.48711544275283813,0.2679212689399719,0.6662389636039734,0.01573479175567627,0.22068053483963013
1901,-0.07605163753032684,-0.03696262836456299,0.09594502300024033,-0.012067366391420364,0.09739921987056732,-0.05273419991135597,-0.008113718591630459,0.028926439583301544,-0.01662074401974678,1.0000001192092896,-0.041070252656936646
census,0.2061002552509308,0.27352070808410645,0.19615516066551208,0.13932354748249054,-0.02488090842962265,0.6778454184532166,0.1721275895833969,0.1997782588005066,0.2571312189102173,-0.019547389820218086,0.12548218667507172
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.25300899147987366,-0.0016132977325469255,0.2967977225780487,0.45456063747406006,0.2710806429386139,0.5201468467712402,0.02599540539085865,0.31091248989105225
out,0.3633197546005249,0.2497665137052536,0.34176841378211975,0.10430089384317398,0.0021837172098457813,0.14538586139678955,0.28168347477912903,0.1826562136411667,0.3576207756996155,-0.03214217349886894,0.22020699083805084
of,0.33290785551071167,0.24724560976028442,1.0,0.19253842532634735,-0.03817026689648628,0.3060894012451172,0.4069072902202606,0.31440475583076477,0.5696388483047485,0.09594502300024033,0.1826142966747284
"711,988",0.0362110435962677,0.10231273621320724,0.23239538073539734,0.2807043790817261,-0.08086556941270828,0.10793537646532059,0.21456320583820343,0.07947605848312378,0.15355929732322693,0.02684847079217434,0.08115584403276443
inhabitants,0.14762155711650848,0.22486861050128937,0.26628780364990234,0.19971264898777008,0.05056171491742134,0.6283577680587769,0.2085801661014557,0.27303144335746765,0.29904377460479736,-0.06393679976463318,0.1312350630760193
56.2,0.10557471215724945,0.11027582734823227,0.2813231348991394,0.35300031304359436,0.018849648535251617,0.23846852779388428,0.18462179601192474,0.3332243263721466,0.15329475700855255,0.08503976464271545,0.20704051852226257
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.09878579527139664,0.031266406178474426,0.4585210084915161,0.11743833869695663,0.23472605645656586,0.19465309381484985,-0.04127652198076248,0.21441808342933655
were,0.22298263013362885,0.2134767770767212,0.34038281440734863,0.18216076493263245,0.007088581565767527,0.17721828818321228,0.590133786201477,0.3005668818950653,0.3815755248069763,0.021275173872709274,0.17890112102031708
catholics,0.2566930949687958,0.24587275087833405,0.3054737448692322,0.22003144025802612,0.09235575050115585,0.24510858952999115,0.2618641257286072,0.6940770149230957,0.20728369057178497,-0.025241641327738762,0.17714823782444
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.25300899147987366,-0.0016132977325469255,0.2967977225780487,0.45456063747406006,0.2710806429386139,0.5201468467712402,0.02599540539085865,0.31091248989105225
