,in,1785,james,hutton,presented,what,paper,to,the,royal,society,of,edinburgh,?
in,1.0,0.0857386514544487,0.1994210183620453,0.2178497314453125,0.3047972023487091,0.30808621644973755,0.18605142831802368,0.45010748505592346,0.6662389636039734,0.22172321379184723,0.21229879558086395,0.5696388483047485,0.19197756052017212,0.20430970191955566
1785,0.0857386514544487,1.0,0.047373924404382706,0.026995642110705376,0.099543496966362,0.17638301849365234,0.0565318688750267,0.10067566484212875,0.09528759121894836,0.08061134070158005,0.10537462681531906,0.11760743707418442,0.06651674956083298,0.2217368632555008
he,0.41690486669540405,-0.02057967521250248,0.27831122279167175,0.22201204299926758,0.2304069697856903,0.3114890456199646,0.19870227575302124,0.385390967130661,0.4571082592010498,0.2617153227329254,0.2447524517774582,0.38706058263778687,0.18708233535289764,0.2089974731206894
presented,0.3047972023487091,0.099543496966362,0.20388947427272797,0.1906563937664032,1.0,0.23381416499614716,0.18222388625144958,0.24592746794223785,0.3251480758190155,0.2626765966415405,0.2539563477039337,0.30231305956840515,0.23978865146636963,0.17025142908096313
a,0.539380669593811,0.05294662341475487,0.19130736589431763,0.2356003224849701,0.24034897983074188,0.3320399522781372,0.25947141647338867,0.45503583550453186,0.5829201340675354,0.19676944613456726,0.22652459144592285,0.5052502155303955,0.16328458487987518,0.23916715383529663
paper,0.18605142831802368,0.0565318688750267,0.08459413051605225,0.19836357235908508,0.18222388625144958,0.21202662587165833,0.9999998807907104,0.22220565378665924,0.2077420949935913,0.10746955126523972,0.18354474008083344,0.19050662219524384,0.16594989597797394,0.12693770229816437
entitled,0.2123948633670807,0.18666306138038635,0.20624759793281555,0.112942636013031,0.3654944598674774,0.3050041198730469,0.2219185084104538,0.2588021159172058,0.2671615183353424,0.18204231560230255,0.23185086250305176,0.2524459660053253,0.1921169012784958,0.2216128408908844
theory,0.16955126821994781,0.18378376960754395,0.1862705498933792,0.2892443835735321,0.20272302627563477,0.297923743724823,0.3318958878517151,0.21947365999221802,0.2277156263589859,0.11795350909233093,0.2706367075443268,0.23506702482700348,0.13181433081626892,0.1387292891740799
of,0.5696388483047485,0.11760743707418442,0.18323110044002533,0.18316355347633362,0.30231305956840515,0.33290785551071167,0.19050662219524384,0.41548454761505127,0.733189046382904,0.3112924098968506,0.23646748065948486,1.0,0.263994961977005,0.1826142966747284
the,0.6662389636039734,0.09528759121894836,0.22481533885002136,0.20083338022232056,0.3251480758190155,0.42745697498321533,0.2077420949935913,0.535392165184021,1.0,0.2997032403945923,0.2789285480976105,0.733189046382904,0.2266589254140854,0.22068053483963013
earth,0.18566735088825226,0.03894788399338722,0.15007442235946655,0.2031727284193039,0.13448520004749298,0.25883176922798157,0.15420760214328766,0.2486501932144165,0.2801888585090637,0.10277814418077469,0.21018274128437042,0.2329314798116684,0.18802019953727722,0.17717236280441284
to,0.45010748505592346,0.10067566484212875,0.22204333543777466,0.14984355866909027,0.24592746794223785,0.455847829580307,0.22220565378665924,1.0,0.535392165184021,0.20404569804668427,0.20199917256832123,0.41548454761505127,0.14218463003635406,0.29463258385658264
the,0.6662389636039734,0.09528759121894836,0.22481533885002136,0.20083338022232056,0.3251480758190155,0.42745697498321533,0.2077420949935913,0.535392165184021,1.0,0.2997032403945923,0.2789285480976105,0.733189046382904,0.2266589254140854,0.22068053483963013
royal,0.22172321379184723,0.08061134070158005,0.26190972328186035,0.16361136734485626,0.2626765966415405,0.16189028322696686,0.10746955126523972,0.20404569804668427,0.2997032403945923,0.9999999403953552,0.42192018032073975,0.3112924098968506,0.3590097427368164,0.11453001946210861
society,0.21229879558086395,0.10537462681531906,0.2184673547744751,0.19772642850875854,0.2539563477039337,0.23231269419193268,0.18354474008083344,0.20199917256832123,0.2789285480976105,0.42192018032073975,0.9999998807907104,0.23646748065948486,0.22704970836639404,0.1373005360364914
of,0.5696388483047485,0.11760743707418442,0.18323110044002533,0.18316355347633362,0.30231305956840515,0.33290785551071167,0.19050662219524384,0.41548454761505127,0.733189046382904,0.3112924098968506,0.23646748065948486,1.0,0.263994961977005,0.1826142966747284
edinburgh,0.19197756052017212,0.06651674956083298,0.26783379912376404,0.3295924663543701,0.23978865146636963,0.10800135135650635,0.16594989597797394,0.14218463003635406,0.2266589254140854,0.3590097427368164,0.22704970836639404,0.263994961977005,1.0000001192092896,0.09266204386949539
.,0.5591574311256409,0.14035065472126007,0.2421826720237732,0.28310081362724304,0.2494649887084961,0.3567904531955719,0.2429187148809433,0.4645031690597534,0.5934505462646484,0.19540183246135712,0.18022798001766205,0.5352458953857422,0.215346097946167,0.4130953550338745
