,what,was,the,program,in,the,first,children,'s,program,block,to,be,broadcast,in,hd,?
the,0.42745697498321533,0.48711544275283813,1.0,0.22986935079097748,0.6662389636039734,1.0,0.49448907375335693,0.15654058754444122,-0.01540423184633255,0.22986935079097748,0.20056472718715668,0.535392165184021,0.4248143136501312,0.2713715434074402,0.6662389636039734,0.19996047019958496,0.22068053483963013
affiliate-syndicated,0.1694742739200592,0.2125416100025177,0.27953189611434937,0.42270249128341675,0.2763359248638153,0.27953189611434937,0.25922608375549316,0.21953441202640533,0.04597272351384163,0.42270249128341675,0.2083970308303833,0.22109268605709076,0.17697852849960327,0.4623783826828003,0.2763359248638153,0.33328381180763245,0.1453527808189392
saturday,0.20265169441699982,0.2761712670326233,0.2665596902370453,0.254894882440567,0.22404831647872925,0.2665596902370453,0.21036851406097412,0.17654410004615784,0.08832230418920517,0.254894882440567,0.2552322447299957,0.20486420392990112,0.254177451133728,0.3708164691925049,0.22404831647872925,0.26668781042099,0.18917468190193176
morning,0.24708515405654907,0.2467874437570572,0.23715223371982574,0.23087167739868164,0.23238615691661835,0.23715223371982574,0.1886126548051834,0.18332825601100922,-0.03390452638268471,0.23087167739868164,0.24884934723377228,0.2066953182220459,0.16357150673866272,0.3240245580673218,0.23238615691661835,0.16913320124149323,0.17971698939800262
e/i,0.4190255403518677,0.22931301593780518,0.32989802956581116,0.437043160200119,0.24294178187847137,0.32989802956581116,0.2969047725200653,0.2543952167034149,0.07912719994783401,0.437043160200119,0.40496566891670227,0.3422328531742096,0.3863566219806671,0.39040663838386536,0.24294178187847137,0.3474980592727661,0.4183632731437683
block,0.33229514956474304,0.1182115375995636,0.20056472718715668,0.2596672773361206,0.1659933477640152,0.20056472718715668,0.1333039402961731,0.19410966336727142,0.02706337347626686,0.2596672773361206,1.0,0.30297139286994934,0.29812389612197876,0.20833289623260498,0.1659933477640152,0.1505214124917984,0.27211859822273254
litton,0.07611049711704254,0.3098887801170349,0.27394604682922363,0.1896667629480362,0.26313135027885437,0.27394604682922363,0.2757542133331299,0.2537797689437866,0.0712587982416153,0.1896667629480362,0.19166024029254913,0.17784494161605835,0.12362648546695709,0.27607035636901855,0.26313135027885437,0.25494828820228577,0.1504717618227005
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.0445902980864048,-0.037580832839012146,-0.01540423184633255,-0.014458609744906425,0.0160713829100132,0.9999999403953552,0.0445902980864048,0.02706337347626686,0.03782717138528824,0.025217169895768166,0.0797032043337822,-0.037580832839012146,0.12504087388515472,-0.023395681753754616
weekend,0.19973790645599365,0.17549192905426025,0.19240649044513702,0.20398564636707306,0.2298220843076706,0.19240649044513702,0.260020911693573,0.18863707780838013,0.023352691903710365,0.20398564636707306,0.26431816816329956,0.2586993873119354,0.19635464251041412,0.30675965547561646,0.2298220843076706,0.16746611893177032,0.29261621832847595
aventure,0.21353501081466675,0.2687751352787018,0.2565247416496277,0.23244184255599976,0.21572351455688477,0.2565247416496277,0.23105062544345856,0.20792433619499207,0.04650344327092171,0.23244184255599976,0.1510951668024063,0.24267862737178802,0.10706691443920135,0.13825564086437225,0.21572351455688477,0.22605174779891968,0.15606345236301422
