,what,are,committees,in,the,scottish,parliament,compared,to,other,systems,?
the,0.42745697498321533,0.40399202704429626,0.2924276292324066,0.6662389636039734,1.0,0.21724988520145416,0.26521381735801697,0.28685078024864197,0.535392165184021,0.44152235984802246,0.28089964389801025,0.22068053483963013
role,0.22614215314388275,0.1439027637243271,0.11711247265338898,0.243671715259552,0.26607486605644226,0.10963016748428345,0.1392432600259781,0.14530086517333984,0.17841029167175293,0.1534264087677002,0.122825026512146,0.18676944077014923
of,0.33290785551071167,0.39081433415412903,0.34709328413009644,0.5696388483047485,0.733189046382904,0.1698460429906845,0.2885259687900543,0.3360389769077301,0.41548454761505127,0.38583824038505554,0.277031809091568,0.1826142966747284
committees,0.1853698194026947,0.280746728181839,1.0,0.2531541585922241,0.2924276292324066,0.18123844265937805,0.4124729335308075,0.17640799283981323,0.2806923985481262,0.2986913323402405,0.28172194957733154,0.1382787674665451
is,0.28837618231773376,0.5330929756164551,0.15802469849586487,0.5394441485404968,0.5823672413825989,0.16398480534553528,0.19676777720451355,0.2816821038722992,0.42745086550712585,0.25895947217941284,0.23126937448978424,0.22961433231830597
stronger,0.26740801334381104,0.23034387826919556,0.10433048754930496,0.20021474361419678,0.24540938436985016,0.09789153933525085,0.1409642994403839,0.31160563230514526,0.32863837480545044,0.3136965334415436,0.19038960337638855,0.12132075428962708
in,0.30808621644973755,0.3841303884983063,0.2531541585922241,1.0,0.6662389636039734,0.16512006521224976,0.2323146015405655,0.2479310929775238,0.45010748505592346,0.39989137649536133,0.21664761006832123,0.20430970191955566
the,0.42745697498321533,0.40399202704429626,0.2924276292324066,0.6662389636039734,1.0,0.21724988520145416,0.26521381735801697,0.28685078024864197,0.535392165184021,0.44152235984802246,0.28089964389801025,0.22068053483963013
scottish,0.13777151703834534,0.15686963498592377,0.18123844265937805,0.16512006521224976,0.21724988520145416,1.0000001192092896,0.3418616056442261,0.16950471699237823,0.1268421709537506,0.10248319059610367,0.142034649848938,0.06442669779062271
parliament,0.21650300920009613,0.09480422735214233,0.4124729335308075,0.2323146015405655,0.26521381735801697,0.3418616056442261,1.0,0.0852150246500969,0.20290622115135193,0.14233070611953735,0.12670791149139404,0.1586504578590393
than,0.29388150572776794,0.39206281304359436,0.16039985418319702,0.3270052373409271,0.3227543234825134,0.146635040640831,0.11233259737491608,0.4645072817802429,0.3192550539970398,0.5105555653572083,0.24288667738437653,0.24917294085025787
in,0.30808621644973755,0.3841303884983063,0.2531541585922241,1.0,0.6662389636039734,0.16512006521224976,0.2323146015405655,0.2479310929775238,0.45010748505592346,0.39989137649536133,0.21664761006832123,0.20430970191955566
other,0.341873437166214,0.5932393670082092,0.2986913323402405,0.39989137649536133,0.44152235984802246,0.10248319059610367,0.14233070611953735,0.32621124386787415,0.4193183183670044,0.9999999403953552,0.2805561125278473,0.24682199954986572
parliamentary,0.23120512068271637,0.1733841449022293,0.44163259863853455,0.2472391128540039,0.2708897888660431,0.3121192455291748,0.8464457392692566,0.1366950422525406,0.18938039243221283,0.16618046164512634,0.18186600506305695,0.1612216979265213
systems,0.1871482878923416,0.29607290029525757,0.28172194957733154,0.21664761006832123,0.28089964389801025,0.142034649848938,0.12670791149139404,0.18953213095664978,0.2514978349208832,0.2805561125278473,1.0,0.1575973927974701
",",0.3087472915649414,0.4062570035457611,0.2178204506635666,0.5201468467712402,0.4933079481124878,0.21369139850139618,0.25442883372306824,0.25363782048225403,0.44245919585227966,0.4446498453617096,0.22053997218608856,0.31091248989105225
partly,0.2688411772251129,0.2525939643383026,0.15564599633216858,0.261019229888916,0.30254924297332764,0.09784279018640518,0.1683153212070465,0.2754322290420532,0.18536102771759033,0.18229983747005463,0.2565014064311981,0.12213768810033798
as,0.31749409437179565,0.3826591968536377,0.21915607154369354,0.3887844979763031,0.48381632566452026,0.185140922665596,0.1639251410961151,0.2889116704463959,0.42092081904411316,0.42805421352386475,0.1958734095096588,0.27043893933296204
a,0.3320399522781372,0.265255331993103,0.21297448873519897,0.539380669593811,0.5829201340675354,0.18544672429561615,0.22951169312000275,0.2797974646091461,0.45503583550453186,0.2806335389614105,0.23904047906398773,0.23916715383529663
means,0.2553325295448303,0.36549869179725647,0.14251913130283356,0.1979396492242813,0.32225894927978516,0.055370721966028214,0.15683633089065552,0.22414864599704742,0.2301892638206482,0.2498726099729538,0.2605191171169281,0.21233566105365753
