,which,car,shows,the,dot,'s,revision,of,categories,?
federal,0.2950287163257599,0.19134627282619476,0.08368879556655884,0.27537089586257935,0.14390504360198975,-0.060341402888298035,0.17472007870674133,0.264590859413147,0.19542460143566132,0.1812247931957245
safety,0.25007596611976624,0.2614220380783081,0.06776532530784607,0.25972458720207214,0.13840927183628082,-0.06913796067237854,0.13534146547317505,0.18446403741836548,0.1236087754368782,0.1443338692188263
standards,0.28048795461654663,0.12684659659862518,0.1755589097738266,0.2433546632528305,0.11574839800596237,-0.015006564557552338,0.34152162075042725,0.18525971472263336,0.296478807926178,0.2011813372373581
",",0.3658004403114319,0.21104301512241364,0.26986414194107056,0.4933079481124878,0.1715073585510254,-0.0016132977325469255,0.1997217833995819,0.4946078956127167,0.2938539683818817,0.31091248989105225
such,0.406057745218277,0.11194871366024017,0.31230586767196655,0.3575236201286316,0.09101632237434387,0.05073437839746475,0.15625159442424774,0.3209529519081116,0.27411913871765137,0.17851735651493073
as,0.41006597876548767,0.1940445899963379,0.27829593420028687,0.48381632566452026,0.164186492562294,-0.05775856226682663,0.20356053113937378,0.3886612355709076,0.18829888105392456,0.27043893933296204
nhtsa,0.37413012981414795,0.378827840089798,0.13315050303936005,0.31857728958129883,0.22208993136882782,-0.05689568817615509,0.27585214376449585,0.2739928662776947,0.2679484188556671,0.27213916182518005
federal,0.2950287163257599,0.19134627282619476,0.08368879556655884,0.27537089586257935,0.14390504360198975,-0.060341402888298035,0.17472007870674133,0.264590859413147,0.19542460143566132,0.1812247931957245
motor,0.3341423571109772,0.543317437171936,0.10026700049638748,0.26024484634399414,0.06147942319512367,0.061700910329818726,0.08632360398769379,0.20839329063892365,0.13819123804569244,0.0637441948056221
vehicle,0.26802441477775574,0.5756374001502991,0.11672379076480865,0.20434843003749847,0.09852423518896103,0.04947027564048767,0.19431409239768982,0.19269394874572754,0.17404696345329285,0.16397647559642792
safety,0.25007596611976624,0.2614220380783081,0.06776532530784607,0.25972458720207214,0.13840927183628082,-0.06913796067237854,0.13534146547317505,0.18446403741836548,0.1236087754368782,0.1443338692188263
standard,0.2850717306137085,0.1792965531349182,0.15434037148952484,0.29008856415748596,0.18631736934185028,-0.011532524600625038,0.3063759207725525,0.2296806275844574,0.2845618426799774,0.17029257118701935
215,0.0391068272292614,-0.022643867880105972,0.005108686629682779,-0.03287012502551079,0.039175719022750854,0.0335761159658432,-0.05115970969200134,-0.02555396407842636,-0.002294373931363225,0.09714740514755249
(,0.2589828372001648,0.16872528195381165,0.18555068969726562,0.33289089798927307,0.11234655976295471,0.0012731997994706035,0.24301888048648834,0.35032153129577637,0.23118868470191956,0.40561532974243164
pertaining,0.3613375425338745,0.033708829432725906,0.2656717300415039,0.28831788897514343,0.14528129994869232,-0.055463869124650955,0.2977483570575714,0.33765938878059387,0.353777676820755,0.2915913462638855
to,0.5345056653022766,0.22916598618030548,0.23382455110549927,0.535392165184021,0.16016843914985657,0.03782717138528824,0.2258356362581253,0.41548454761505127,0.23065701127052307,0.29463258385658264
