,when,was,a,vote,help,to,ratify,the,change,to,the,constitution,?
a,0.44397395849227905,0.4508470594882965,1.0,0.21813347935676575,0.23381464183330536,0.45503583550453186,0.2277015596628189,0.5829201340675354,0.3047741651535034,0.45503583550453186,0.5829201340675354,0.21537603437900543,0.23916715383529663
referendum,0.17355266213417053,0.24151557683944702,0.21418535709381104,0.5859140157699585,0.17553506791591644,0.25115063786506653,0.49263086915016174,0.2520652413368225,0.2476625144481659,0.25115063786506653,0.2520652413368225,0.527525007724762,0.18056513369083405
to,0.5423505902290344,0.3636345863342285,0.45503583550453186,0.2892617881298065,0.46191298961639404,1.0,0.3491246700286865,0.535392165184021,0.3581787943840027,1.0,0.535392165184021,0.25991612672805786,0.29463258385658264
vote,0.18440549075603485,0.22398914396762848,0.21813347935676575,1.0,0.21734501421451569,0.2892617881298065,0.46999281644821167,0.22779929637908936,0.2845020592212677,0.2892617881298065,0.22779929637908936,0.4153718650341034,0.2888886630535126
on,0.37706470489501953,0.3909217119216919,0.3848365545272827,0.23685438930988312,0.24844828248023987,0.41031414270401,0.27446261048316956,0.5107308030128479,0.3118341565132141,0.41031414270401,0.5107308030128479,0.23429356515407562,0.2714994251728058
the,0.5091903209686279,0.48711544275283813,0.5829201340675354,0.22779929637908936,0.30064165592193604,0.535392165184021,0.2820034325122833,1.0,0.3641999065876007,0.535392165184021,1.0,0.3381718397140503,0.22068053483963013
proposed,0.17750206589698792,0.2461901754140854,0.2374454140663147,0.2813580632209778,0.17888188362121582,0.28162798285484314,0.4004530608654022,0.23840250074863434,0.25866055488586426,0.28162798285484314,0.23840250074863434,0.37578579783439636,0.24553193151950836
constitution,0.21416595578193665,0.2620309591293335,0.21537603437900543,0.4153718650341034,0.13314850628376007,0.25991612672805786,0.6604081392288208,0.3381718397140503,0.25646474957466125,0.25991612672805786,0.3381718397140503,1.0000001192092896,0.23706454038619995
was,0.37326499819755554,1.0000001192092896,0.4508470594882965,0.22398914396762848,0.14012886583805084,0.3636345863342285,0.24026010930538177,0.48711544275283813,0.18487286567687988,0.3636345863342285,0.48711544275283813,0.2620309591293335,0.18412111699581146
held,0.1848648637533188,0.30231067538261414,0.22326228022575378,0.21306642889976501,0.07978759706020355,0.22177374362945557,0.2505730390548706,0.32185450196266174,0.17220734059810638,0.22177374362945557,0.32185450196266174,0.23795676231384277,0.14103956520557404
on,0.37706470489501953,0.3909217119216919,0.3848365545272827,0.23685438930988312,0.24844828248023987,0.41031414270401,0.27446261048316956,0.5107308030128479,0.3118341565132141,0.41031414270401,0.5107308030128479,0.23429356515407562,0.2714994251728058
4,0.06794765591621399,0.23394860327243805,0.08102071285247803,-0.0015075887786224484,0.02543950267136097,0.059323787689208984,0.08552095293998718,0.15499350428581238,-0.05210447311401367,0.059323787689208984,0.15499350428581238,0.15109267830848694,0.010515431873500347
august,0.2603156566619873,0.42620858550071716,0.22687026858329773,0.2696930170059204,0.1518513709306717,0.2269229143857956,0.24686165153980255,0.22689028084278107,0.18290750682353973,0.2269229143857956,0.22689028084278107,0.18263059854507446,0.3006744682788849
2010,0.1552559733390808,0.23825319111347198,0.18140065670013428,0.2603743076324463,0.19294269382953644,0.3413967490196228,0.1367112249135971,0.31722962856292725,0.2345055788755417,0.3413967490196228,0.31722962856292725,0.13280795514583588,0.21232788264751434
",",0.36674630641937256,0.45456063747406006,0.427140474319458,0.27201512455940247,0.2855570912361145,0.44245919585227966,0.2278311848640442,0.4933079481124878,0.2752361297607422,0.44245919585227966,0.4933079481124878,0.2582484483718872,0.31091248989105225
