,who,did,the,bbc,work,with,to,reconstruct,some,of,the,invasion,episodes,?
the,0.3733934462070465,0.34736719727516174,1.0,0.2735401690006256,0.2704800069332123,0.4223487675189972,0.535392165184021,0.297644704580307,0.4566698372364044,0.733189046382904,1.0,0.32296645641326904,0.1889590173959732,0.22068053483963013
bbc,0.2086644321680069,0.1677953153848648,0.2735401690006256,1.0000001192092896,0.18523472547531128,0.20973603427410126,0.19421324133872986,0.0730409026145935,0.18018467724323273,0.1797877550125122,0.2735401690006256,0.20838119089603424,0.37426334619522095,0.20556949079036713
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.14724469184875488,0.3283594250679016,0.4120737314224243,0.44245919585227966,0.21558529138565063,0.42400437593460083,0.4946078956127167,0.4933079481124878,0.19455376267433167,0.2131132036447525,0.31091248989105225
in,0.2792111933231354,0.2593238651752472,0.6662389636039734,0.22430340945720673,0.2753349542617798,0.4080928862094879,0.45010748505592346,0.25501155853271484,0.4010399878025055,0.5696388483047485,0.6662389636039734,0.2543354034423828,0.17357411980628967,0.20430970191955566
conjunction,0.055414553731679916,0.13843421638011932,0.25903576612472534,0.15596862137317657,0.12750272452831268,0.26938486099243164,0.235834002494812,0.20132608711719513,0.2263258695602417,0.18689265847206116,0.25903576612472534,0.1685584932565689,0.16803011298179626,0.15015976130962372
with,0.3282766342163086,0.25472134351730347,0.4223487675189972,0.20973603427410126,0.2649822533130646,0.9999999403953552,0.4239959120750427,0.17902566492557526,0.3924338221549988,0.41827285289764404,0.4223487675189972,0.17501716315746307,0.24692673981189728,0.2433311939239502
animation,0.16731774806976318,0.13783329725265503,0.21901705861091614,0.19506368041038513,0.26805412769317627,0.1427425891160965,0.20589326322078705,0.21603164076805115,0.15945816040039062,0.2031644880771637,0.21901705861091614,0.14543530344963074,0.3658584952354431,0.16489346325397491
studio,0.16487343609333038,0.19244928658008575,0.24831420183181763,0.1856427937746048,0.2905292510986328,0.2151370346546173,0.2479427009820938,0.09480167925357819,0.16318917274475098,0.1954907327890396,0.24831420183181763,0.10243981331586838,0.2956605553627014,0.1974150836467743
cosgrove,0.3235829174518585,0.20111776888370514,0.2571113705635071,0.3487772047519684,0.1707693338394165,0.24876590073108673,0.2745324671268463,0.13165657222270966,0.18953967094421387,0.1745525300502777,0.2571113705635071,0.18093860149383545,0.36680951714515686,0.29951146245002747
hall,0.21594181656837463,0.12469075620174408,0.28526565432548523,0.1933399885892868,0.13587889075279236,0.15376675128936768,0.19474083185195923,0.16204650700092316,0.14387604594230652,0.23551815748214722,0.28526565432548523,0.04044276103377342,0.10282213985919952,0.13520537316799164
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.14724469184875488,0.3283594250679016,0.4120737314224243,0.44245919585227966,0.21558529138565063,0.42400437593460083,0.4946078956127167,0.4933079481124878,0.19455376267433167,0.2131132036447525,0.31091248989105225
reconstructed,0.15044674277305603,0.19385841488838196,0.3178611397743225,0.09855327755212784,0.20427130162715912,0.1756470948457718,0.22602376341819763,0.8702831268310547,0.24921251833438873,0.27102306485176086,0.3178611397743225,0.21530605852603912,0.10250789672136307,0.0945773795247078
the,0.3733934462070465,0.34736719727516174,1.0,0.2735401690006256,0.2704800069332123,0.4223487675189972,0.535392165184021,0.297644704580307,0.4566698372364044,0.733189046382904,1.0,0.32296645641326904,0.1889590173959732,0.22068053483963013
missing,0.16799874603748322,0.17122222483158112,0.2549445927143097,0.10691863298416138,0.16953928768634796,0.2869752049446106,0.260368674993515,0.22598055005073547,0.2727319896221161,0.23175521194934845,0.2549445927143097,0.08552170544862747,0.2341614067554474,0.2695959508419037
