,how,many,cds,does,newcastle,'s,library,have,?
its,0.22449488937854767,0.3319723308086395,0.19737309217453003,0.33437713980674744,0.19941815733909607,0.03202139586210251,0.15339885652065277,0.3852778375148773,0.15103481709957123
music,0.25244253873825073,0.27833521366119385,0.3643900454044342,0.13985829055309296,0.21259021759033203,0.09120280295610428,0.19550329446792603,0.18021658062934875,0.18264494836330414
library,0.09932420402765274,0.1814885139465332,0.21880853176116943,0.11357046663761139,0.17185014486312866,-0.09959429502487183,0.9999999403953552,0.11320055276155472,0.18938742578029633
contains,0.2188502848148346,0.24457506835460663,0.2941228747367859,0.30033645033836365,-0.0007679721456952393,-0.07157284766435623,0.23732417821884155,0.35270652174949646,0.15215006470680237
8000,0.08954917639493942,0.07418149709701538,-0.025416716933250427,0.08863353729248047,0.011647194623947144,-0.0442056842148304,0.15085150301456451,0.004743409343063831,0.09737082570791245
cds,0.2348242700099945,0.31736934185028076,0.9999999403953552,0.21348722279071808,0.08517073839902878,0.05435831844806671,0.21880853176116943,0.25116705894470215,0.18498381972312927
and,0.33647966384887695,0.5296266674995422,0.25778889656066895,0.3461615741252899,0.20204751193523407,0.06895173341035843,0.18451033532619476,0.4711785912513733,0.20544172823429108
"10,000",-0.08011393249034882,-0.13516037166118622,-0.019359637051820755,-0.0472201369702816,-0.08233629912137985,0.021436097100377083,0.011241113767027855,-0.13996334373950958,0.10342991352081299
lps,0.22236382961273193,0.2064588963985443,0.3850323557853699,0.18047794699668884,0.05072625353932381,-0.05643407255411148,0.16040316224098206,0.30417028069496155,0.15062327682971954
.,0.3287222981452942,0.3974229395389557,0.2857156991958618,0.3022993505001068,0.2714749276638031,-0.003708066651597619,0.23675528168678284,0.41614407300949097,0.4130953550338745
