,the,success,of,pathogens,is,predicated,on,their,ability,to,do,what,?
the,1.0,0.2764457166194916,0.733189046382904,0.23115308582782745,0.5823672413825989,0.19102923572063446,0.5107308030128479,0.516537070274353,0.24997951090335846,0.535392165184021,0.30239659547805786,0.42745697498321533,0.22068053483963013
success,0.2764457166194916,1.0000001192092896,0.20485365390777588,0.14745132625102997,0.1775658279657364,0.24439918994903564,0.20526273548603058,0.30365830659866333,0.2408132553100586,0.20929217338562012,0.16271664202213287,0.22873179614543915,0.1216118186712265
of,0.733189046382904,0.20485365390777588,1.0,0.22946582734584808,0.4854315221309662,0.21827566623687744,0.3966929316520691,0.4329940676689148,0.21105368435382843,0.41548454761505127,0.26150479912757874,0.33290785551071167,0.1826142966747284
any,0.4525727927684784,0.1995573788881302,0.3769088089466095,0.3393118977546692,0.35691767930984497,0.30816012620925903,0.2894362509250641,0.3989691734313965,0.38663026690483093,0.46410247683525085,0.4126444458961487,0.43670421838760376,0.4113408327102661
pathogen,0.21664372086524963,0.15984933078289032,0.22046351432800293,0.9557322263717651,0.1968173384666443,0.3601324260234833,0.12125926464796066,0.25849705934524536,0.38644832372665405,0.25253331661224365,0.2894016206264496,0.2550991475582123,0.1893778294324875
depends,0.3308880031108856,0.17051170766353607,0.3327617049217224,0.2831525206565857,0.40560126304626465,0.37520140409469604,0.31481608748435974,0.31560686230659485,0.2885150611400604,0.2660207748413086,0.28723788261413574,0.3503915071487427,0.18496274948120117
on,0.5107308030128479,0.20526273548603058,0.3966929316520691,0.12420286983251572,0.3635730445384979,0.21734286844730377,0.9999999403953552,0.3598666191101074,0.185123473405838,0.41031414270401,0.3025321364402771,0.34226128458976746,0.2714994251728058
its,0.559237003326416,0.26805078983306885,0.48690423369407654,0.21500372886657715,0.4447362422943115,0.24747806787490845,0.34331920742988586,0.5367968082427979,0.25409403443336487,0.3691340684890747,0.18495778739452362,0.30393704771995544,0.15103481709957123
ability,0.24997951090335846,0.2408132553100586,0.21105368435382843,0.3927858769893646,0.18390236794948578,0.3280409872531891,0.185123473405838,0.3777703642845154,0.9999998807907104,0.401883065700531,0.28784701228141785,0.26366251707077026,0.1955445408821106
to,0.535392165184021,0.20929217338562012,0.41548454761505127,0.26178881525993347,0.42745086550712585,0.2863733768463135,0.41031414270401,0.44619059562683105,0.401883065700531,1.0,0.38876664638519287,0.455847829580307,0.29463258385658264
elude,0.2776471972465515,0.22065412998199463,0.1808483898639679,0.13008634746074677,0.2178063541650772,0.18721869587898254,0.20854853093624115,0.16113369166851044,0.12341730296611786,0.15812940895557404,0.19755412638187408,0.23906320333480835,0.2573399543762207
host,0.26909032464027405,0.1090082898736,0.1709926575422287,0.2767496705055237,0.18300022184848785,0.12307317554950714,0.1900089532136917,0.2103118747472763,0.17788773775100708,0.18300798535346985,0.16446317732334137,0.12779991328716278,0.1021634042263031
immune,0.21364226937294006,0.1332787424325943,0.16620753705501556,0.5922579765319824,0.2092347890138626,0.39913126826286316,0.1933661848306656,0.27346232533454895,0.37216833233833313,0.2541976273059845,0.2294367402791977,0.2410416603088379,0.16080476343631744
responses,0.25337323546409607,0.278731107711792,0.202371284365654,0.4436391592025757,0.20693311095237732,0.4623219668865204,0.21359650790691376,0.27181026339530945,0.3796938955783844,0.279972106218338,0.3025057911872864,0.3741379678249359,0.23588258028030396
.,0.5934505462646484,0.25725793838500977,0.5352458953857422,0.2375609129667282,0.4569662809371948,0.20911788940429688,0.49257001280784607,0.34427863359451294,0.22488819062709808,0.4645031690597534,0.3613996207714081,0.3567904531955719,0.4130953550338745
