,when,was,the,augsburg,confession,signed,?
despite,0.2876652181148529,0.3650621473789215,0.3172689974308014,0.09760940819978714,0.20456713438034058,0.18352822959423065,0.14350546896457672
the,0.5091903209686279,0.48711544275283813,1.0,0.25331857800483704,0.19474709033966064,0.20675969123840332,0.22068053483963013
disagreements,0.2856937050819397,0.26011937856674194,0.28415536880493164,0.22510766983032227,0.3088131248950958,0.4017277657985687,0.22321587800979614
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.19920341670513153,0.19408480823040009,0.25481486320495605,0.2714994251728058
the,0.5091903209686279,0.48711544275283813,1.0,0.25331857800483704,0.19474709033966064,0.20675969123840332,0.22068053483963013
eucharist,0.19269311428070068,0.1848953664302826,0.22046668827533722,0.3268890380859375,0.4393100440502167,0.1144094318151474,0.15321393311023712
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.26016417145729065,0.24621757864952087,0.2289608120918274,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,1.0,0.25331857800483704,0.19474709033966064,0.20675969123840332,0.22068053483963013
marburg,0.15494747459888458,0.20434141159057617,0.2501940131187439,0.6569849848747253,0.25035980343818665,0.1368340253829956,0.21810835599899292
colloquy,0.24117827415466309,0.20938414335250854,0.2922760844230652,0.14040453732013702,0.2350258231163025,0.17676730453968048,0.2766325771808624
paved,0.16604207456111908,0.21576595306396484,0.23181872069835663,0.11465579271316528,0.13987302780151367,0.1987290233373642,0.12806759774684906
the,0.5091903209686279,0.48711544275283813,1.0,0.25331857800483704,0.19474709033966064,0.20675969123840332,0.22068053483963013
way,0.3943900763988495,0.2418399453163147,0.36217406392097473,0.1341395527124405,0.24448587000370026,0.19209569692611694,0.31575819849967957
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.1612590253353119,0.17102979123592377,0.20483724772930145,0.264628142118454
the,0.5091903209686279,0.48711544275283813,1.0,0.25331857800483704,0.19474709033966064,0.20675969123840332,0.22068053483963013
signing,0.2867964804172516,0.19628414511680603,0.3163802921772003,0.18542209267616272,0.21282248198986053,0.6627146601676941,0.15776143968105316
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.26930519938468933,0.18932084739208221,0.21830837428569794,0.20430970191955566
1530,-0.10988593101501465,-4.96999709866941e-05,-0.16544051468372345,0.11177947372198105,-0.061482250690460205,-0.003935348242521286,-0.001345398253761232
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2404417097568512,0.22894072532653809,0.19593118131160736,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.25331857800483704,0.19474709033966064,0.20675969123840332,0.22068053483963013
augsburg,0.16446144878864288,0.22768530249595642,0.25331857800483704,0.9999999403953552,0.36975979804992676,0.24735933542251587,0.19882380962371826
