,when,was,rhineland,subject,to,the,treaty,of,versailles,?
at,0.38876327872276306,0.36707764863967896,0.1413842886686325,0.20078150928020477,0.36524343490600586,0.457212895154953,0.14094549417495728,0.42558613419532776,0.23748092353343964,0.21978627145290375
the,0.5091903209686279,0.48711544275283813,0.3147023320198059,0.2387523651123047,0.535392165184021,1.0,0.2690109610557556,0.733189046382904,0.24600769579410553,0.22068053483963013
end,0.3228412866592407,0.19220198690891266,0.23497211933135986,0.16842980682849884,0.3229445815086365,0.39658910036087036,0.2533435523509979,0.2215006798505783,0.22387778759002686,0.12543344497680664
of,0.3757161796092987,0.4069072902202606,0.29512593150138855,0.21533280611038208,0.41548454761505127,0.733189046382904,0.2602092921733856,1.0,0.2543538808822632,0.1826142966747284
world,0.23794586956501007,0.3097524344921112,0.2313983291387558,0.12801681458950043,0.26213452219963074,0.33604270219802856,0.18934659659862518,0.2828933000564575,0.21618910133838654,0.17579582333564758
war,0.26339730620384216,0.3560331463813782,0.29304054379463196,0.19892966747283936,0.2610234022140503,0.366199791431427,0.412763386964798,0.31680163741111755,0.31079980731010437,0.15510529279708862
i,0.33498305082321167,0.23566235601902008,0.19160670042037964,0.31904152035713196,0.3140375316143036,0.26687872409820557,0.2067808210849762,0.25849398970603943,0.18208636343479156,0.4695145785808563
",",0.36674630641937256,0.45456063747406006,0.20026758313179016,0.25792038440704346,0.44245919585227966,0.4933079481124878,0.21270246803760529,0.4946078956127167,0.22810658812522888,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,0.3147023320198059,0.2387523651123047,0.535392165184021,1.0,0.2690109610557556,0.733189046382904,0.24600769579410553,0.22068053483963013
rhineland,0.16607217490673065,0.2024223506450653,0.9999999403953552,0.20523379743099213,0.19071489572525024,0.3147023320198059,0.29397815465927124,0.29512593150138855,0.3708762526512146,0.15271615982055664
was,0.37326499819755554,1.0000001192092896,0.2024223506450653,0.19509273767471313,0.3636345863342285,0.48711544275283813,0.2409621626138687,0.4069072902202606,0.23431116342544556,0.18412111699581146
subject,0.23772791028022766,0.19509273767471313,0.20523379743099213,1.0,0.3198980987071991,0.2387523651123047,0.15896666049957275,0.21533280611038208,0.1869916021823883,0.33952999114990234
to,0.5423505902290344,0.3636345863342285,0.19071489572525024,0.3198980987071991,1.0,0.535392165184021,0.1986158937215805,0.41548454761505127,0.19766239821910858,0.29463258385658264
the,0.5091903209686279,0.48711544275283813,0.3147023320198059,0.2387523651123047,0.535392165184021,1.0,0.2690109610557556,0.733189046382904,0.24600769579410553,0.22068053483963013
treaty,0.15431849658489227,0.2409621626138687,0.29397815465927124,0.15896666049957275,0.1986158937215805,0.2690109610557556,1.0,0.2602092921733856,0.4722655713558197,0.1174844279885292
of,0.3757161796092987,0.4069072902202606,0.29512593150138855,0.21533280611038208,0.41548454761505127,0.733189046382904,0.2602092921733856,1.0,0.2543538808822632,0.1826142966747284
versailles,0.17111614346504211,0.23431116342544556,0.3708762526512146,0.1869916021823883,0.19766239821910858,0.24600769579410553,0.4722655713558197,0.2543538808822632,1.0,0.15759283304214478
.,0.475719153881073,0.40146201848983765,0.22604186832904816,0.2536076307296753,0.4645031690597534,0.5934505462646484,0.17410176992416382,0.5352458953857422,0.2391590178012848,0.4130953550338745
