,what,was,the,naval,base,called,?
the,0.42745697498321533,0.48711544275283813,1.0,0.25506526231765747,0.2870652377605438,0.489897221326828,0.22068053483963013
further,0.30867868661880493,0.16107149422168732,0.32531118392944336,0.17000475525856018,0.1571033000946045,0.09739198535680771,0.20960763096809387
decline,0.2257683128118515,0.21410980820655823,0.2774365544319153,0.13379983603954315,0.12636269629001617,0.0861605554819107,0.131937175989151
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.28707146644592285,0.23717565834522247,0.4222904443740845,0.1826142966747284
byzantine,0.14889906346797943,0.1656121164560318,0.20800244808197021,0.26597896218299866,0.12323477864265442,0.08999312669038773,0.21581105887889862
state-of-affairs,0.23776061832904816,0.29221683740615845,0.2913438677787781,0.3913060426712036,0.13338370621204376,0.16421332955360413,0.19202600419521332
paved,0.19151762127876282,0.21576595306396484,0.23181872069835663,0.19951771199703217,0.19623784720897675,0.1970597803592682,0.12806759774684906
the,0.42745697498321533,0.48711544275283813,1.0,0.25506526231765747,0.2870652377605438,0.489897221326828,0.22068053483963013
road,0.14859327673912048,0.21728332340717316,0.27181798219680786,0.19515447318553925,0.20890386402606964,0.1667521595954895,0.10894691944122314
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.21798072755336761,0.2124793976545334,0.2987143397331238,0.29463258385658264
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.17352589964866638,0.27513372898101807,0.4868806302547455,0.23916715383529663
third,0.2033906877040863,0.3460187017917633,0.4229298532009125,0.1482776701450348,0.16845284402370453,0.3332443833351135,0.15394791960716248
attack,0.16093501448631287,0.22693441808223724,0.2508925497531891,0.1729126125574112,0.2524253726005554,0.14861193299293518,0.126759335398674
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2151644080877304,0.2292785793542862,0.40847352147102356,0.20430970191955566
1185,0.020737744867801666,0.04249080643057823,-0.036333922296762466,-0.04449428617954254,-0.05440167710185051,-0.016252920031547546,-0.006280554458498955
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21220709383487701,0.24008820950984955,0.26549121737480164,0.31091248989105225
when,0.4700249433517456,0.37326499819755554,0.5091903209686279,0.21309620141983032,0.2460559606552124,0.39188069105148315,0.22841128706932068
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.17352589964866638,0.27513372898101807,0.4868806302547455,0.23916715383529663
large,0.2017821967601776,0.21717436611652374,0.3828733265399933,0.09662750363349915,0.21972447633743286,0.3623717129230499,0.1355665624141693
norman,0.12319435924291611,0.21643765270709991,0.23459704220294952,0.2457878738641739,0.1583987921476364,0.13934558629989624,0.12243545055389404
army,0.1698741316795349,0.30177709460258484,0.31011611223220825,0.3991449475288391,0.2393622249364853,0.1467820703983307,0.180583193898201
invaded,0.2432452142238617,0.34299901127815247,0.35555320978164673,0.23782013356685638,0.16711553931236267,0.2658889591693878,0.20599597692489624
dyrrachium,0.2236851155757904,0.2753402888774872,0.2955700159072876,0.2422933429479599,0.2184116542339325,0.32904374599456787,0.2153829038143158
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21220709383487701,0.24008820950984955,0.26549121737480164,0.31091248989105225
owing,0.289824515581131,0.26184579730033875,0.31687432527542114,0.13545553386211395,0.13642160594463348,0.1553962379693985,0.1274413764476776
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.21798072755336761,0.2124793976545334,0.2987143397331238,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.25506526231765747,0.2870652377605438,0.489897221326828,0.22068053483963013
betrayal,0.29254525899887085,0.2219044417142868,0.28133559226989746,0.23685087263584137,0.12668657302856445,0.14151336252689362,0.1884389966726303
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.28707146644592285,0.23717565834522247,0.4222904443740845,0.1826142966747284
high,0.20466077327728271,0.19978567957878113,0.28034812211990356,0.1439245343208313,0.1615411639213562,0.19024790823459625,0.11137914657592773
byzantine,0.14889906346797943,0.1656121164560318,0.20800244808197021,0.26597896218299866,0.12323477864265442,0.08999312669038773,0.21581105887889862
officials,0.23964433372020721,0.34914183616638184,0.36026763916015625,0.23825447261333466,0.12592913210391998,0.24201129376888275,0.1505519449710846
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2479097992181778,0.26800644397735596,0.300344854593277,0.4130953550338745
,what,was,the,naval,base,called,?
some,0.4491020441055298,0.21528802812099457,0.4566698372364044,0.13680407404899597,0.16866649687290192,0.4143916368484497,0.2562315762042999
time,0.36319252848625183,0.3641340136528015,0.43061500787734985,0.15414588153362274,0.19999128580093384,0.26010140776634216,0.27391523122787476
later,0.2517229914665222,0.5684447288513184,0.4060266613960266,0.22090032696723938,0.12992388010025024,0.3076115846633911,0.1417175978422165
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21220709383487701,0.24008820950984955,0.26549121737480164,0.31091248989105225
dyrrachium—one,0.24598076939582825,0.3380282521247864,0.3620907962322235,0.2600536346435547,0.20456315577030182,0.3155665993690491,0.2295476198196411
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.28707146644592285,0.23717565834522247,0.4222904443740845,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.25506526231765747,0.2870652377605438,0.489897221326828,0.22068053483963013
most,0.3219912350177765,0.29933857917785645,0.47635307908058167,0.15485763549804688,0.2086545079946518,0.35463574528694153,0.2107497900724411
important,0.31164905428886414,0.24924467504024506,0.39348116517066956,0.20592638850212097,0.2795790731906891,0.3316391706466675,0.17812499403953552
naval,0.160405233502388,0.2173636257648468,0.25506526231765747,0.9999999403953552,0.3337613642215729,0.15435899794101715,0.12642952799797058
bases,0.1356317698955536,0.1596432775259018,0.24180281162261963,0.3537982702255249,0.7211094498634338,0.19372513890266418,0.06755278259515762
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.28707146644592285,0.23717565834522247,0.4222904443740845,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.25506526231765747,0.2870652377605438,0.489897221326828,0.22068053483963013
adriatic—fell,0.16079218685626984,0.29821813106536865,0.3255728781223297,0.3183606266975403,0.22007723152637482,0.16915775835514069,0.16453640162944794
again,0.3921525180339813,0.35373377799987793,0.4104243218898773,0.1052839532494545,0.14040310680866241,0.2139444202184677,0.2679590880870819
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.21798072755336761,0.2124793976545334,0.2987143397331238,0.29463258385658264
byzantine,0.14889906346797943,0.1656121164560318,0.20800244808197021,0.26597896218299866,0.12323477864265442,0.08999312669038773,0.21581105887889862
hands,0.18854674696922302,0.19852744042873383,0.27627843618392944,0.09328514337539673,0.21172331273555756,0.19708622992038727,0.18784376978874207
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2479097992181778,0.26800644397735596,0.300344854593277,0.4130953550338745
