,what,is,the,redundant,concept,coming,from,momentum,conservation,?
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.24777591228485107,0.16215780377388,0.30487996339797974,0.26272761821746826,0.1375543624162674,0.16151757538318634,0.2433311939239502
the,0.42745697498321533,0.5823672413825989,1.0,0.1939677894115448,0.2355310022830963,0.4306776821613312,0.40150508284568787,0.25104424357414246,0.2678036689758301,0.22068053483963013
development,0.19014155864715576,0.2293442040681839,0.3362044394016266,0.14342911541461945,0.3315054476261139,0.15922954678535461,0.15210078656673431,0.21958696842193604,0.380804181098938,0.1211358830332756
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.17566463351249695,0.24082158505916595,0.31330832839012146,0.4249346852302551,0.20991002023220062,0.2804107666015625,0.1826142966747284
quantum,0.3095471262931824,0.2059895545244217,0.21868084371089935,0.3010226786136627,0.3888772428035736,0.1520213633775711,0.09951196610927582,0.5704551339149475,0.3113885819911957,0.20770002901554108
field,0.1825202852487564,0.17269009351730347,0.2105809599161148,0.1773686408996582,0.25635701417922974,0.09059378504753113,0.16799847781658173,0.2765187919139862,0.2430250197649002,0.11279727518558502
theory,0.297923743724823,0.19279582798480988,0.2277156263589859,0.17847180366516113,0.4950389862060547,0.10140617191791534,0.11020279675722122,0.33396151661872864,0.3168477714061737,0.1387292891740799
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.26195088028907776,0.22126320004463196,0.3707200884819031,0.3601827025413513,0.17244109511375427,0.2740582227706909,0.20544172823429108
general,0.24928055703639984,0.20144300162792206,0.28634732961654663,0.1609787940979004,0.20796801149845123,0.12848173081874847,0.1645994782447815,0.2026774138212204,0.23167704045772552,0.1972234547138214
relativity,0.2980750799179077,0.1935991495847702,0.20282858610153198,0.2160283476114273,0.4547227621078491,0.1336483508348465,0.05730878934264183,0.4822480082511902,0.27015194296836853,0.26250147819519043
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3219759464263916,0.20029692351818085,0.32352879643440247,0.39760664105415344,0.17816640436649323,0.23182041943073273,0.31091248989105225
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.26962968707084656,0.29287758469581604,0.3259769380092621,0.325604110956192,0.17204852402210236,0.1989455670118332,0.25732165575027466
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.12309052795171738,0.2765439450740814,0.25429201126098633,0.31171464920043945,0.14344997704029083,0.13618499040603638,0.18412111699581146
realized,0.3459920883178711,0.166122168302536,0.27818870544433594,0.13632306456565857,0.215139240026474,0.26572009921073914,0.18555042147636414,0.2274753600358963,0.1913999319076538,0.15594157576560974
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.3661201298236847,0.3531160056591034,0.4132051467895508,0.3477667272090912,0.30346521735191345,0.21553480625152588,0.32716336846351624
force,0.16915984451770782,0.22036980092525482,0.2800885736942291,0.17248515784740448,0.17681357264518738,0.18048501014709473,0.14128944277763367,0.35530537366867065,0.25110572576522827,0.1650998443365097
is,0.28837618231773376,1.0,0.5823672413825989,0.22465789318084717,0.2750450372695923,0.2633480131626129,0.27355384826660156,0.17100326716899872,0.24397225677967072,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2408081591129303,0.29586365818977356,0.28068089485168457,0.322764128446579,0.2464022934436798,0.2068130075931549,0.23916715383529663
redundant,0.3084956109523773,0.22465789318084717,0.1939677894115448,1.0,0.34296858310699463,0.2530095875263214,0.15391479432582855,0.23256587982177734,0.19004948437213898,0.3408588767051697
concept,0.28724339604377747,0.2750450372695923,0.2355310022830963,0.34296858310699463,0.9999998807907104,0.12491647899150848,0.16988807916641235,0.35013270378112793,0.24668733775615692,0.17160645127296448
arising,0.31933221220970154,0.2170674055814743,0.30971670150756836,0.21475861966609955,0.35040754079818726,0.28420305252075195,0.23872226476669312,0.34666907787323,0.30230453610420227,0.14599399268627167
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.15391479432582855,0.16988807916641235,0.31919217109680176,1.0,0.18789136409759521,0.14571861922740936,0.19969791173934937
conservation,0.18246638774871826,0.24397225677967072,0.2678036689758301,0.19004948437213898,0.24668733775615692,0.11121174693107605,0.14571861922740936,0.3127470314502716,1.0,0.1391831338405609
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.17566463351249695,0.24082158505916595,0.31330832839012146,0.4249346852302551,0.20991002023220062,0.2804107666015625,0.1826142966747284
momentum,0.2866780757904053,0.17100326716899872,0.25104424357414246,0.23256587982177734,0.35013270378112793,0.19157497584819794,0.18789136409759521,1.0,0.3127470314502716,0.1894138902425766
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2952302396297455,0.13642218708992004,0.2102975845336914,0.25806233286857605,0.198256716132164,0.20532311499118805,0.40561532974243164
4-momentum,0.27669280767440796,0.16821357607841492,0.23295903205871582,0.24077729880809784,0.3568141758441925,0.16958127915859222,0.18014109134674072,0.9819357395172119,0.31362155079841614,0.18979033827781677
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21272161602973938,0.21857000887393951,0.27726781368255615,0.4274188280105591,0.1619764119386673,0.24742233753204346,0.20430970191955566
relativity,0.2980750799179077,0.1935991495847702,0.20282858610153198,0.2160283476114273,0.4547227621078491,0.1336483508348465,0.05730878934264183,0.4822480082511902,0.27015194296836853,0.26250147819519043
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.26195088028907776,0.22126320004463196,0.3707200884819031,0.3601827025413513,0.17244109511375427,0.2740582227706909,0.20544172823429108
momentum,0.2866780757904053,0.17100326716899872,0.25104424357414246,0.23256587982177734,0.35013270378112793,0.19157497584819794,0.18789136409759521,1.0,0.3127470314502716,0.1894138902425766
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.17566463351249695,0.24082158505916595,0.31330832839012146,0.4249346852302551,0.20991002023220062,0.2804107666015625,0.1826142966747284
virtual,0.17652173340320587,0.16611935198307037,0.1955232471227646,0.19243642687797546,0.26511281728744507,0.034603219479322433,0.12564729154109955,0.12567055225372314,0.22939260303974152,0.13542066514492035
particles,0.26094838976860046,0.2492663413286209,0.23884518444538116,0.2680882215499878,0.2679671347141266,0.2266162633895874,0.16191495954990387,0.4788295030593872,0.3204382359981537,0.22255320847034454
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21272161602973938,0.21857000887393951,0.27726781368255615,0.4274188280105591,0.1619764119386673,0.24742233753204346,0.20430970191955566
quantum,0.3095471262931824,0.2059895545244217,0.21868084371089935,0.3010226786136627,0.3888772428035736,0.1520213633775711,0.09951196610927582,0.5704551339149475,0.3113885819911957,0.20770002901554108
electrodynamics,0.27658751606941223,0.21546658873558044,0.23366330564022064,0.2467377781867981,0.42314332723617554,0.14099062979221344,0.1832021027803421,0.4985229969024658,0.3531605005264282,0.2337964028120041
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.30973783135414124,0.13767710328102112,0.22132152318954468,0.2672361731529236,0.19603216648101807,0.19054198265075684,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.25969696044921875,0.17851535975933075,0.32087481021881104,0.41536515951156616,0.18132592737674713,0.2273905873298645,0.4130953550338745
