,who,had,the,best,record,in,the,nfc,?
despite,0.18035544455051422,0.4136416018009186,0.3172689974308014,0.18091048300266266,0.24239878356456757,0.27473363280296326,0.3172689974308014,0.1943463534116745,0.14350546896457672
waiving,0.3963654041290283,0.32836130261421204,0.3694417178630829,0.2691361904144287,0.2311435341835022,0.3322989046573639,0.3694417178630829,0.25320687890052795,0.242996484041214
longtime,0.33825796842575073,0.30973899364471436,0.2717287242412567,0.29314863681793213,0.2452886700630188,0.21562570333480835,0.2717287242412567,0.2810308337211609,0.07657656818628311
running,0.2064424604177475,0.21985846757888794,0.28883472084999084,0.20971718430519104,0.16281335055828094,0.2874506413936615,0.28883472084999084,0.2757200002670288,0.15679655969142914
back,0.2667590379714966,0.3374921381473541,0.3612101674079895,0.2097540646791458,0.24067023396492004,0.25397348403930664,0.3612101674079895,0.220869779586792,0.2397768795490265
deangelo,0.33098703622817993,0.19638586044311523,0.2024650275707245,0.2361629754304886,0.1803724765777588,0.24543344974517822,0.2024650275707245,0.18999026715755463,0.18370559811592102
williams,0.2665081024169922,0.24326007068157196,0.20852252840995789,0.25649282336235046,0.21923287212848663,0.16579249501228333,0.20852252840995789,0.2784907817840576,0.1924409717321396
and,0.41279885172843933,0.3872550129890442,0.5171257257461548,0.30328524112701416,0.23470573127269745,0.4954058527946472,0.5171257257461548,0.24502897262573242,0.20544172823429108
losing,0.23250707983970642,0.32655465602874756,0.3114689588546753,0.2149401307106018,0.1850285828113556,0.3055514097213745,0.3114689588546753,0.30085891485214233,0.15056444704532623
top,0.170939639210701,0.22438767552375793,0.31754136085510254,0.32390400767326355,0.19376051425933838,0.2235720455646515,0.31754136085510254,0.153302863240242,0.17265194654464722
wide,0.12099401652812958,0.20107664167881012,0.28078147768974304,0.15974637866020203,0.2245049923658371,0.22946839034557343,0.28078147768974304,0.21505890786647797,0.12719376385211945
receiver,0.1811998039484024,0.14794345200061798,0.21850530803203583,0.18235863745212555,0.2685413658618927,0.16248875856399536,0.21850530803203583,0.46162137389183044,0.11587938666343689
kelvin,0.1322806179523468,0.10200969874858856,0.20588484406471252,0.14160192012786865,0.15097707509994507,0.20857983827590942,0.20588484406471252,0.24402257800102234,0.18197040259838104
benjamin,0.27949002385139465,0.1834128499031067,0.2507040798664093,0.17911787331104279,0.050994426012039185,0.20055828988552094,0.2507040798664093,0.12279337644577026,0.20336422324180603
to,0.42656609416007996,0.37984350323677063,0.535392165184021,0.21715646982192993,0.22007153928279877,0.45010748505592346,0.535392165184021,0.23611298203468323,0.29463258385658264
a,0.36608949303627014,0.34897568821907043,0.5829201340675354,0.2547774314880371,0.2588478624820709,0.539380669593811,0.5829201340675354,0.20643295347690582,0.23916715383529663
torn,0.12410213053226471,0.2971421480178833,0.270181804895401,0.17343969643115997,0.14022444188594818,0.24918708205223083,0.270181804895401,0.11611597239971161,0.13564015924930573
acl,0.083958700299263,0.13574959337711334,0.23845629394054413,0.13096582889556885,0.17858588695526123,0.15011103451251984,0.23845629394054413,0.33169156312942505,0.14736860990524292
in,0.2792111933231354,0.385026752948761,0.6662389636039734,0.2813531160354614,0.23162534832954407,1.0,0.6662389636039734,0.20630285143852234,0.20430970191955566
the,0.3733934462070465,0.3875846862792969,1.0,0.3134109377861023,0.23569516837596893,0.6662389636039734,1.0,0.2545439600944519,0.22068053483963013
preseason,0.21108976006507874,0.23005656898021698,0.32348138093948364,0.26898056268692017,0.30977973341941833,0.2689804434776306,0.32348138093948364,0.5496789813041687,0.13884200155735016
",",0.3365725874900818,0.35487717390060425,0.4933079481124878,0.3461092710494995,0.28093910217285156,0.5201468467712402,0.4933079481124878,0.28086528182029724,0.31091248989105225
