,what,pushes,businesses,to,increase,pressures,on,workers,?
in,0.30808621644973755,0.12976062297821045,0.24867577850818634,0.45010748505592346,0.25893163681030273,0.17277829349040985,0.46853652596473694,0.2254374474287033,0.20430970191955566
marxian,0.22060702741146088,0.22552578151226044,0.3237014710903168,0.15304918587207794,0.21686486899852753,0.2500525414943695,0.1660858690738678,0.3277813196182251,0.19521409273147583
analysis,0.2842639982700348,0.10939858108758926,0.17913120985031128,0.21860700845718384,0.2170683890581131,0.27953264117240906,0.1807575523853302,0.18842260539531708,0.15352053940296173
",",0.3087472915649414,0.20004792511463165,0.2790186107158661,0.44245919585227966,0.20005576312541962,0.21380040049552917,0.49057599902153015,0.17716385424137115,0.31091248989105225
capitalist,0.21623632311820984,0.1320687085390091,0.37291833758354187,0.19257381558418274,0.15817764401435852,0.11706139892339706,0.12136265635490417,0.3610039949417114,0.13302330672740936
firms,0.19687598943710327,0.17986223101615906,0.5769850611686707,0.24817463755607605,0.326974481344223,0.29356247186660767,0.17484743893146515,0.3150506317615509,0.1337330937385559
increasingly,0.19974569976329803,0.2551744282245636,0.32848846912384033,0.33546900749206543,0.5988349914550781,0.3422485888004303,0.19398429989814758,0.27666714787483215,0.059327382594347
substitute,0.18854834139347076,0.1393299698829651,0.1366204023361206,0.2778834402561188,0.20160065591335297,0.1716737151145935,0.16978217661380768,0.08377166837453842,0.21712473034858704
capital,0.17967931926250458,0.05539369210600853,0.18902401626110077,0.1844596415758133,0.12417600303888321,0.06973521411418915,0.15679915249347687,0.169990673661232,0.0907452180981636
equipment,0.21531300246715546,0.20553284883499146,0.3788110315799713,0.21870006620883942,0.22736817598342896,0.327973335981369,0.20764270424842834,0.3307946026325226,0.0920877456665039
for,0.3017193675041199,0.17066878080368042,0.2795834541320801,0.4451248347759247,0.26647913455963135,0.21563996374607086,0.36199691891670227,0.2527289092540741,0.264628142118454
labor,0.1943984031677246,0.16481806337833405,0.31986966729164124,0.21037620306015015,0.20669658482074738,0.17866694927215576,0.17969153821468353,0.5137044787406921,0.19386747479438782
inputs,0.2919771075248718,0.2745034396648407,0.2765350639820099,0.25518661737442017,0.294153094291687,0.29708558320999146,0.2115166187286377,0.15933924913406372,0.22019177675247192
