,how,many,seasons,did,the,original,doctor,who,run,?
doctor,0.2004029005765915,0.18319568037986755,0.14094877243041992,0.18673314154148102,0.2820442318916321,0.13737785816192627,0.9999999403953552,0.3504868149757385,0.1929945945739746,0.1462511420249939
who,0.4070430099964142,0.4149286150932312,0.1471238136291504,0.34038686752319336,0.3733934462070465,0.1785319596529007,0.3504868149757385,0.9999998807907104,0.2372417002916336,0.26220351457595825
originally,0.20902776718139648,0.2585497200489044,0.21412841975688934,0.23196664452552795,0.36820849776268005,0.5966677069664001,0.13944809138774872,0.285441130399704,0.23434627056121826,0.07821967452764511
ran,0.15077020227909088,0.23709121346473694,0.20729660987854004,0.31891340017318726,0.28357353806495667,0.19018512964248657,0.12850476801395416,0.1948244422674179,0.5550625920295715,0.11304427683353424
for,0.3308170735836029,0.40972793102264404,0.26410943269729614,0.318512886762619,0.4739971458911896,0.2975997030735016,0.1556548923254013,0.37110671401023865,0.27206581830978394,0.264628142118454
26,0.02506413869559765,0.09426480531692505,0.06312333792448044,0.06409474462270737,0.11227777600288391,0.11510315537452698,0.16166801750659943,0.17144237458705902,0.060714494436979294,-0.05200668424367905
seasons,0.12353117763996124,0.1946718841791153,0.9999999403953552,0.18920958042144775,0.24226845800876617,0.17992128431797028,0.14094877243041992,0.1471238136291504,0.10043428093194962,0.13766995072364807
on,0.32655060291290283,0.32520127296447754,0.21111313998699188,0.2670976221561432,0.5107308030128479,0.21149557828903198,0.1636410653591156,0.2340552806854248,0.2348233312368393,0.2714994251728058
bbc,0.1965121626853943,0.1944630742073059,0.21125385165214539,0.1677953153848648,0.2735401690006256,0.16681616008281708,0.32370132207870483,0.2086644321680069,0.19848453998565674,0.20556949079036713
one,0.3213292360305786,0.4223630726337433,0.2327587604522705,0.27659472823143005,0.5514441132545471,0.35621145367622375,0.17397142946720123,0.40083858370780945,0.25609803199768066,0.2673267424106598
",",0.22659391164779663,0.40610817074775696,0.2613678574562073,0.3015086054801941,0.4933079481124878,0.23508994281291962,0.20407600700855255,0.3365725874900818,0.2309936285018921,0.31091248989105225
from,0.22939439117908478,0.33099696040153503,0.1932072788476944,0.20248863101005554,0.40150508284568787,0.233787402510643,0.15658842027187347,0.27839982509613037,0.23495638370513916,0.19969791173934937
23,-0.021877937018871307,-0.05538930743932724,-0.047999486327171326,-0.015436539426445961,-0.04008803516626358,-0.07869958132505417,-0.026821613311767578,0.014098330400884151,-0.03499533608555794,0.012076443061232567
november,0.1539812684059143,0.14424832165241241,0.21325397491455078,0.27178457379341125,0.25734350085258484,0.09696900099515915,0.20084704458713531,0.2615586519241333,0.1723487228155136,0.3159552216529846
1963,-0.09255906939506531,0.015774264931678772,-0.005019340664148331,0.022874606773257256,0.03728247061371803,-0.027743469923734665,0.008513279259204865,-0.045281361788511276,0.1048075333237648,0.03411978855729103
until,0.1887991726398468,0.2392696738243103,0.23762503266334534,0.33905428647994995,0.37191009521484375,0.2212042659521103,0.15309728682041168,0.2530071437358856,0.24895916879177094,0.20304496586322784
6,0.056429795920848846,0.09481502324342728,-0.12386209517717361,-0.0043754540383815765,0.041227471083402634,0.043538473546504974,0.026279309764504433,0.06694239377975464,0.07935037463903427,0.045001473277807236
december,0.08763835579156876,0.13141678273677826,0.18422600626945496,0.2542226016521454,0.23266014456748962,0.1263897866010666,0.15694434940814972,0.2259318083524704,0.1763077974319458,0.2480352818965912
1989,-0.12765748798847198,-0.03748582676053047,0.09461285173892975,-0.03869108483195305,-0.009533590637147427,0.0062954905442893505,0.0012842743890359998,-0.03504699468612671,-0.019057804718613625,0.08110656589269638
.,0.3287222981452942,0.3974229395389557,0.2546960115432739,0.35288307070732117,0.5934505462646484,0.275844931602478,0.22361043095588684,0.3541337847709656,0.2739698588848114,0.4130953550338745
