,in,considering,turing,machines,and,alternate,variables,",",what,measurement,left,unaffected,by,conversion,between,machine,models,?
perhaps,0.2746174931526184,0.505456268787384,0.18606090545654297,0.22820636630058289,0.3131580948829651,0.25016146898269653,0.28349220752716064,0.31868863105773926,0.45013323426246643,0.3015899658203125,0.10677089542150497,0.3124626576900482,0.17739331722259521,0.16554097831249237,0.2062843143939972,0.14471307396888733,0.13717225193977356,0.4211712181568146
surprisingly,0.23913028836250305,0.3437284827232361,0.1533682942390442,0.2205638438463211,0.3736568093299866,0.19049929082393646,0.2174435555934906,0.31052204966545105,0.35911476612091064,0.21774502098560333,0.20903606712818146,0.2821938097476959,0.260030061006546,0.13826636970043182,0.19175079464912415,0.16831491887569427,0.14305244386196136,0.1722882241010666
",",0.5201468467712402,0.35016199946403503,0.2807261645793915,0.25857728719711304,0.6633074283599854,0.23518507182598114,0.20117178559303284,1.0000001192092896,0.3087472915649414,0.204771026968956,0.2448868453502655,0.2665223479270935,0.3680937886238098,0.18442223966121674,0.27714940905570984,0.21841607987880707,0.2193855494260788,0.31091248989105225
each,0.30816060304641724,0.20209096372127533,0.2510823607444763,0.2756243944168091,0.2984027564525604,0.26763463020324707,0.339690625667572,0.207483172416687,0.3353266417980194,0.2754499316215515,0.20934061706066132,0.30079153180122375,0.29190269112586975,0.16671891510486603,0.35306447744369507,0.24086420238018036,0.18605749309062958,0.21173812448978424
of,0.5696388483047485,0.32865074276924133,0.2670239806175232,0.18757474422454834,0.5116966962814331,0.2100224494934082,0.197788804769516,0.4946078956127167,0.33290785551071167,0.26198503375053406,0.2218635529279709,0.3325270116329193,0.3646814823150635,0.20104190707206726,0.3737983703613281,0.15468473732471466,0.19773605465888977,0.1826142966747284
these,0.3791837692260742,0.2954869866371155,0.2506507635116577,0.36252352595329285,0.5314885973930359,0.25935041904449463,0.33126211166381836,0.37613096833229065,0.4164220690727234,0.26861387491226196,0.15848763287067413,0.41556504368782043,0.33332425355911255,0.2419254034757614,0.3469904065132141,0.21263210475444794,0.3048318326473236,0.2571668326854706
models,0.2122073471546173,0.24782083928585052,0.2393689900636673,0.3086799085140228,0.22926653921604156,0.1186070442199707,0.27148011326789856,0.2193855494260788,0.22431734204292297,0.3335278034210205,0.060923002660274506,0.18170712888240814,0.18410107493400574,0.20989219844341278,0.18915988504886627,0.2325996309518814,1.0,0.16656708717346191
can,0.26527702808380127,0.29848024249076843,0.224638432264328,0.378614604473114,0.3675691485404968,0.26806145906448364,0.3708653450012207,0.3139454126358032,0.34502777457237244,0.35435950756073,0.1633027344942093,0.3891734182834625,0.29642900824546814,0.22327783703804016,0.23827335238456726,0.26097333431243896,0.22799217700958252,0.3226337134838104
be,0.3481820821762085,0.4043552875518799,0.2587292492389679,0.32421979308128357,0.41766801476478577,0.30354204773902893,0.35198092460632324,0.39254459738731384,0.3929833769798279,0.3176293969154358,0.19051490724086761,0.3281745910644531,0.43158695101737976,0.3100789189338684,0.2079806923866272,0.24763767421245575,0.19873236119747162,0.3324260413646698
converted,0.22429603338241577,0.24414639174938202,0.15884466469287872,0.2594224214553833,0.2410563975572586,0.20384787023067474,0.20290665328502655,0.18564631044864655,0.1663769781589508,0.2331993281841278,0.12586867809295654,0.23468747735023499,0.2693045139312744,0.6601765155792236,0.13374200463294983,0.19748671352863312,0.15648336708545685,0.12743066251277924
