,how,many,members,are,on,the,warsaw,city,counil,?
legislative,0.14540530741214752,0.15625250339508057,0.2957446873188019,0.16996347904205322,0.16444751620292664,0.27501925826072693,0.0928143709897995,0.24466803669929504,0.39710551500320435,0.1654243916273117
power,0.23785550892353058,0.22982899844646454,0.19974319636821747,0.1187305822968483,0.14738048613071442,0.2647338807582855,0.12232338637113571,0.17168310284614563,0.24057281017303467,0.15304024517536163
in,0.2601168751716614,0.41474202275276184,0.196792870759964,0.3841303884983063,0.46853652596473694,0.6662389636039734,0.22642600536346436,0.3911624252796173,0.3003312647342682,0.20430970191955566
warsaw,0.13025455176830292,0.1653265357017517,0.1251550167798996,0.12567314505577087,0.19170401990413666,0.23137180507183075,1.0,0.25006377696990967,0.22988000512123108,0.09769917279481888
is,0.22544461488723755,0.2649032473564148,0.1897467076778412,0.5330929756164551,0.3635730445384979,0.5823672413825989,0.09741193056106567,0.3186660706996918,0.2716362774372101,0.22961433231830597
vested,0.14107166230678558,0.19916360080242157,0.23005376756191254,0.21156078577041626,0.1945592164993286,0.2728080451488495,0.14487697184085846,0.13267427682876587,0.29987749457359314,0.1897280216217041
in,0.2601168751716614,0.41474202275276184,0.196792870759964,0.3841303884983063,0.46853652596473694,0.6662389636039734,0.22642600536346436,0.3911624252796173,0.3003312647342682,0.20430970191955566
a,0.29312583804130554,0.2872205972671509,0.1873859316110611,0.265255331993103,0.3848365545272827,0.5829201340675354,0.19591784477233887,0.2349124401807785,0.29891136288642883,0.23916715383529663
unicameral,0.13854579627513885,0.19126667082309723,0.3457440137863159,0.2629165053367615,0.16517731547355652,0.3586629033088684,0.1597696989774704,0.31147846579551697,0.3801767826080322,0.12827882170677185
warsaw,0.13025455176830292,0.1653265357017517,0.1251550167798996,0.12567314505577087,0.19170401990413666,0.23137180507183075,1.0,0.25006377696990967,0.22988000512123108,0.09769917279481888
city,0.12024712562561035,0.21416836977005005,0.11993075162172318,0.19493703544139862,0.2549738585948944,0.35769423842430115,0.25006377696990967,1.0,0.34336185455322266,0.13423943519592285
council,0.14261579513549805,0.13560552895069122,0.3003452718257904,0.1583584100008011,0.16224971413612366,0.2829204201698303,0.15685740113258362,0.29846927523612976,0.5484762191772461,0.1160062924027443
(,0.1676948219537735,0.1455259770154953,0.17843009531497955,0.23263892531394958,0.28656116127967834,0.33289089798927307,0.1835584193468094,0.19590984284877777,0.32940515875816345,0.40561532974243164
rada,0.1272675096988678,0.1501607447862625,0.2818397581577301,0.08513407409191132,0.1745186150074005,0.21380630135536194,0.27396389842033386,0.14694775640964508,0.34045523405075073,0.09883232414722443
miasta,0.156382218003273,0.25258585810661316,0.09499027580022812,0.21463610231876373,0.12937162816524506,0.29386764764785767,0.23084555566310883,0.2968159317970276,0.34998413920402527,0.16856437921524048
),0.17939934134483337,0.16602720320224762,0.1808496117591858,0.2373749315738678,0.29937487840652466,0.3456730246543884,0.19817118346691132,0.2113075703382492,0.3380853235721588,0.42300865054130554
",",0.22659391164779663,0.40610817074775696,0.2357054501771927,0.4062570035457611,0.49057599902153015,0.4933079481124878,0.25300899147987366,0.35839709639549255,0.3568476438522339,0.31091248989105225
which,0.4852597713470459,0.5168171525001526,0.295350044965744,0.42922598123550415,0.4245251417160034,0.6521818041801453,0.16906329989433289,0.22264601290225983,0.23898054659366608,0.25814583897590637
comprises,0.09174761921167374,0.19863204658031464,0.3294638991355896,0.3709706664085388,0.2161005139350891,0.30223149061203003,0.08343512564897537,0.20814259350299835,0.24551014602184296,0.037654489278793335
60,0.12259688228368759,0.0015101747121661901,0.027360672131180763,-0.01117884274572134,0.003130126278847456,0.04635925963521004,-0.0626445934176445,-0.005456782411783934,-0.05354488641023636,0.06999651342630386
members,0.20418256521224976,0.25127971172332764,0.9999998807907104,0.31528955698013306,0.22849144041538239,0.3321719169616699,0.1251550167798996,0.11993075162172318,0.2890285849571228,0.10212311148643494
.,0.3287222981452942,0.3974229395389557,0.21119362115859985,0.3452940285205841,0.49257001280784607,0.5934505462646484,0.26825499534606934,0.29856356978416443,0.3108561933040619,0.4130953550338745
