,what,is,the,name,of,the,river,that,is,completely,contained,inside,jacksonville,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.2894456386566162,0.5473989248275757,0.5823672413825989,0.342624306678772,0.31440216302871704,0.35313180088996887,0.2176690250635147,0.22068053483963013
st.,0.10219959169626236,0.16120703518390656,0.18141359090805054,0.17727084457874298,0.19887582957744598,0.18141359090805054,0.13863743841648102,0.13783733546733856,0.16120703518390656,0.0782654881477356,0.1063551977276802,0.20571953058242798,0.1262202113866806,0.13592876493930817
johns,0.14186497032642365,0.18497872352600098,0.22800521552562714,0.18224303424358368,0.22625818848609924,0.22800521552562714,0.28212618827819824,0.1658979058265686,0.18497872352600098,0.06193124130368233,0.1683465987443924,0.1659899204969406,0.325653076171875,0.20295952260494232
river,0.13815869390964508,0.20670881867408752,0.2894456386566162,0.17863500118255615,0.19903257489204407,0.2894456386566162,0.9999999403953552,0.1889113336801529,0.20670881867408752,0.10315471142530441,0.1015157401561737,0.06808000802993774,0.1921202689409256,0.15390869975090027
divides,0.20584960281848907,0.3161165714263916,0.3740270137786865,0.11699981987476349,0.3720552325248718,0.3740270137786865,0.28331097960472107,0.2414834052324295,0.3161165714263916,0.20292074978351593,0.27191242575645447,0.31148430705070496,0.09922811388969421,0.11238449811935425
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.2894456386566162,0.5473989248275757,0.5823672413825989,0.342624306678772,0.31440216302871704,0.35313180088996887,0.2176690250635147,0.22068053483963013
city,0.17493832111358643,0.3186660706996918,0.35769423842430115,0.22892655432224274,0.32503411173820496,0.35769423842430115,0.3428632318973541,0.183757483959198,0.3186660706996918,0.19716133177280426,0.11523321270942688,0.20329608023166656,0.3285287022590637,0.13423943519592285
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.21443960070610046,0.4460422694683075,0.4569662809371948,0.2971263825893402,0.27544063329696655,0.3128161132335663,0.2843366861343384,0.4130953550338745
,what,is,the,name,of,the,river,that,is,completely,contained,inside,jacksonville,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.2894456386566162,0.5473989248275757,0.5823672413825989,0.342624306678772,0.31440216302871704,0.35313180088996887,0.2176690250635147,0.22068053483963013
trout,0.17579491436481476,0.2580720782279968,0.24571636319160461,0.18369610607624054,0.19166967272758484,0.24571636319160461,0.3319656550884247,0.23781074583530426,0.2580720782279968,0.10274890810251236,0.1290571540594101,0.10013942420482635,0.26674917340278625,0.22604762017726898
river,0.13815869390964508,0.20670881867408752,0.2894456386566162,0.17863500118255615,0.19903257489204407,0.2894456386566162,0.9999999403953552,0.1889113336801529,0.20670881867408752,0.10315471142530441,0.1015157401561737,0.06808000802993774,0.1921202689409256,0.15390869975090027
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.26637205481529236,0.4137537479400635,0.4691906273365021,0.2928008437156677,0.2537172734737396,0.2100258767604828,0.2837527096271515,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.20514865219593048,0.47537946701049805,0.658733606338501,0.2836810052394867,0.301316499710083,0.35481444001197815,0.28008249402046204,0.23916715383529663
