,in,what,century,did,mayow,and,boyle,perform,their,experiments,?
in,1.0,0.30808621644973755,0.3174034655094147,0.2593238651752472,0.29630300402641296,0.4954058527946472,0.23803922533988953,0.22578492760658264,0.34976133704185486,0.21977302432060242,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.3617299497127533,0.34736719727516174,0.2812022566795349,0.5171257257461548,0.19589482247829437,0.22443658113479614,0.516537070274353,0.21008943021297455,0.22068053483963013
late,0.3439198434352875,0.1576872020959854,0.42292845249176025,0.27609187364578247,0.17689208686351776,0.3247620165348053,0.2290940135717392,0.17578397691249847,0.18994268774986267,0.137802854180336,0.11339222639799118
17th,0.17784206569194794,0.15649843215942383,0.22269536554813385,0.0865093395113945,0.15631355345249176,0.2645922303199768,0.15326716005802155,0.06460591405630112,0.12981918454170227,0.09213560819625854,0.096589595079422
century,0.3174034655094147,0.20422613620758057,1.0,0.2333737462759018,0.18921978771686554,0.2726690471172333,0.22228440642356873,0.16030913591384888,0.2337905913591385,0.2425965666770935,0.1026201918721199
",",0.5201468467712402,0.3087472915649414,0.24487493932247162,0.3015086054801941,0.38297656178474426,0.6633074283599854,0.3383975923061371,0.19458305835723877,0.3045167922973633,0.22640827298164368,0.31091248989105225
robert,0.22155319154262543,0.1948658525943756,0.1584804356098175,0.16245460510253906,0.2231048345565796,0.21826715767383575,0.3685167133808136,0.04947589710354805,0.14344777166843414,0.17507922649383545,0.11293095350265503
boyle,0.23803922533988953,0.19232483208179474,0.22228440642356873,0.13094879686832428,0.31063592433929443,0.23049113154411316,1.0,0.04954798147082329,0.04719916731119156,0.23313499987125397,0.1254223883152008
proved,0.2292184680700302,0.23704653978347778,0.24076992273330688,0.34360629320144653,0.13408826291561127,0.23146256804466248,0.2344929575920105,0.20566478371620178,0.2627979815006256,0.41147810220718384,0.1678566187620163
that,0.435920387506485,0.6297725439071655,0.24900858104228973,0.47518548369407654,0.17556115984916687,0.4731321930885315,0.18404622375965118,0.23385298252105713,0.4266771972179413,0.34689804911613464,0.32716336846351624
air,0.22172939777374268,0.10361403971910477,0.14590336382389069,0.12297173589468002,0.17096176743507385,0.2508046329021454,0.12672924995422363,0.1434948742389679,0.18326234817504883,0.18661102652549744,0.1491677612066269
is,0.5394441485404968,0.28837618231773376,0.20648397505283356,0.19247472286224365,0.2678392827510834,0.3859752118587494,0.2503202259540558,0.1837693303823471,0.2101074606180191,0.16474494338035583,0.22961433231830597
necessary,0.1872260719537735,0.3794087767601013,0.09929169714450836,0.34152600169181824,0.1227109506726265,0.28037229180336,0.11474037170410156,0.24911446869373322,0.3026009798049927,0.23646794259548187,0.3430270850658417
for,0.4322226941585541,0.3017193675041199,0.18660898506641388,0.318512886762619,0.1887296885251999,0.5064792633056641,0.1923600435256958,0.3027825951576233,0.3406745493412018,0.2637265622615814,0.264628142118454
combustion,0.2270977944135666,0.2678600549697876,0.2247992902994156,0.19428817927837372,0.16323989629745483,0.21818570792675018,0.21065305173397064,0.21022681891918182,0.1985696256160736,0.3264664113521576,0.2177530825138092
.,0.5591574311256409,0.3567904531955719,0.27413639426231384,0.35288307070732117,0.3014738857746124,0.588965117931366,0.25228652358055115,0.20621563494205475,0.34427863359451294,0.261809378862381,0.4130953550338745
