,where,can,the,entire,sedimentary,sequence,of,the,grand,canyon,be,seen,in,less,than,the,length,of,a,meter,?
stretching,0.2569722533226013,0.26276731491088867,0.3309820890426636,0.2860296368598938,0.34074464440345764,0.19577229022979736,0.33520081639289856,0.3309820890426636,0.13130541145801544,0.20736943185329437,0.20352958142757416,0.31720632314682007,0.32321763038635254,0.2511293888092041,0.26088738441467285,0.3309820890426636,0.33739396929740906,0.33520081639289856,0.27820339798927307,0.1995004415512085,0.10934048146009445
of,0.38066378235816956,0.2603091299533844,0.733189046382904,0.3766143023967743,0.30878832936286926,0.20772917568683624,1.0,0.733189046382904,0.27195852994918823,0.18813416361808777,0.33904364705085754,0.28639769554138184,0.5696388483047485,0.30836719274520874,0.33036211133003235,0.733189046382904,0.22847424447536469,1.0,0.5052502155303955,0.15751634538173676,0.1826142966747284
units,0.1630878746509552,0.19262604415416718,0.2691343426704407,0.2513454258441925,0.18815360963344574,0.14549469947814941,0.2597769498825073,0.2691343426704407,0.12450661510229111,0.09619790315628052,0.21380656957626343,0.12793637812137604,0.24701444804668427,0.24690523743629456,0.2454199492931366,0.2691343426704407,0.2779264748096466,0.2597769498825073,0.2457057684659958,0.28195998072624207,0.089388407766819
can,0.3773181736469269,1.0,0.312528520822525,0.22104480862617493,0.18778736889362335,0.20705975592136383,0.2603091299533844,0.312528520822525,0.13287049531936646,0.14240433275699615,0.5791122913360596,0.3486579656600952,0.26527702808380127,0.36721277236938477,0.3532506823539734,0.312528520822525,0.22775670886039734,0.2603091299533844,0.3915780484676361,0.2242247611284256,0.3226337134838104
result,0.2845163941383362,0.2741678059101105,0.27778977155685425,0.22503319382667542,0.18487998843193054,0.29749855399131775,0.231380432844162,0.27778977155685425,0.043850868940353394,0.09135406464338303,0.3516577184200287,0.27340301871299744,0.25670310854911804,0.2483719438314438,0.2583066523075104,0.27778977155685425,0.16977213323116302,0.231380432844162,0.2767398953437805,0.13192661106586456,0.17218433320522308
in,0.5344807505607605,0.26527702808380127,0.6662389636039734,0.3347092568874359,0.23285479843616486,0.1686658412218094,0.5696388483047485,0.6662389636039734,0.24767720699310303,0.17905303835868835,0.3481820821762085,0.28402701020240784,1.0,0.2661931812763214,0.3270052373409271,0.6662389636039734,0.1989525854587555,0.5696388483047485,0.539380669593811,0.19753998517990112,0.20430970191955566
their,0.3356108069419861,0.3564860224723816,0.516537070274353,0.31425294280052185,0.19908174872398376,0.21382202208042145,0.4329940676689148,0.516537070274353,0.14634621143341064,0.12123440951108932,0.3200586438179016,0.22761531174182892,0.34976133704185486,0.3031531274318695,0.30367133021354675,0.516537070274353,0.18987014889717102,0.4329940676689148,0.29698723554611206,0.13196691870689392,0.1898253709077835
thinning,0.2536551356315613,0.4228871762752533,0.3627413511276245,0.256755530834198,0.3818623721599579,0.28046098351478577,0.3054364323616028,0.3627413511276245,0.085115946829319,0.1277632862329483,0.4010610580444336,0.3007023334503174,0.27954328060150146,0.4950686991214752,0.454289048910141,0.3627413511276245,0.2734692394733429,0.3054364323616028,0.3399708867073059,0.26011979579925537,0.17270860075950623
;,-0.020392686128616333,0.05390199273824692,0.09152708947658539,0.12031368166208267,0.03244917839765549,0.04938637092709541,0.054534342139959335,0.09152708947658539,0.11878781020641327,0.0595972053706646,0.06185305491089821,0.21329183876514435,0.092739537358284,0.02743331529200077,0.04767092317342758,0.09152708947658539,0.030272627249360085,0.054534342139959335,-0.02122584730386734,0.003844145219773054,0.10349778085947037
in,0.5344807505607605,0.26527702808380127,0.6662389636039734,0.3347092568874359,0.23285479843616486,0.1686658412218094,0.5696388483047485,0.6662389636039734,0.24767720699310303,0.17905303835868835,0.3481820821762085,0.28402701020240784,1.0,0.2661931812763214,0.3270052373409271,0.6662389636039734,0.1989525854587555,0.5696388483047485,0.539380669593811,0.19753998517990112,0.20430970191955566
fact,0.31051379442214966,0.3491552174091339,0.32878658175468445,0.3219018280506134,0.22505462169647217,0.2490740567445755,0.3007645010948181,0.32878658175468445,0.09263882040977478,0.06983080506324768,0.37397199869155884,0.35887882113456726,0.25253036618232727,0.3318858742713928,0.33977818489074707,0.32878658175468445,0.22144173085689545,0.3007645010948181,0.27727827429771423,0.12369752675294876,0.2798655927181244
",",0.3149496018886566,0.3139454126358032,0.4933079481124878,0.25087404251098633,0.23855918645858765,0.1746913194656372,0.4946078956127167,0.4933079481124878,0.29582488536834717,0.19764244556427002,0.39254459738731384,0.28642043471336365,0.5201468467712402,0.28111666440963745,0.3371901512145996,0.4933079481124878,0.2117512971162796,0.4946078956127167,0.427140474319458,0.18435807526111603,0.31091248989105225
