,what,is,the,immune,system,?
the,0.42745697498321533,0.5823672413825989,1.0,0.21364226937294006,0.3233085572719574,0.22068053483963013
immune,0.2410416603088379,0.2092347890138626,0.21364226937294006,1.0,0.3962631821632385,0.16080476343631744
system,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.15556083619594574
is,0.28837618231773376,1.0,0.5823672413825989,0.2092347890138626,0.2282046526670456,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.20466765761375427,0.2589043080806732,0.23916715383529663
system,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.15556083619594574
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.16620753705501556,0.25597915053367615,0.1826142966747284
many,0.36131182312965393,0.2649032473564148,0.4335206151008606,0.2700537145137787,0.2631138563156128,0.2124512493610382
biological,0.23008453845977783,0.2308540940284729,0.22739484906196594,0.3442824184894562,0.19228780269622803,0.15755151212215424
structures,0.19226044416427612,0.22793793678283691,0.2516176700592041,0.24857841432094574,0.24128641188144684,0.13590580224990845
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.14400269091129303,0.231138214468956,0.20544172823429108
processes,0.35821089148521423,0.2330985814332962,0.24400095641613007,0.34372448921203613,0.31692782044410706,0.22719913721084595
within,0.2498195916414261,0.30135563015937805,0.39827480912208557,0.20959614217281342,0.28371384739875793,0.1870293766260147
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.20370379090309143,0.17536801099777222,0.19793890416622162
organism,0.2626836597919464,0.22845785319805145,0.23149779438972473,0.46061697602272034,0.2959426939487457,0.21088039875030518
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.30237793922424316,0.3088737428188324,0.32716336846351624
protects,0.20048509538173676,0.25626903772354126,0.27843186259269714,0.2820536196231842,0.22980353236198425,0.15145233273506165
against,0.24561616778373718,0.1754940152168274,0.3090755045413971,0.26737844944000244,0.1443454623222351,0.18095137178897858
disease,0.2391042411327362,0.23218606412410736,0.22720423340797424,0.43316513299942017,0.1642141193151474,0.16159942746162415
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18267881870269775,0.2277725487947464,0.4130953550338745
