,what,does,someone,who,completes,the,initial,teacher,education,(,ite,),program,get,?
once,0.38428619503974915,0.24065393209457397,0.30153748393058777,0.3575699031352997,0.24842557311058044,0.4227895736694336,0.242245614528656,0.16446998715400696,0.10949297249317169,0.21157075464725494,0.19931353628635406,0.20788657665252686,0.19308821856975555,0.3058633506298065,0.17750471830368042
successfully,0.20084762573242188,0.17332300543785095,0.2002871036529541,0.29564204812049866,0.4204191267490387,0.32525569200515747,0.2770406901836395,0.1762545108795166,0.17793366312980652,0.10269147902727127,0.1716933250427246,0.09721844643354416,0.2782538831233978,0.2614081799983978,0.0971045047044754
completed,0.19063329696655273,0.1664751172065735,0.1257270723581314,0.15320545434951782,0.685650646686554,0.29278936982154846,0.3882439136505127,0.2350810021162033,0.2581212520599365,0.21297790110111237,0.2798782289028168,0.23464587330818176,0.2665967345237732,0.15606318414211273,0.08272653818130493
",",0.3087472915649414,0.28617382049560547,0.23755213618278503,0.3365725874900818,0.22597438097000122,0.4933079481124878,0.1954146921634674,0.2884024977684021,0.2718683183193207,0.6363511681556702,0.17943255603313446,0.63033527135849,0.17760658264160156,0.2926318049430847,0.31091248989105225
``,0.008517155423760414,0.06539655476808548,0.08897601813077927,0.02397952415049076,-0.011267011053860188,0.029072100296616554,0.09197677671909332,0.07266681641340256,-0.011880283243954182,0.15585018694400787,0.10957083851099014,0.1698397845029831,-0.09706025570631027,0.035047225654125214,0.0685480609536171
provisional,0.1830057054758072,0.12061715871095657,0.07620184123516083,0.1897742748260498,0.17561368644237518,0.28786423802375793,0.22699220478534698,0.0746522769331932,0.22452828288078308,0.18032264709472656,0.1397760957479477,0.18793126940727234,0.22772493958473206,0.12565551698207855,0.11487715691328049
registration,0.23976002633571625,0.2050658017396927,0.2631065249443054,0.23658575117588043,0.13461992144584656,0.2935751974582672,0.26535502076148987,0.19516807794570923,0.3109924793243408,0.18102999031543732,0.2731391191482544,0.17250527441501617,0.29783955216407776,0.17980849742889404,0.22754761576652527
'',0.08143015950918198,-0.004023602232336998,-0.007682050112634897,0.024401003494858742,-0.05651811882853508,0.041273195296525955,-0.019325068220496178,-0.0015530947130173445,0.04156254976987839,-0.022970275953412056,-0.0029587990138679743,-0.028269650414586067,0.004721565172076225,-0.03981677442789078,0.018684765323996544
is,0.28837618231773376,0.4403602182865143,0.2935047447681427,0.24293622374534607,0.25528210401535034,0.5823672413825989,0.16745871305465698,0.2001669555902481,0.18778188526630402,0.35393038392066956,0.2552404999732971,0.37732169032096863,0.17881494760513306,0.29207053780555725,0.22961433231830597
given,0.21883496642112732,0.25750163197517395,0.22463852167129517,0.3104628920555115,0.20141810178756714,0.37508252263069153,0.27527299523353577,0.16742682456970215,0.21576370298862457,0.2224431186914444,0.16276632249355316,0.25457310676574707,0.22634625434875488,0.37474924325942993,0.2570464313030243
