,what,type,of,wages,does,mechanization,and,automation,lead,to,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.15546856820583344,0.35928019881248474,0.3485445976257324,0.5171257257461548,0.25513768196105957,0.21995973587036133,0.535392165184021,0.22068053483963013
substitution,0.19002631306648254,0.25157833099365234,0.11923876404762268,0.2614707350730896,0.2475362867116928,0.36405935883522034,0.185602605342865,0.29655998945236206,0.2130291759967804,0.25130751729011536,0.24351200461387634
of,0.33290785551071167,0.18112817406654358,1.0,0.17478904128074646,0.3119818866252899,0.2939010560512543,0.5116966962814331,0.2094230204820633,0.19835850596427917,0.41548454761505127,0.1826142966747284
capital,0.17967931926250458,0.14035964012145996,0.30823585391044617,0.19287633895874023,0.08225840330123901,0.19560717046260834,0.218168243765831,0.13102157413959503,0.09723609685897827,0.1844596415758133,0.0907452180981636
equipment,0.21531300246715546,0.2632216215133667,0.18924570083618164,0.29557350277900696,0.18076495826244354,0.3889513313770294,0.24890132248401642,0.3922896087169647,0.12261557579040527,0.21870006620883942,0.0920877456665039
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.28834453225135803,0.35159170627593994,0.30877310037612915,0.5064792633056641,0.31334394216537476,0.29822173714637756,0.4451248347759247,0.264628142118454
labor,0.1943984031677246,-0.012451167218387127,0.23769748210906982,0.4758045971393585,0.12007958441972733,0.31519392132759094,0.22200584411621094,0.18984940648078918,0.12539327144622803,0.21037620306015015,0.19386747479438782
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.12913045287132263,0.2728188931941986,0.18735691905021667,0.4862271547317505,0.22699043154716492,0.19488981366157532,0.30882009863853455,0.40561532974243164
mechanization,0.25148388743400574,0.26252421736717224,0.2939010560512543,0.3549844026565552,0.23469750583171844,0.9999999403953552,0.21827606856822968,0.4686996638774872,0.12903809547424316,0.2761196792125702,0.21008428931236267
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2664845883846283,0.3461615741252899,0.21827606856822968,1.0,0.21454113721847534,0.31077226996421814,0.48971283435821533,0.20544172823429108
automation,0.29592621326446533,0.22980158030986786,0.2094230204820633,0.2680746912956238,0.24750173091888428,0.4686996638774872,0.21454113721847534,0.9999998807907104,0.07098335772752762,0.26351916790008545,0.26651784777641296
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.12380184978246689,0.2575884759426117,0.20753753185272217,0.4961937665939331,0.23373733460903168,0.18732444941997528,0.31236231327056885,0.42300865054130554
raises,0.22388479113578796,0.15541571378707886,0.23968493938446045,0.32105857133865356,0.41275256872177124,0.18569952249526978,0.2730760872364044,0.08484493941068649,0.1610642373561859,0.27145111560821533,0.20082814991474152
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.15546856820583344,0.35928019881248474,0.3485445976257324,0.5171257257461548,0.25513768196105957,0.21995973587036133,0.535392165184021,0.22068053483963013
productivity,0.2654266059398651,0.18484586477279663,0.2269303798675537,0.42547154426574707,0.23334884643554688,0.38495492935180664,0.25397828221321106,0.35425975918769836,0.12156759947538376,0.24733573198318481,0.23359106481075287
of,0.33290785551071167,0.18112817406654358,1.0,0.17478904128074646,0.3119818866252899,0.2939010560512543,0.5116966962814331,0.2094230204820633,0.19835850596427917,0.41548454761505127,0.1826142966747284
each,0.3353266417980194,0.2533338665962219,0.38460010290145874,0.2248757779598236,0.31699198484420776,0.2085491418838501,0.2984027564525604,0.2257876992225647,0.0898846983909607,0.3941934108734131,0.21173812448978424
worker,0.17877663671970367,0.12190469354391098,0.1631152182817459,0.43805068731307983,0.18225565552711487,0.31041765213012695,0.24489083886146545,0.1914793848991394,0.13780014216899872,0.16837060451507568,0.1447860300540924
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2121202051639557,0.28617382049560547,0.20494648814201355,0.6633074283599854,0.2704460918903351,0.2561914026737213,0.44245919585227966,0.31091248989105225
resulting,0.17960047721862793,0.22074264287948608,0.3631994426250458,0.24371670186519623,0.23127596080303192,0.2992107570171356,0.33249855041503906,0.26732292771339417,0.27070170640945435,0.26808956265449524,0.10813049972057343
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.16484716534614563,0.214483380317688,0.2438383549451828,0.4954058527946472,0.19856344163417816,0.2055644989013672,0.45010748505592346,0.20430970191955566
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.19376714527606964,0.38201746344566345,0.31509238481521606,0.3739250600337982,0.29348644614219666,0.20661775767803192,0.45503583550453186,0.23916715383529663
situation,0.4481324255466461,0.18516220152378082,0.22593308985233307,0.3290172815322876,0.3203280568122864,0.2996956706047058,0.25539255142211914,0.25651106238365173,0.29312780499458313,0.3826505243778229,0.2714049518108368
of,0.33290785551071167,0.18112817406654358,1.0,0.17478904128074646,0.3119818866252899,0.2939010560512543,0.5116966962814331,0.2094230204820633,0.19835850596427917,0.41548454761505127,0.1826142966747284
relatively,0.24081343412399292,0.19551675021648407,0.2916591167449951,0.20428307354450226,0.2948732376098633,0.2782366871833801,0.39721420407295227,0.09344227612018585,0.1297484040260315,0.3473149538040161,0.1281091868877411
stagnant,0.2158070057630539,0.09842336922883987,0.2744353413581848,0.24613013863563538,0.27650779485702515,0.1563376486301422,0.32700130343437195,0.1827537715435028,0.27906930446624756,0.2812415659427643,0.20977488160133362
wages,0.20351257920265198,0.11656995862722397,0.17478904128074646,1.0,0.22873397171497345,0.3549844026565552,0.2664845883846283,0.2680746912956238,0.12750306725502014,0.24337364733219147,0.19884631037712097
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.28834453225135803,0.35159170627593994,0.30877310037612915,0.5064792633056641,0.31334394216537476,0.29822173714637756,0.4451248347759247,0.264628142118454
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.15546856820583344,0.35928019881248474,0.3485445976257324,0.5171257257461548,0.25513768196105957,0.21995973587036133,0.535392165184021,0.22068053483963013
working,0.2846863269805908,0.15181533992290497,0.19986772537231445,0.3549249768257141,0.22897255420684814,0.31666019558906555,0.30510061979293823,0.2237228900194168,0.18042103946208954,0.28215980529785156,0.17154020071029663
class,0.16880196332931519,0.29117298126220703,0.19740594923496246,0.24197211861610413,0.11460405588150024,0.203543558716774,0.20710228383541107,0.17981833219528198,0.07655683904886246,0.18696844577789307,0.12778934836387634
amidst,0.18651680648326874,0.03851119428873062,0.3044624328613281,0.24505040049552917,0.12919127941131592,0.25434696674346924,0.21907685697078705,0.15570464730262756,0.21043148636817932,0.20189954340457916,0.1263405978679657
rising,0.18883290886878967,0.0632644072175026,0.27970030903816223,0.24519936740398407,0.12623584270477295,0.1656017005443573,0.2786417007446289,0.13122254610061646,0.18454408645629883,0.21663394570350647,0.07955946773290634
levels,0.21641245484352112,0.20811250805854797,0.23668165504932404,0.266968309879303,0.24911271035671234,0.2798483967781067,0.2956688106060028,0.239205002784729,0.1998414695262909,0.29053324460983276,0.1541307419538498
of,0.33290785551071167,0.18112817406654358,1.0,0.17478904128074646,0.3119818866252899,0.2939010560512543,0.5116966962814331,0.2094230204820633,0.19835850596427917,0.41548454761505127,0.1826142966747284
property,0.24978817999362946,0.217777818441391,0.2299845814704895,0.3095150887966156,0.20449848473072052,0.2744622826576233,0.26201775670051575,0.17551960051059723,0.049316488206386566,0.26292115449905396,0.16865147650241852
income,0.21837803721427917,0.16370734572410583,0.2581324577331543,0.5553869605064392,0.18851257860660553,0.23577825725078583,0.2518245577812195,0.20352895557880402,0.10506997257471085,0.27188464999198914,0.14935168623924255
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.28834453225135803,0.35159170627593994,0.30877310037612915,0.5064792633056641,0.31334394216537476,0.29822173714637756,0.4451248347759247,0.264628142118454
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.15546856820583344,0.35928019881248474,0.3485445976257324,0.5171257257461548,0.25513768196105957,0.21995973587036133,0.535392165184021,0.22068053483963013
capitalist,0.21623632311820984,0.138813778758049,0.1508098989725113,0.40461674332618713,0.21669161319732666,0.2555410861968994,0.248786062002182,0.19220414757728577,0.1928083598613739,0.19257381558418274,0.13302330672740936
class,0.16880196332931519,0.29117298126220703,0.19740594923496246,0.24197211861610413,0.11460405588150024,0.203543558716774,0.20710228383541107,0.17981833219528198,0.07655683904886246,0.18696844577789307,0.12778934836387634
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.22644665837287903,0.3022993505001068,0.22269032895565033,0.588965117931366,0.289605975151062,0.2305188626050949,0.4645031690597534,0.4130953550338745
