,what,did,the,v,&,a,present,in,july,1973,as,part,of,its,youth,outreach,programme,?
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.23905439674854279,1.0,0.26500701904296875,-0.18588787317276,0.3887844979763031,0.4499994218349457,0.5696388483047485,0.3793783485889435,0.271285742521286,0.19642440974712372,0.249719500541687,0.20430970191955566
july,0.22688010334968567,0.25485745072364807,0.2371699959039688,0.15998363494873047,0.13264240324497223,0.23807190358638763,0.1747124195098877,0.26500701904296875,1.0,-0.07531831413507462,0.2291463315486908,0.14294087886810303,0.19723743200302124,0.14621853828430176,0.1556444615125656,0.21671897172927856,0.17171604931354523,0.2897891402244568
1973,-0.22440221905708313,-0.23175965249538422,-0.22297891974449158,-0.052981603890657425,-0.04281218722462654,-0.13350971043109894,-0.09206773340702057,-0.18588787317276,-0.07531831413507462,1.0,-0.16359762847423553,-0.14589862525463104,-0.15240907669067383,-0.14871422946453094,0.07011893391609192,-0.21969839930534363,-0.10945472121238708,-0.07644321769475937
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.267320841550827,0.5201468467712402,0.4269406795501709,-0.14860835671424866,0.48816442489624023,0.3376222252845764,0.4946078956127167,0.33157986402511597,0.1725531816482544,0.28153344988822937,0.1642761528491974,0.31091248989105225
as,0.31749409437179565,0.3596470057964325,0.48381632566452026,0.10349564254283905,0.22134603559970856,0.39550232887268066,0.20965726673603058,0.3887844979763031,0.2291463315486908,-0.16359762847423553,1.0,0.2563304007053375,0.3886612355709076,0.31874480843544006,0.1967555433511734,0.3433694839477539,0.20169366896152496,0.27043893933296204
part,0.3476244807243347,0.23558001220226288,0.527681291103363,0.18010514974594116,0.1702250838279724,0.3994528353214264,0.21200285851955414,0.4499994218349457,0.14294087886810303,-0.14589862525463104,0.2563304007053375,1.0,0.452393114566803,0.3693010210990906,0.19353103637695312,0.15612126886844635,0.2585436701774597,0.08557961881160736
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.3116828501224518,0.5696388483047485,0.19723743200302124,-0.15240907669067383,0.3886612355709076,0.452393114566803,1.0,0.48690423369407654,0.2297523021697998,0.26800617575645447,0.18707643449306488,0.1826142966747284
its,0.30393704771995544,0.19922670722007751,0.559237003326416,0.1524200141429901,0.11429427564144135,0.4424409866333008,0.20400136709213257,0.3793783485889435,0.14621853828430176,-0.14871422946453094,0.31874480843544006,0.3693010210990906,0.48690423369407654,1.0,0.1835598200559616,0.28015971183776855,0.21303018927574158,0.15103481709957123
outreach,0.31097307801246643,0.22564315795898438,0.2691081166267395,0.13868780434131622,0.2048075795173645,0.18928001821041107,0.14075393974781036,0.19642440974712372,0.21671897172927856,-0.21969839930534363,0.3433694839477539,0.15612126886844635,0.26800617575645447,0.28015971183776855,0.29755285382270813,1.0000001192092896,0.39307087659835815,0.28824347257614136
programme,0.1876801699399948,0.1542370468378067,0.23601844906806946,0.12702685594558716,0.14956890046596527,0.22703689336776733,0.1774464100599289,0.249719500541687,0.17171604931354523,-0.10945472121238708,0.20169366896152496,0.2585436701774597,0.18707643449306488,0.21303018927574158,0.34402647614479065,0.39307087659835815,1.0000001192092896,0.139840766787529
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.2109750658273697,0.1254875510931015,0.45503583550453186,0.2453051209449768,0.45010748505592346,0.228788822889328,-0.2857922613620758,0.42092081904411316,0.2875264883041382,0.41548454761505127,0.3691340684890747,0.1984357386827469,0.33166491985321045,0.22052034735679626,0.29463258385658264
young,0.18808799982070923,0.2165858894586563,0.2729646563529968,0.1391567587852478,0.13613374531269073,0.2628135085105896,0.1495201289653778,0.24628505110740662,0.13316284120082855,-0.18713010847568512,0.2493147850036621,0.15750306844711304,0.28555598855018616,0.12650731205940247,0.39064645767211914,0.21180962026119232,0.25429198145866394,0.14931946992874146
people,0.32444337010383606,0.26765021681785583,0.36838498711586,0.12140196561813354,0.05482574179768562,0.3483705520629883,0.1488974541425705,0.39605680108070374,0.1869933009147644,-0.21309323608875275,0.15704652667045593,0.28057020902633667,0.3251037895679474,0.24203898012638092,0.21191729605197906,0.16931965947151184,0.20676688849925995,0.23739641904830933
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.267320841550827,0.5201468467712402,0.4269406795501709,-0.14860835671424866,0.48816442489624023,0.3376222252845764,0.4946078956127167,0.33157986402511597,0.1725531816482544,0.28153344988822937,0.1642761528491974,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.2829846143722534,0.6662389636039734,0.2371699959039688,-0.22297891974449158,0.48381632566452026,0.527681291103363,0.733189046382904,0.559237003326416,0.26209625601768494,0.2691081166267395,0.23601844906806946,0.22068053483963013
v,0.16628342866897583,0.17618848383426666,0.18580520153045654,1.0,0.10860954970121384,0.21861357986927032,0.15913373231887817,0.15216681361198425,0.15998363494873047,-0.052981603890657425,0.10349564254283905,0.18010514974594116,0.1655031144618988,0.1524200141429901,0.15390706062316895,0.13868780434131622,0.12702685594558716,0.28677162528038025
&,0.11141876131296158,0.160298690199852,0.14992168545722961,0.10860954970121384,0.9999998807907104,0.07266713678836823,0.0991305410861969,0.1358654648065567,0.13264240324497223,-0.04281218722462654,0.22134603559970856,0.1702250838279724,0.19900451600551605,0.11429427564144135,0.13694456219673157,0.2048075795173645,0.14956890046596527,0.12596383690834045
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.14277903735637665,0.539380669593811,0.23807190358638763,-0.13350971043109894,0.39550232887268066,0.3994528353214264,0.5052502155303955,0.4424409866333008,0.20697152614593506,0.18928001821041107,0.22703689336776733,0.23916715383529663
