,at,the,time,of,martin,luther,what,was,in,demand,?
published,0.16002829372882843,0.22017472982406616,0.21931201219558716,0.23023100197315216,0.10879221558570862,0.15444858372211456,0.20457668602466583,0.2896443009376526,0.26697060465812683,0.10295421630144119,0.16280238330364227
at,1.0,0.457212895154953,0.3956010341644287,0.42558613419532776,0.13322176039218903,0.13834704458713531,0.2838611304759979,0.36707764863967896,0.4374977946281433,0.21666553616523743,0.21978627145290375
a,0.3095070421695709,0.5829201340675354,0.3292340338230133,0.5052502155303955,0.2163310945034027,0.17967689037322998,0.3320399522781372,0.4508470594882965,0.539380669593811,0.2180943340063095,0.23916715383529663
time,0.3956010341644287,0.43061500787734985,0.9999998807907104,0.35127586126327515,0.17311564087867737,0.17623016238212585,0.36319252848625183,0.3641340136528015,0.3431483507156372,0.2507007122039795,0.27391523122787476
of,0.42558613419532776,0.733189046382904,0.35127586126327515,1.0,0.13722093403339386,0.1719115972518921,0.33290785551071167,0.4069072902202606,0.5696388483047485,0.2345065176486969,0.1826142966747284
rising,0.23512664437294006,0.34945452213287354,0.21833637356758118,0.27970030903816223,0.11867249757051468,0.13513296842575073,0.18883290886878967,0.22641846537590027,0.26222285628318787,0.2743090093135834,0.07955946773290634
demand,0.21666553616523743,0.27194610238075256,0.2507007122039795,0.2345065176486969,0.10968717932701111,0.1569545865058899,0.2007312774658203,0.19385457038879395,0.22946900129318237,1.0,0.13359291851520538
for,0.34237727522850037,0.4739971458911896,0.3992156386375427,0.4185989499092102,0.1178249642252922,0.12958186864852905,0.3017193675041199,0.3863949179649353,0.4322226941585541,0.3395264446735382,0.264628142118454
german-language,0.1942169964313507,0.3423222005367279,0.2263440638780594,0.28373149037361145,0.14093536138534546,0.18835099041461945,0.3196391463279724,0.23626956343650818,0.27308931946754456,0.254400372505188,0.3201836347579956
publications,0.16097590327262878,0.17345446348190308,0.21205836534500122,0.1714853048324585,0.15328718721866608,0.15344926714897156,0.18124917149543762,0.15005840361118317,0.19806735217571259,0.10176090151071548,0.20990557968616486
",",0.38314947485923767,0.4933079481124878,0.3029961884021759,0.4946078956127167,0.27058324217796326,0.23255878686904907,0.3087472915649414,0.45456063747406006,0.5201468467712402,0.25499746203422546,0.31091248989105225
luther,0.13834704458713531,0.1759674996137619,0.17623016238212585,0.1719115972518921,0.6228963136672974,1.0,0.2134782373905182,0.19185513257980347,0.20523880422115326,0.1569545865058899,0.1732746809720993
's,-0.08481216430664062,-0.01540423184633255,0.01301188487559557,-0.03817026689648628,0.07599356025457382,-0.009990512393414974,0.02692362666130066,0.008974763564765453,-0.037580832839012146,0.009128083474934101,-0.023395681753754616
version,0.1608579307794571,0.27268242835998535,0.2723047733306885,0.14166875183582306,0.1947876363992691,0.18143774569034576,0.20755547285079956,0.297456830739975,0.19599339365959167,0.2096811980009079,0.2573966085910797
quickly,0.27349552512168884,0.30366459488868713,0.2956734895706177,0.1989620476961136,0.12759767472743988,0.1543102264404297,0.27000871300697327,0.29671719670295715,0.24151866137981415,0.3250216841697693,0.18131443858146667
became,0.23894885182380676,0.36325156688690186,0.3099048137664795,0.3638904094696045,0.19664908945560455,0.18142570555210114,0.1434093862771988,0.6575068235397339,0.31047213077545166,0.1624957174062729,0.11374033987522125
a,0.3095070421695709,0.5829201340675354,0.3292340338230133,0.5052502155303955,0.2163310945034027,0.17967689037322998,0.3320399522781372,0.4508470594882965,0.539380669593811,0.2180943340063095,0.23916715383529663
popular,0.11804749071598053,0.2724021077156067,0.21377229690551758,0.25281813740730286,0.13252347707748413,0.1190042644739151,0.186283677816391,0.2916531562805176,0.3157482445240021,0.22436070442199707,0.13108457624912262
and,0.3571503460407257,0.5171257257461548,0.3025408685207367,0.5116966962814331,0.2544763386249542,0.20796556770801544,0.31309178471565247,0.3740963041782379,0.4954058527946472,0.3240898847579956,0.20544172823429108
influential,0.1312604695558548,0.2541041374206543,0.2993479371070862,0.35619789361953735,0.13314689695835114,0.132790207862854,0.21743842959403992,0.3755773901939392,0.2626776695251465,0.1478666067123413,0.1465693712234497
bible,0.17590057849884033,0.27647915482521057,0.20197834074497223,0.25664499402046204,0.2085125744342804,0.3825412392616272,0.33710888028144836,0.21726252138614655,0.17902518808841705,0.18477115035057068,0.22667601704597473
translation,0.12055686116218567,0.26402729749679565,0.18933874368667603,0.18704865872859955,0.10462567210197449,0.18200817704200745,0.22188860177993774,0.14417019486427307,0.1721324771642685,0.21872110664844513,0.22574150562286377
.,0.4549728035926819,0.5934505462646484,0.371569961309433,0.5352458953857422,0.25235527753829956,0.24907569587230682,0.3567904531955719,0.40146201848983765,0.5591574311256409,0.2543337345123291,0.4130953550338745
