,what,was,a,major,success,",",especially,in,rebuilding,warsaw,?
like,0.4320242702960968,0.19745829701423645,0.38655611872673035,0.2509731352329254,0.15840615332126617,0.4085598886013031,0.5133309960365295,0.31010183691978455,0.1081860363483429,0.12495487928390503,0.3268813192844391
many,0.36131182312965393,0.260356068611145,0.2872205972671509,0.2907782793045044,0.26071223616600037,0.40610817074775696,0.5876785516738892,0.41474202275276184,0.26375189423561096,0.1653265357017517,0.2124512493610382
cities,0.161918506026268,0.17598430812358856,0.18820415437221527,0.2587451636791229,0.1302565038204193,0.31927579641342163,0.264116495847702,0.32293570041656494,0.21807292103767395,0.19702404737472534,0.13339310884475708
in,0.30808621644973755,0.45514053106307983,0.539380669593811,0.3249945342540741,0.3020555078983307,0.5201468467712402,0.3526567816734314,1.0,0.3378548324108124,0.22642600536346436,0.20430970191955566
central,0.17723965644836426,0.21519865095615387,0.26925721764564514,0.23233041167259216,0.10930986702442169,0.2587154507637024,0.22394201159477234,0.30844059586524963,0.21734344959259033,0.19905970990657806,0.14787602424621582
and,0.31309178471565247,0.3740963041782379,0.3739250600337982,0.29795366525650024,0.2493283897638321,0.6633074283599854,0.47893428802490234,0.4954058527946472,0.27580758929252625,0.2083624005317688,0.20544172823429108
eastern,0.2263268083333969,0.23346775770187378,0.2322530597448349,0.21762019395828247,0.10959940403699875,0.3081906735897064,0.2608550190925598,0.3306356370449066,0.24814392626285553,0.20966091752052307,0.20060817897319794
europe,0.17179538309574127,0.2931758761405945,0.18710176646709442,0.22002781927585602,0.2705972492694855,0.2542513906955719,0.3876926004886627,0.33061710000038147,0.1729256808757782,0.2790890336036682,0.18278923630714417
",",0.3087472915649414,0.45456063747406006,0.427140474319458,0.29355156421661377,0.2008737027645111,1.0000001192092896,0.3689771592617035,0.5201468467712402,0.23980160057544708,0.25300899147987366,0.31091248989105225
infrastructure,0.23299327492713928,0.18155357241630554,0.2307283729314804,0.31606361269950867,0.22893698513507843,0.2647097706794739,0.2976301908493042,0.27765583992004395,0.4355163872241974,0.17965956032276154,0.15828795731067657
in,0.30808621644973755,0.45514053106307983,0.539380669593811,0.3249945342540741,0.3020555078983307,0.5201468467712402,0.3526567816734314,1.0,0.3378548324108124,0.22642600536346436,0.20430970191955566
warsaw,0.10373849421739578,0.2614976763725281,0.19591784477233887,0.1725679636001587,0.16446572542190552,0.25300899147987366,0.1502177119255066,0.22642600536346436,0.24343949556350708,1.0,0.09769917279481888
suffered,0.13741295039653778,0.3911045491695404,0.2735525667667389,0.22020280361175537,0.2538439929485321,0.24693666398525238,0.2519061863422394,0.277639776468277,0.2819805443286896,0.2365902215242386,0.08963493257761002
considerably,0.25564712285995483,0.24574948847293854,0.28244027495384216,0.20867373049259186,0.2632707953453064,0.2864159643650055,0.3809364140033722,0.2595204710960388,0.25941020250320435,0.14628249406814575,0.17679016292095184
during,0.24137552082538605,0.4470829963684082,0.30341604351997375,0.2254045009613037,0.2832576632499695,0.3225448727607727,0.3365590572357178,0.4627237319946289,0.3389659821987152,0.19431914389133453,0.1325719803571701
its,0.30393704771995544,0.3518870174884796,0.4424409866333008,0.24033352732658386,0.26805078983306885,0.33157986402511597,0.3254104256629944,0.3793783485889435,0.3086198568344116,0.19152112305164337,0.15103481709957123
time,0.36319252848625183,0.3641340136528015,0.3292340338230133,0.20891717076301575,0.28037136793136597,0.3029961884021759,0.35878831148147583,0.3431483507156372,0.2463478296995163,0.1637357622385025,0.27391523122787476
as,0.31749409437179565,0.3677520453929901,0.39550232887268066,0.20393970608711243,0.23974087834358215,0.48816442489624023,0.33781635761260986,0.3887844979763031,0.25714707374572754,0.14492812752723694,0.27043893933296204
an,0.2821882665157318,0.3694365322589874,0.44552403688430786,0.14518070220947266,0.14948700368404388,0.3581022024154663,0.20757271349430084,0.2605783939361572,0.1433614194393158,0.15493714809417725,0.19793890416622162
eastern,0.2263268083333969,0.23346775770187378,0.2322530597448349,0.21762019395828247,0.10959940403699875,0.3081906735897064,0.2608550190925598,0.3306356370449066,0.24814392626285553,0.20966091752052307,0.20060817897319794
bloc,0.21728333830833435,0.18848392367362976,0.24784760177135468,0.15586598217487335,0.22130179405212402,0.25832995772361755,0.24662570655345917,0.24785549938678741,0.1535060703754425,0.2905861735343933,0.12625090777873993
economy,0.21764783561229706,0.2389698028564453,0.24415728449821472,0.2406466156244278,0.24547864496707916,0.2521176040172577,0.30282747745513916,0.2588731348514557,0.30405667424201965,0.267183393239975,0.11486924439668655
–,0.13008765876293182,0.30754852294921875,0.1997407078742981,0.15572378039360046,0.16241727769374847,0.43221306800842285,0.13125227391719818,0.23687128722667694,0.17778608202934265,0.17540127038955688,0.2714554965496063
though,0.4089210331439972,0.34332048892974854,0.33230000734329224,0.20877325534820557,0.2678475081920624,0.42253127694129944,0.45893630385398865,0.3193182945251465,0.22519905865192413,0.14314691722393036,0.3188856542110443
it,0.45803478360176086,0.4577186405658722,0.5452592968940735,0.22329258918762207,0.26427826285362244,0.48329564929008484,0.3746242821216583,0.5130809545516968,0.2944590449333191,0.1582006961107254,0.25732165575027466
is,0.28837618231773376,0.5810302495956421,0.658733606338501,0.19079607725143433,0.1775658279657364,0.4691906273365021,0.32683345675468445,0.5394441485404968,0.18589507043361664,0.09741193056106567,0.22961433231830597
worth,0.319988876581192,0.20631952583789825,0.2423963099718094,0.1798698902130127,0.1734723150730133,0.3277861177921295,0.122942715883255,0.21340444684028625,0.20064282417297363,0.12268625199794769,0.3282513916492462
