,what,was,the,patent,number,for,tesla,'s,final,patent,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.18244080245494843,0.3024539053440094,0.4322226941585541,0.17097744345664978,-0.037580832839012146,0.25512343645095825,0.18244080245494843,0.20430970191955566
1928,0.09920497238636017,0.10012757778167725,0.13545922935009003,0.07650505006313324,0.07975228130817413,-0.028218159452080727,0.10047495365142822,0.07345806807279587,0.023672334849834442,0.07650505006313324,0.06493618339300156
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20812061429023743,0.2535701394081116,0.4464869201183319,0.20599327981472015,-0.0016132977325469255,0.24864837527275085,0.20812061429023743,0.31091248989105225
tesla,0.23221199214458466,0.16455206274986267,0.1324402391910553,0.3651154637336731,0.1560482233762741,0.13983871042728424,0.9999999403953552,0.06449045985937119,0.03650258481502533,0.3651154637336731,0.10250775516033173
received,0.1010502278804779,0.3745744526386261,0.24890556931495667,0.20042450726032257,0.17425402998924255,0.30396392941474915,0.1541121006011963,-0.07378163188695908,0.14363150298595428,0.20042450726032257,0.11905962228775024
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.1482684165239334,0.1706494837999344,0.39312878251075745,0.1580733060836792,0.047556519508361816,0.23884177207946777,0.1482684165239334,0.18075084686279297
last,0.23175878822803497,0.32424551248550415,0.3698786795139313,0.06450185924768448,0.2563440799713135,0.3043119013309479,0.03938830643892288,0.03682802617549896,0.4394223988056183,0.06450185924768448,0.22371746599674225
patent,0.17095203697681427,0.13812966644763947,0.1728275567293167,0.9999999403953552,0.17689743638038635,0.23913012444972992,0.3651154637336731,-0.021303649991750717,0.062297992408275604,0.9999999403953552,0.13298413157463074
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20812061429023743,0.2535701394081116,0.4464869201183319,0.20599327981472015,-0.0016132977325469255,0.24864837527275085,0.20812061429023743,0.31091248989105225
u.s.,0.11178889125585556,0.06837434321641922,0.06592652946710587,0.03179539367556572,0.03249349817633629,0.11615988612174988,0.018370212987065315,-0.015024582855403423,0.11211301386356354,0.03179539367556572,0.07886100560426712
patent,0.17095203697681427,0.13812966644763947,0.1728275567293167,0.9999999403953552,0.17689743638038635,0.23913012444972992,0.3651154637336731,-0.021303649991750717,0.062297992408275604,0.9999999403953552,0.13298413157463074
"1,655,114",-0.05964583158493042,0.08786357939243317,0.07277554273605347,0.18013720214366913,0.15797865390777588,0.12213239818811417,0.08083534985780716,0.001183460932224989,0.08837921172380447,0.18013720214366913,0.06531624495983124
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20812061429023743,0.2535701394081116,0.4464869201183319,0.20599327981472015,-0.0016132977325469255,0.24864837527275085,0.20812061429023743,0.31091248989105225
