,when,did,western,forces,invade,iraq,?
originating,0.2270207703113556,0.16153547167778015,0.24203051626682281,0.11136090010404587,0.27231669425964355,0.17808954417705536,0.1133110523223877
as,0.4437963366508484,0.3596470057964325,0.23040111362934113,0.1724308878183365,0.18133820593357086,0.18979857861995697,0.27043893933296204
the,0.5091903209686279,0.34736719727516174,0.37920868396759033,0.3134811818599701,0.3208954632282257,0.2386751025915146,0.22068053483963013
jama'at,0.21321235597133636,0.22050119936466217,0.19033010303974152,0.1868845522403717,0.13261601328849792,0.3881724774837494,0.2109089344739914
al-tawhid,0.25102755427360535,0.3178669810295105,0.18199726939201355,0.26774775981903076,0.22576583921909332,0.38590767979621887,0.39677947759628296
wal-jihad,0.1782623529434204,0.22958853840827942,0.24051953852176666,0.3445397615432739,0.273849755525589,0.5058522820472717,0.22138552367687225
in,0.4431333839893341,0.2593238651752472,0.35160520672798157,0.2565164566040039,0.279552161693573,0.2443525791168213,0.20430970191955566
1999,0.012987824156880379,0.08004042506217957,0.08437512814998627,0.2019466906785965,0.1395738124847412,0.16101866960525513,0.05416720360517502
",",0.36674630641937256,0.3015086054801941,0.27542921900749207,0.2544684410095215,0.2533637285232544,0.20734131336212158,0.31091248989105225
it,0.4775012135505676,0.2993364930152893,0.2993638515472412,0.19774912297725677,0.2701379656791687,0.19838161766529083,0.25732165575027466
pledged,0.23220564424991608,0.29594528675079346,0.18243201076984406,0.27635249495506287,0.23141010105609894,0.26607730984687805,0.18698956072330475
allegiance,0.2298869490623474,0.23339742422103882,0.20713847875595093,0.3720128536224365,0.3711104989051819,0.22682252526283264,0.10591092705726624
to,0.5423505902290344,0.4452643394470215,0.18838192522525787,0.2581802308559418,0.3294607102870941,0.18802489340305328,0.29463258385658264
al-qaeda,0.16748076677322388,0.18361106514930725,0.1397458016872406,0.32322177290916443,0.21225543320178986,0.4509291350841522,0.1877317875623703
in,0.4431333839893341,0.2593238651752472,0.35160520672798157,0.2565164566040039,0.279552161693573,0.2443525791168213,0.20430970191955566
2004,-0.2735671103000641,-0.11159943789243698,-0.15580151975154877,-0.10590052604675293,-0.13445144891738892,-0.12038831412792206,-0.15923042595386505
