,what,type,of,regime,ruled,over,sudan,for,many,years,?
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.16159093379974365,0.08581645786762238,0.3419422209262848,0.13463875651359558,0.9999999403953552,0.40972793102264404,0.2878222167491913,0.264628142118454
many,0.36131182312965393,0.19664129614830017,0.37253960967063904,0.2247951179742813,0.18226084113121033,0.47131630778312683,0.16638316214084625,0.40972793102264404,0.9999999403953552,0.2731519937515259,0.2124512493610382
years,0.1981470286846161,0.13421817123889923,0.2904134690761566,0.25732889771461487,0.3074394166469574,0.3751278817653656,0.16513729095458984,0.2878222167491913,0.2731519937515259,1.0,0.1914375126361847
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20407676696777344,0.25170713663101196,0.3301127254962921,0.22096991539001465,0.4464869201183319,0.40610817074775696,0.2589467465877533,0.31091248989105225
sudan,0.21907010674476624,0.14273500442504883,0.2110167294740677,0.24512968957424164,0.2557483911514282,0.23325110971927643,0.9999999403953552,0.13463875651359558,0.16638316214084625,0.16513729095458984,0.1607031673192978
had,0.23849567770957947,0.11302465945482254,0.37755560874938965,0.27010583877563477,0.3202840983867645,0.3937615752220154,0.1720253974199295,0.3270139992237091,0.40130746364593506,0.36797329783439636,0.20728366076946259
an,0.2821882665157318,0.21485474705696106,0.32280945777893066,0.13231351971626282,0.13287919759750366,0.22070914506912231,0.19156405329704285,0.3236706852912903,0.2465583086013794,0.17872706055641174,0.19793890416622162
islamist,0.17762082815170288,0.09872180223464966,0.19512814283370972,0.37900856137275696,0.24567876756191254,0.21942400932312012,0.4454425275325775,0.11837603896856308,0.18039032816886902,0.10959936678409576,0.14697067439556122
regime,0.17682157456874847,0.049605581909418106,0.21391896903514862,0.9999999403953552,0.32026877999305725,0.18793444335460663,0.24512968957424164,0.16159093379974365,0.2247951179742813,0.25732889771461487,0.15561191737651825
under,0.20154598355293274,0.15308783948421478,0.32766106724739075,0.26395732164382935,0.23363135755062103,0.343487948179245,0.21501079201698303,0.2930702269077301,0.21268652379512787,0.19817161560058594,0.18233340978622437
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23305538296699524,0.2668108344078064,0.39856547117233276,0.25359854102134705,0.4739971458911896,0.4335206151008606,0.2912273406982422,0.22068053483963013
leadership,0.2053566873073578,0.07446537911891937,0.26711535453796387,0.38851696252822876,0.2000584751367569,0.21873433887958527,0.22763516008853912,0.28100383281707764,0.2143079787492752,0.17270170152187347,0.08979988098144531
of,0.33290785551071167,0.18112817406654358,1.0,0.21391896903514862,0.29798635840415955,0.36136594414711,0.2110167294740677,0.4185989499092102,0.37253960967063904,0.2904134690761566,0.1826142966747284
hassan,0.19565419852733612,0.05772615224123001,0.15685701370239258,0.2840960621833801,0.17605899274349213,0.19433604180812836,0.3978152573108673,0.1625242978334427,0.09458368271589279,0.15850339829921722,0.20836053788661957
al-turabi,0.27403661608695984,0.12355600297451019,0.2028091698884964,0.3382790684700012,0.2480715811252594,0.22090023756027222,0.4046573340892792,0.2656698226928711,0.24782370030879974,0.23417790234088898,0.2665962874889374
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.18538424372673035,0.22453029453754425,0.37877383828163147,0.17688381671905518,0.4726039469242096,0.3974229395389557,0.31919315457344055,0.4130953550338745
