,who,was,the,first,american,to,win,the,nobel,memorial,prize,in,economic,sciences,?
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.22871561348438263,0.45010748505592346,0.2503834664821625,0.6662389636039734,0.19903117418289185,0.23096095025539398,0.21274791657924652,1.0,0.22027181088924408,0.28206580877304077,0.20430970191955566
economics,0.16666734218597412,0.19349418580532074,0.17465341091156006,0.13775141537189484,0.20081818103790283,0.22133201360702515,0.1804262399673462,0.17465341091156006,0.38195672631263733,0.15974754095077515,0.35975995659828186,0.19117838144302368,0.7812634110450745,0.514984130859375,0.15849412977695465
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.3048616647720337,0.44245919585227966,0.2999197840690613,0.4933079481124878,0.29036787152290344,0.21767763793468475,0.28670501708984375,0.5201468467712402,0.2340485155582428,0.2827865481376648,0.31091248989105225
notable,0.23320899903774261,0.175777867436409,0.20948168635368347,0.22214171290397644,0.23666658997535706,0.18140920996665955,0.16830600798130035,0.20948168635368347,0.15292397141456604,0.17794206738471985,0.14020182192325592,0.25145605206489563,0.09829194098711014,0.13806380331516266,0.31928157806396484
nobel,0.23225803673267365,0.2319665551185608,0.1909446120262146,0.25558412075042725,0.235658660531044,0.15889747440814972,0.24203380942344666,0.1909446120262146,1.0,0.2935994863510132,0.8436678051948547,0.19903117418289185,0.268719345331192,0.3850580155849457,0.15008176863193512
memorial,0.20190246403217316,0.23419618606567383,0.2865021228790283,0.21637898683547974,0.21270941197872162,0.12165825068950653,0.2373875081539154,0.2865021228790283,0.2935994863510132,0.9999999403953552,0.289666086435318,0.23096095025539398,0.15434186160564423,0.2716560959815979,0.13306879997253418
prize,0.20312342047691345,0.2402031123638153,0.18969248235225677,0.2189793735742569,0.25649237632751465,0.17568570375442505,0.32561349868774414,0.18969248235225677,0.8436678051948547,0.289666086435318,0.9999999403953552,0.21274791657924652,0.25545403361320496,0.35988906025886536,0.14158497750759125
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.22871561348438263,0.45010748505592346,0.2503834664821625,0.6662389636039734,0.19903117418289185,0.23096095025539398,0.21274791657924652,1.0,0.22027181088924408,0.28206580877304077,0.20430970191955566
economic,0.13431337475776672,0.1954469084739685,0.282455176115036,0.13375134766101837,0.17775806784629822,0.26856908202171326,0.16677114367485046,0.282455176115036,0.268719345331192,0.15434186160564423,0.25545403361320496,0.22027181088924408,0.9999999403953552,0.37946444749832153,0.1206481084227562
sciences,0.1502249389886856,0.2423371970653534,0.2625935673713684,0.15010377764701843,0.1792401820421219,0.2291899025440216,0.18208470940589905,0.2625935673713684,0.3850580155849457,0.2716560959815979,0.35988906025886536,0.28206580877304077,0.37946444749832153,0.9999999403953552,0.15002119541168213
