,which,conjecture,holds,that,every,even,integer,n,greater,than,2,can,be,expressed,as,a,sum,of,two,primes,?
one,0.510688066482544,0.2970489263534546,0.28645166754722595,0.5133185982704163,0.47272300720214844,0.4147960841655731,0.2613528370857239,0.23284418880939484,0.16132643818855286,0.43810948729515076,-0.038550082594156265,0.34032124280929565,0.4154875874519348,0.2535025477409363,0.3954789340496063,0.4910551905632019,0.2616148889064789,0.4999135136604309,0.6288198232650757,0.2931256592273712,0.2673267424106598
of,0.5011631846427917,0.21028703451156616,0.2644946873188019,0.41498205065727234,0.3414052724838257,0.34735506772994995,0.158325657248497,0.18925218284130096,0.34470728039741516,0.33036211133003235,-0.013777675107121468,0.2603091299533844,0.33904364705085754,0.2687252461910248,0.3886612355709076,0.5052502155303955,0.22365950047969818,1.0,0.37726253271102905,0.22199293971061707,0.1826142966747284
them,0.4958057701587677,0.16700974106788635,0.13468411564826965,0.5601773262023926,0.31070202589035034,0.5696951150894165,0.196238711476326,0.1027693897485733,0.21626333892345428,0.37931621074676514,-0.06775785237550735,0.4612884819507599,0.4282684326171875,0.24169135093688965,0.33716270327568054,0.3151612877845764,0.21807469427585602,0.34503093361854553,0.39589542150497437,0.241949200630188,0.35435691475868225
is,0.4457404911518097,0.29003211855888367,0.3216874897480011,0.3995479643344879,0.3428492546081543,0.28202980756759644,0.2086324691772461,0.2254602462053299,0.21338969469070435,0.2839990258216858,-0.07940074801445007,0.44256699085235596,0.4819129705429077,0.18876376748085022,0.43216490745544434,0.658733606338501,0.22143769264221191,0.4854315221309662,0.2315155267715454,0.2382466346025467,0.22961433231830597
goldbach,0.21869826316833496,0.4831385612487793,0.18769009411334991,0.27170032262802124,0.1754615753889084,0.1598975509405136,0.3132234513759613,0.16773244738578796,0.1672975718975067,0.17075692117214203,-0.04575006663799286,0.1608685851097107,0.22230930626392365,0.2062269002199173,0.2164699137210846,0.22033430635929108,0.24930039048194885,0.19600863754749298,0.2822816073894501,0.37099871039390564,0.2395816594362259
's,0.03856118768453598,-0.03307415544986725,0.016165124252438545,0.04397977516055107,0.04262643679976463,0.0353488028049469,0.023855846375226974,0.13510282337665558,0.06379587203264236,0.0585811510682106,0.10492397099733353,-0.02075597457587719,0.025217169895768166,-0.04779237508773804,-0.05775856226682663,0.04866964742541313,-0.011954233050346375,-0.03817026689648628,0.038143858313560486,0.011744771152734756,-0.023395681753754616
conjecture,0.21764017641544342,1.0,0.10084795206785202,0.33185112476348877,0.22560641169548035,0.24590171873569489,0.4808831214904785,0.2053423672914505,0.146732360124588,0.228083997964859,0.002628542250022292,0.23434816300868988,0.2526881992816925,0.302724689245224,0.19035784900188446,0.26609256863594055,0.3534153699874878,0.21028703451156616,0.19797132909297943,0.5185601711273193,0.23591084778308868
",",0.3658004403114319,0.2302503138780594,0.2214498221874237,0.4137537479400635,0.25988471508026123,0.34610581398010254,0.20468677580356598,0.2316582053899765,0.25035545229911804,0.3371901512145996,-0.08638399094343185,0.3139454126358032,0.39254459738731384,0.24414940178394318,0.48816442489624023,0.427140474319458,0.2446640431880951,0.4946078956127167,0.35859420895576477,0.29003697633743286,0.31091248989105225
which,1.0,0.21764017641544342,0.2967525124549866,0.6894589066505432,0.4810190498828888,0.4903149902820587,0.24863886833190918,0.1736065149307251,0.3080105781555176,0.3974681496620178,-0.044377245008945465,0.41132649779319763,0.476310670375824,0.2486652135848999,0.41006597876548767,0.56894451379776,0.29702430963516235,0.5011631846427917,0.4674137234687805,0.2975362241268158,0.25814583897590637
asserts,0.23435285687446594,0.2783588469028473,0.26269620656967163,0.33090683817863464,0.2110498547554016,0.2910785973072052,0.2280820608139038,0.17971816658973694,0.1836005598306656,0.2328602373600006,-0.03149658814072609,0.23190201818943024,0.2836478054523468,0.34137436747550964,0.31777021288871765,0.26332420110702515,0.18422305583953857,0.2932989299297333,0.1032160222530365,0.19943568110466003,0.2607457637786865
