,what,stretched,across,middle,europe,in,the,last,ice,age,?
a,0.3320399522781372,0.26128140091896057,0.2660536468029022,0.23820361495018005,0.18710176646709442,0.539380669593811,0.5829201340675354,0.2864423990249634,0.198673278093338,0.19297243654727936,0.23916715383529663
tundra,0.18485772609710693,0.1986091434955597,0.29374822974205017,0.1559995859861374,0.2731079161167145,0.20398490130901337,0.21247225999832153,0.16457004845142365,0.31260883808135986,0.1458703577518463,0.0926612988114357
",",0.3087472915649414,0.2627030313014984,0.22515052556991577,0.24847112596035004,0.2542513906955719,0.5201468467712402,0.4933079481124878,0.29026782512664795,0.23877936601638794,0.2693369388580322,0.31091248989105225
with,0.2464839518070221,0.24803408980369568,0.28731417655944824,0.1472902148962021,0.27254554629325867,0.4080928862094879,0.4223487675189972,0.1975114792585373,0.20981870591640472,0.1666649878025055,0.2433311939239502
ice,0.17764540016651154,0.14462435245513916,0.18313132226467133,0.1795981079339981,0.2194051593542099,0.18398158252239227,0.22322975099086761,0.1815238893032074,1.0000001192092896,0.26043158769607544,0.1261633038520813
age,0.1895245760679245,0.19084326922893524,0.09900203347206116,0.25346726179122925,0.21485373377799988,0.30576348304748535,0.24711290001869202,0.24636659026145935,0.26043158769607544,0.9999998807907104,0.16859300434589386
flora,0.13238652050495148,0.12176580727100372,0.16996175050735474,0.13133926689624786,0.19706405699253082,0.17919102311134338,0.20268896222114563,0.13450752198696136,0.13972941040992737,0.10743416100740433,0.1372746229171753
and,0.31309178471565247,0.27878671884536743,0.3308866024017334,0.2514324486255646,0.3463572859764099,0.4954058527946472,0.5171257257461548,0.25967320799827576,0.22802209854125977,0.20936404168605804,0.20544172823429108
fauna,0.20769596099853516,0.13328836858272552,0.1566348671913147,0.21681764721870422,0.242499440908432,0.1490572988986969,0.20522096753120422,0.18034033477306366,0.18627002835273743,0.21354863047599792,0.14254897832870483
",",0.3087472915649414,0.2627030313014984,0.22515052556991577,0.24847112596035004,0.2542513906955719,0.5201468467712402,0.4933079481124878,0.29026782512664795,0.23877936601638794,0.2693369388580322,0.31091248989105225
stretched,0.2521561086177826,1.0,0.46240749955177307,0.2685762643814087,0.2357092797756195,0.2617299258708954,0.3302689790725708,0.21323825418949127,0.14462435245513916,0.19084326922893524,0.13039647042751312
across,0.24809791147708893,0.46240749955177307,1.0,0.3224210739135742,0.34742245078086853,0.36988839507102966,0.3816230297088623,0.1370202749967575,0.18313132226467133,0.09900203347206116,0.17034576833248138
middle,0.18312302231788635,0.2685762643814087,0.3224210739135742,0.9999998807907104,0.3289397358894348,0.26767921447753906,0.3405749201774597,0.22498966753482819,0.1795981079339981,0.25346726179122925,0.13139553368091583
europe,0.17179538309574127,0.2357092797756195,0.34742245078086853,0.3289397358894348,1.0000001192092896,0.33061710000038147,0.34463706612586975,0.2198542058467865,0.2194051593542099,0.21485373377799988,0.18278923630714417
",",0.3087472915649414,0.2627030313014984,0.22515052556991577,0.24847112596035004,0.2542513906955719,0.5201468467712402,0.4933079481124878,0.29026782512664795,0.23877936601638794,0.2693369388580322,0.31091248989105225
from,0.2737620174884796,0.2799038887023926,0.35845574736595154,0.26505398750305176,0.18114914000034332,0.4274188280105591,0.40150508284568787,0.235591322183609,0.18989266455173492,0.2786767780780792,0.19969791173934937
