,where,does,the,lek,join,?
it,0.36972272396087646,0.34188351035118103,0.6251175999641418,0.0920485258102417,0.22181682288646698,0.25732165575027466
flows,0.23452386260032654,0.23165354132652283,0.32405155897140503,0.12090227752923965,0.27615150809288025,0.11636040359735489
farther,0.3719709813594818,0.19565676152706146,0.34515607357025146,0.07237240672111511,0.17324860394001007,0.08294608443975449
west,0.22786299884319305,0.14011532068252563,0.32918402552604675,0.19430656731128693,0.1868024319410324,0.12088293582201004
",",0.3149496018886566,0.28617382049560547,0.4933079481124878,0.23813486099243164,0.23633374273777008,0.31091248989105225
to,0.47735077142715454,0.4391997456550598,0.535392165184021,0.15606339275836945,0.34188714623451233,0.29463258385658264
rejoin,0.23531627655029297,0.18249383568763733,0.2916869819164276,0.2548687756061554,0.5681917667388916,0.14256323873996735
the,0.5003893971443176,0.35928019881248474,1.0,0.17809559404850006,0.3205963969230652,0.22068053483963013
noord,0.21886074542999268,0.08601289987564087,0.18337023258209229,0.4043615162372589,0.13722817599773407,0.1479606032371521
river,0.1886204034090042,0.14026834070682526,0.2894456386566162,0.16569136083126068,0.22124946117401123,0.15390869975090027
into,0.335035502910614,0.22312942147254944,0.39493247866630554,0.11873724311590195,0.31274712085723877,0.15662476420402527
the,0.5003893971443176,0.35928019881248474,1.0,0.17809559404850006,0.3205963969230652,0.22068053483963013
nieuwe,0.19518692791461945,0.06883466988801956,0.18349426984786987,0.47237080335617065,0.08021386712789536,0.10812246054410934
maas,0.12303487211465836,0.07573660463094711,0.1690772920846939,0.38151901960372925,0.1603872925043106,0.1508096158504486
and,0.43859338760375977,0.3461615741252899,0.5171257257461548,0.1458650678396225,0.319981187582016,0.20544172823429108
to,0.47735077142715454,0.4391997456550598,0.535392165184021,0.15606339275836945,0.34188714623451233,0.29463258385658264
the,0.5003893971443176,0.35928019881248474,1.0,0.17809559404850006,0.3205963969230652,0.22068053483963013
north,0.23586879670619965,0.11500263214111328,0.36298373341560364,0.14122863113880157,0.20842331647872925,0.11829731613397598
sea,0.18630823493003845,0.12523514032363892,0.30363768339157104,0.07866452634334564,0.13519521057605743,0.15551945567131042
.,0.41390106081962585,0.3022993505001068,0.5934505462646484,0.23659373819828033,0.2342308759689331,0.4130953550338745
