,where,was,montcalm,focusing,the,defense,for,new,france,?
montcalm,0.26574409008026123,0.26795694231987,1.0,0.06913817673921585,0.30913522839546204,0.1986689418554306,0.155609130859375,0.22727273404598236,0.4564112424850464,0.23564797639846802
focused,0.20195463299751282,0.26385003328323364,0.10850702971220016,0.7648905515670776,0.2969476580619812,0.25947004556655884,0.3021683692932129,0.18806573748588562,0.16683584451675415,0.1578395515680313
his,0.29880598187446594,0.4405253231525421,0.2442459762096405,0.24956807494163513,0.4394008219242096,0.22809889912605286,0.39312878251075745,0.24132801592350006,0.25797635316848755,0.18075084686279297
meager,0.2124071717262268,0.2832351326942444,0.337629497051239,0.21636751294136047,0.2280774712562561,0.11594284325838089,0.186496764421463,0.17403821647167206,0.18935814499855042,0.20725157856941223
resources,0.2098332643508911,0.14124581217765808,0.17745846509933472,0.3399887681007385,0.25734785199165344,0.2631036937236786,0.27550825476646423,0.1655859351158142,0.16376513242721558,0.26047492027282715
on,0.37630224227905273,0.3909217119216919,0.26119282841682434,0.35164666175842285,0.5107308030128479,0.1953054964542389,0.36199691891670227,0.31106263399124146,0.2042606770992279,0.2714994251728058
the,0.5003893971443176,0.48711544275283813,0.30913522839546204,0.25200846791267395,1.0,0.2604767382144928,0.4739971458911896,0.3845241069793701,0.35517507791519165,0.22068053483963013
defense,0.1199355348944664,0.2295428365468979,0.1986689418554306,0.22941184043884277,0.2604767382144928,1.0,0.2780293822288513,0.11747133731842041,0.13311049342155457,0.21935760974884033
of,0.38066378235816956,0.4069072902202606,0.30493322014808655,0.2925836443901062,0.733189046382904,0.27720823884010315,0.4185989499092102,0.343457967042923,0.3265724182128906,0.1826142966747284
the,0.5003893971443176,0.48711544275283813,0.30913522839546204,0.25200846791267395,1.0,0.2604767382144928,0.4739971458911896,0.3845241069793701,0.35517507791519165,0.22068053483963013
st.,0.21031931042671204,0.17142929136753082,0.20355908572673798,0.15533024072647095,0.18141359090805054,0.124471515417099,0.13670651614665985,0.09390232712030411,0.11618108302354813,0.13592876493930817
lawrence,0.24223731458187103,0.206548273563385,0.34271112084388733,0.08419869095087051,0.2352556735277176,0.11107448488473892,0.17504645884037018,0.17998512089252472,0.2363561987876892,0.1681434065103531
