,how,many,nations,control,this,region,in,total,?
this,0.45272302627563477,0.43532639741897583,0.21841782331466675,0.30516546964645386,0.9999999403953552,0.1878165900707245,0.45205554366111755,0.2632555067539215,0.3155723512172699
basin,0.08796394616365433,0.14774000644683838,0.15452904999256134,0.15886308252811432,0.16637787222862244,0.3233048915863037,0.22316701710224152,0.18786150217056274,0.14685653150081635
encompasses,0.25015243887901306,0.2706817090511322,0.24870245158672333,0.22194790840148926,0.3246779143810272,0.29748108983039856,0.29080134630203247,0.23029540479183197,0.16302801668643951
"7,000,000",0.08249156922101974,0.048968877643346786,0.04017684981226921,-0.006513363216072321,0.07834937423467636,-0.10314227640628815,0.1777539998292923,0.034283556044101715,0.03604179993271828
square,0.0836852416396141,0.2124457061290741,0.12311295419931412,0.12201327830553055,0.14187133312225342,0.1688937395811081,0.2193731665611267,0.2837706208229065,0.1201515942811966
kilometres,0.09419187903404236,0.1809600293636322,0.1629796028137207,0.09851642698049545,0.18757201731204987,0.35845282673835754,0.2448771744966507,0.25759822130203247,0.09185487031936646
(,0.1676948219537735,0.1455259770154953,0.1841966062784195,0.18417280912399292,0.3388223350048065,0.1544569879770279,0.3087427020072937,0.2282908409833908,0.40561532974243164
"2,700,000",0.23054200410842896,0.08436423540115356,0.12929867208003998,0.12342308461666107,0.19057093560695648,-0.03368128836154938,0.17962923645973206,0.04567888006567955,0.10398692637681961
sq,0.10252654552459717,0.09845415502786636,0.21204878389835358,0.12497804313898087,0.19080574810504913,0.26546844840049744,0.12230025231838226,0.305185467004776,0.18786261975765228
mi,0.0639447420835495,0.09143856912851334,0.16762056946754456,0.05661044269800186,0.18357637524604797,0.18604359030723572,0.09127891063690186,0.18841642141342163,0.10264865309000015
),0.17939934134483337,0.16602720320224762,0.1730961948633194,0.19527244567871094,0.3621573746204376,0.1620774269104004,0.3326910734176636,0.2389112114906311,0.42300865054130554
",",0.22659391164779663,0.40610817074775696,0.24394330382347107,0.20811550319194794,0.4316047728061676,0.2119160145521164,0.5201468467712402,0.25815486907958984,0.31091248989105225
of,0.2480744868516922,0.37253960967063904,0.27521562576293945,0.2817542552947998,0.45148900151252747,0.2852717339992523,0.5696388483047485,0.29045331478118896,0.1826142966747284
which,0.4852597713470459,0.5168171525001526,0.2513706684112549,0.31846651434898376,0.6719430088996887,0.2328231930732727,0.4840516746044159,0.32373151183128357,0.25814583897590637
"5,500,000",0.16298940777778625,0.10569936782121658,0.1286633163690567,0.07743764668703079,0.14150172472000122,0.2029309719800949,0.22613520920276642,0.20606081187725067,0.05729814991354942
square,0.0836852416396141,0.2124457061290741,0.12311295419931412,0.12201327830553055,0.14187133312225342,0.1688937395811081,0.2193731665611267,0.2837706208229065,0.1201515942811966
kilometres,0.09419187903404236,0.1809600293636322,0.1629796028137207,0.09851642698049545,0.18757201731204987,0.35845282673835754,0.2448771744966507,0.25759822130203247,0.09185487031936646
(,0.1676948219537735,0.1455259770154953,0.1841966062784195,0.18417280912399292,0.3388223350048065,0.1544569879770279,0.3087427020072937,0.2282908409833908,0.40561532974243164
"2,100,000",0.06217952072620392,-0.015705429017543793,0.0919538140296936,-0.008589384146034718,0.07922239601612091,0.12580780684947968,0.13858424127101898,0.10653671622276306,0.05887901782989502
sq,0.10252654552459717,0.09845415502786636,0.21204878389835358,0.12497804313898087,0.19080574810504913,0.26546844840049744,0.12230025231838226,0.305185467004776,0.18786261975765228
mi,0.0639447420835495,0.09143856912851334,0.16762056946754456,0.05661044269800186,0.18357637524604797,0.18604359030723572,0.09127891063690186,0.18841642141342163,0.10264865309000015
),0.17939934134483337,0.16602720320224762,0.1730961948633194,0.19527244567871094,0.3621573746204376,0.1620774269104004,0.3326910734176636,0.2389112114906311,0.42300865054130554
are,0.311818927526474,0.5655534863471985,0.20875512063503265,0.174149289727211,0.35762670636177063,0.20011243224143982,0.3841303884983063,0.2363838106393814,0.24591213464736938
covered,0.15735739469528198,0.3388194143772125,0.1684550642967224,0.14986945688724518,0.3048153519630432,0.19185620546340942,0.27591216564178467,0.1699226200580597,0.139833465218544
by,0.34370526671409607,0.3409687578678131,0.18318814039230347,0.2360290139913559,0.38438332080841064,0.15175513923168182,0.370934396982193,0.20661480724811554,0.17966607213020325
the,0.33890387415885925,0.4335206151008606,0.3506215214729309,0.32841500639915466,0.6274310946464539,0.35020557045936584,0.6662389636039734,0.27068960666656494,0.22068053483963013
rainforest,0.15943723917007446,0.30444011092185974,0.19016636908054352,0.12463206797838211,0.23467609286308289,0.25668972730636597,0.2207682877779007,0.135764941573143,0.1917492002248764
.,0.3287222981452942,0.3974229395389557,0.2933122515678406,0.24319837987422943,0.500583827495575,0.2506107687950134,0.5591574311256409,0.2295650690793991,0.4130953550338745
,how,many,nations,control,this,region,in,total,?
this,0.45272302627563477,0.43532639741897583,0.21841782331466675,0.30516546964645386,0.9999999403953552,0.1878165900707245,0.45205554366111755,0.2632555067539215,0.3155723512172699
region,0.15155482292175293,0.17234529554843903,0.24415259063243866,0.1929112672805786,0.1878165900707245,1.0,0.3524819314479828,0.18781934678554535,0.13441751897335052
includes,0.14845652878284454,0.2885901629924774,0.1850494146347046,0.15486754477024078,0.30890586972236633,0.2058115452528,0.32460328936576843,0.22296608984470367,0.14011523127555847
territory,0.12335657328367233,0.1730227917432785,0.3367512822151184,0.28864094614982605,0.2112988531589508,0.34902453422546387,0.2756796181201935,0.16524001955986023,0.09435105323791504
belonging,0.14198614656925201,0.2524978816509247,0.16938422620296478,0.23276448249816895,0.274249404668808,0.21297289431095123,0.2926333546638489,0.1688622683286667,0.0745176300406456
to,0.44169697165489197,0.40243685245513916,0.26476410031318665,0.28164729475975037,0.5759071707725525,0.24118299782276154,0.45010748505592346,0.22792020440101624,0.29463258385658264
nine,0.1557593196630478,0.3415135145187378,0.2525802254676819,0.10142146050930023,0.2512604892253876,0.13900132477283478,0.303353875875473,0.3302602469921112,0.13964155316352844
nations,0.19878381490707397,0.26099729537963867,0.9999998807907104,0.17629355192184448,0.21841782331466675,0.24415259063243866,0.259304404258728,0.19393134117126465,0.20999202132225037
.,0.3287222981452942,0.3974229395389557,0.2933122515678406,0.24319837987422943,0.500583827495575,0.2506107687950134,0.5591574311256409,0.2295650690793991,0.4130953550338745
