,photosynthesis,uses,which,energy,to,for,oxygen,from,water,?
oxygen,0.5679547190666199,0.20267243683338165,0.3166238069534302,0.4261608421802521,0.24193501472473145,0.22718772292137146,0.9999999403953552,0.23457925021648407,0.4692627191543579,0.16786395013332367
is,0.22769613564014435,0.41359779238700867,0.4457404911518097,0.2171693742275238,0.42745086550712585,0.43268078565597534,0.21825239062309265,0.27355384826660156,0.2879090905189514,0.22961433231830597
used,0.256893515586853,0.645188570022583,0.414506196975708,0.18094463646411896,0.40058770775794983,0.4236139953136444,0.21276918053627014,0.25821518898010254,0.2721066176891327,0.22430120408535004
in,0.2557604908943176,0.2516363263130188,0.4840516746044159,0.17693158984184265,0.45010748505592346,0.4322226941585541,0.1672476977109909,0.4274188280105591,0.23966141045093536,0.20430970191955566
cellular,0.5653448104858398,0.16641046106815338,0.29538100957870483,0.36088821291923523,0.16043607890605927,0.1848229616880417,0.41241124272346497,0.1582397073507309,0.17981185019016266,0.16428864002227783
respiration,0.615482747554779,0.2602809965610504,0.3642996847629547,0.42549076676368713,0.2922604978084564,0.27999183535575867,0.5477889776229858,0.2900363802909851,0.3908284604549408,0.17575538158416748
and,0.2529959976673126,0.2964407801628113,0.506277859210968,0.23934243619441986,0.48971283435821533,0.5064792633056641,0.22261030972003937,0.3601827025413513,0.3054247498512268,0.20544172823429108
released,0.19958829879760742,0.19313475489616394,0.2545137405395508,0.19887827336788177,0.21765387058258057,0.2211005687713623,0.17016007006168365,0.19112130999565125,0.14932259917259216,0.20329579710960388
by,0.2082122266292572,0.19318048655986786,0.40543368458747864,0.1721600890159607,0.33534231781959534,0.3248702883720398,0.1292176991701126,0.3373257517814636,0.22562243044376373,0.17966607213020325
photosynthesis,0.9999999403953552,0.23142023384571075,0.4035046100616455,0.5107198357582092,0.30760520696640015,0.23681029677391052,0.5679547190666199,0.25484031438827515,0.45553916692733765,0.1871609091758728
",",0.22675302624702454,0.28387847542762756,0.3658004403114319,0.21156731247901917,0.44245919585227966,0.4464869201183319,0.21812842786312103,0.39760664105415344,0.26706066727638245,0.31091248989105225
which,0.4035046100616455,0.33155566453933716,1.0,0.29086095094680786,0.5345056653022766,0.44095608592033386,0.3166238069534302,0.38755592703819275,0.3689718246459961,0.25814583897590637
uses,0.23142023384571075,1.0,0.33155566453933716,0.2482183426618576,0.3010925054550171,0.39873167872428894,0.20267243683338165,0.24393776059150696,0.20436689257621765,0.18407079577445984
the,0.27159422636032104,0.2830192744731903,0.6521818041801453,0.26756542921066284,0.535392165184021,0.4739971458911896,0.20428593456745148,0.40150508284568787,0.297396719455719,0.22068053483963013
energy,0.5107198357582092,0.2482183426618576,0.29086095094680786,1.0000001192092896,0.27179354429244995,0.21083484590053558,0.4261608421802521,0.19871577620506287,0.3831130266189575,0.14860127866268158
of,0.26824626326560974,0.2738003432750702,0.5011631846427917,0.26257598400115967,0.41548454761505127,0.4185989499092102,0.16848602890968323,0.4249346852302551,0.2741255462169647,0.1826142966747284
sunlight,0.6353356838226318,0.25709113478660583,0.30345839262008667,0.4616783559322357,0.2936643958091736,0.2106977105140686,0.4877612292766571,0.22103910148143768,0.5045588612556458,0.17698515951633453
to,0.30760520696640015,0.3010925054550171,0.5345056653022766,0.27179354429244995,1.0,0.4451248347759247,0.24193501472473145,0.4069952368736267,0.27858173847198486,0.29463258385658264
produce,0.5029282569885254,0.28862816095352173,0.44459521770477295,0.36468130350112915,0.30018290877342224,0.24403390288352966,0.2946869134902954,0.20224905014038086,0.30732572078704834,0.19229066371917725
oxygen,0.5679547190666199,0.20267243683338165,0.3166238069534302,0.4261608421802521,0.24193501472473145,0.22718772292137146,0.9999999403953552,0.23457925021648407,0.4692627191543579,0.16786395013332367
from,0.25484031438827515,0.24393776059150696,0.38755592703819275,0.19871577620506287,0.4069952368736267,0.314039945602417,0.23457925021648407,1.0,0.197988361120224,0.19969791173934937
water,0.45553916692733765,0.20436689257621765,0.3689718246459961,0.3831130266189575,0.27858173847198486,0.189085453748703,0.4692627191543579,0.197988361120224,0.9999998807907104,0.14731885492801666
.,0.26637518405914307,0.30030930042266846,0.45942068099975586,0.22292809188365936,0.4645031690597534,0.4726039469242096,0.2554275095462799,0.41536515951156616,0.26634910702705383,0.4130953550338745
