,who,was,boleslaw,ii,of,masovia,?
after,0.32549580931663513,0.49306565523147583,0.250048965215683,0.20194965600967407,0.3867455720901489,0.18528620898723602,0.16608688235282898
jazdów,0.15483878552913666,0.2962380647659302,0.3895348608493805,0.2526073455810547,0.28392234444618225,0.42988672852516174,0.1926601231098175
was,0.3318818509578705,1.0000001192092896,0.26278772950172424,0.25630512833595276,0.4069072902202606,0.2602479159832001,0.18412111699581146
raided,0.233647882938385,0.2927231788635254,0.19568997621536255,0.29094070196151733,0.2929002046585083,0.22909565269947052,0.0814773216843605
by,0.39727845788002014,0.4752357602119446,0.12159885466098785,0.25569188594818115,0.3646814823150635,0.1799798160791397,0.17966607213020325
nearby,0.24343042075634003,0.21162067353725433,0.12526072561740875,0.1844453066587448,0.2392946183681488,0.319479763507843,0.07977716624736786
clans,0.2956386208534241,0.12382829934358597,0.21149958670139313,0.16931533813476562,0.2845551371574402,0.2085193693637848,0.1368861049413681
and,0.41279885172843933,0.3740963041782379,0.23307377099990845,0.27599602937698364,0.5116966962814331,0.2545245885848999,0.20544172823429108
dukes,0.20349343121051788,0.20445600152015686,0.3627125918865204,0.22301636636257172,0.26280146837234497,0.36463284492492676,0.09325318783521652
",",0.3365725874900818,0.45456063747406006,0.3090040981769562,0.27159881591796875,0.4946078956127167,0.32082808017730713,0.31091248989105225
a,0.36608949303627014,0.4508470594882965,0.27660033106803894,0.2111874669790268,0.5052502155303955,0.2050645649433136,0.23916715383529663
new,0.2378052920103073,0.2748313844203949,0.20488016307353973,0.19002428650856018,0.343457967042923,0.13324958086013794,0.14782847464084625
similar,0.20777717232704163,0.20839861035346985,0.07299754023551941,0.15201914310455322,0.2911645472049713,0.13447177410125732,0.23309361934661865
settlement,0.14946594834327698,0.2632548213005066,0.2220720499753952,0.11703728884458542,0.25982165336608887,0.3301641047000885,0.12535437941551208
was,0.3318818509578705,1.0000001192092896,0.26278772950172424,0.25630512833595276,0.4069072902202606,0.2602479159832001,0.18412111699581146
established,0.20118318498134613,0.26515325903892517,0.17298421263694763,0.11994921416044235,0.2735237777233124,0.19640956819057465,0.15917523205280304
on,0.2340552806854248,0.3909217119216919,0.1313367784023285,0.1556067317724228,0.3966929316520691,0.14063401520252228,0.2714994251728058
the,0.3733934462070465,0.48711544275283813,0.1966986507177353,0.2631464898586273,0.733189046382904,0.2862490713596344,0.22068053483963013
site,0.16435565054416656,0.24460934102535248,0.0929238349199295,0.19275790452957153,0.24291633069515228,0.14794421195983887,0.2014765441417694
of,0.2827862501144409,0.4069072902202606,0.2332138568162918,0.2844806909561157,1.0,0.33703452348709106,0.1826142966747284
a,0.36608949303627014,0.4508470594882965,0.27660033106803894,0.2111874669790268,0.5052502155303955,0.2050645649433136,0.23916715383529663
small,0.23894593119621277,0.16572418808937073,0.153275728225708,0.09559918195009232,0.353353351354599,0.27680903673171997,0.13914890587329865
