,who,conceptualized,the,aeolipile,?
the,0.3733934462070465,0.26421067118644714,1.0,0.3294985890388489,0.22068053483963013
history,0.22458811104297638,0.19306020438671112,0.33215048909187317,0.28979063034057617,0.2501974403858185
of,0.2827862501144409,0.3012929856777191,0.733189046382904,0.3360348343849182,0.1826142966747284
the,0.3733934462070465,0.26421067118644714,1.0,0.3294985890388489,0.22068053483963013
steam,0.1786653995513916,0.16331584751605988,0.23105813562870026,0.2948964536190033,0.113324373960495
engine,0.1543407142162323,0.23467378318309784,0.21651263535022736,0.28505370020866394,0.17739196121692657
stretches,0.08515199273824692,0.2088947892189026,0.35279056429862976,0.38557425141334534,0.10829897224903107
back,0.2667590379714966,0.10486854612827301,0.3612101674079895,0.2599821984767914,0.2397768795490265
as,0.3923053741455078,0.27031102776527405,0.48381632566452026,0.18664559721946716,0.27043893933296204
far,0.24308858811855316,0.16411519050598145,0.38564538955688477,0.2741653025150299,0.2170870453119278
as,0.3923053741455078,0.27031102776527405,0.48381632566452026,0.18664559721946716,0.27043893933296204
the,0.3733934462070465,0.26421067118644714,1.0,0.3294985890388489,0.22068053483963013
first,0.39065709710121155,0.2797163128852844,0.49448907375335693,0.2015862762928009,0.18701928853988647
century,0.2990973889827728,0.2677712142467499,0.3617299497127533,0.24817068874835968,0.1026201918721199
ad,0.1504530906677246,0.1358882635831833,0.24233382940292358,0.22909165918827057,0.20824462175369263
;,0.007937713526189327,0.07509680837392807,0.09152708947658539,0.018978852778673172,0.10349778085947037
the,0.3733934462070465,0.26421067118644714,1.0,0.3294985890388489,0.22068053483963013
first,0.39065709710121155,0.2797163128852844,0.49448907375335693,0.2015862762928009,0.18701928853988647
recorded,0.18934021890163422,0.20166699588298798,0.2759207487106323,0.19217728078365326,0.19213420152664185
rudimentary,0.2270260751247406,0.4085589051246643,0.22738124430179596,0.33783912658691406,0.18648070096969604
steam,0.1786653995513916,0.16331584751605988,0.23105813562870026,0.2948964536190033,0.113324373960495
engine,0.1543407142162323,0.23467378318309784,0.21651263535022736,0.28505370020866394,0.17739196121692657
being,0.44037187099456787,0.29472291469573975,0.419739305973053,0.20433084666728973,0.26743772625923157
the,0.3733934462070465,0.26421067118644714,1.0,0.3294985890388489,0.22068053483963013
aeolipile,0.22355791926383972,0.35323694348335266,0.3294985890388489,0.9999998807907104,0.28034335374832153
described,0.24653644859790802,0.4483114778995514,0.2878154516220093,0.251354843378067,0.1374269425868988
by,0.39727845788002014,0.3145090639591217,0.4408751428127289,0.19796201586723328,0.17966607213020325
greek,0.22956052422523499,0.265506386756897,0.23564283549785614,0.33413153886795044,0.11180876195430756
mathematician,0.2499830722808838,0.3334980905056,0.1224498599767685,0.2400682121515274,0.11787978559732437
hero,0.3189622759819031,0.2191309779882431,0.19534069299697876,0.23590977489948273,0.141077920794487
of,0.2827862501144409,0.3012929856777191,0.733189046382904,0.3360348343849182,0.1826142966747284
alexandria,0.20338787138462067,0.20805102586746216,0.2427685707807541,0.27135589718818665,0.16482815146446228
.,0.3541337847709656,0.23320487141609192,0.5934505462646484,0.30782440304756165,0.4130953550338745
