,which,lineage,includes,land,plants,?
the,0.6521818041801453,0.2478068619966507,0.3388250470161438,0.28587454557418823,0.29499560594558716,0.22068053483963013
second,0.336174339056015,0.18501980602741241,0.12109461426734924,0.16221317648887634,0.09673459082841873,0.17239587008953094
two,0.4674137234687805,0.2255152314901352,0.2128845751285553,0.1647292673587799,0.21344639360904694,0.19645625352859497
are,0.42922598123550415,0.23236465454101562,0.4409101605415344,0.1816364973783493,0.35990846157073975,0.24591213464736938
the,0.6521818041801453,0.2478068619966507,0.3388250470161438,0.28587454557418823,0.29499560594558716,0.22068053483963013
largest,0.29749369621276855,0.23820166289806366,0.3250115215778351,0.191390261054039,0.19646592438220978,0.12401245534420013
",",0.3658004403114319,0.1862419843673706,0.3228004276752472,0.22220008075237274,0.2555769681930542,0.31091248989105225
and,0.506277859210968,0.18835565447807312,0.3265656530857086,0.2874513864517212,0.3052898943424225,0.20544172823429108
the,0.6521818041801453,0.2478068619966507,0.3388250470161438,0.28587454557418823,0.29499560594558716,0.22068053483963013
green,0.23538582026958466,0.1431964486837387,0.14444585144519806,0.1462491899728775,0.2864342927932739,0.11409882456064224
chloroplast,0.35653066635131836,0.32536736130714417,0.1385311633348465,0.18229438364505768,0.5447878837585449,0.12532055377960205
lineage,0.27365240454673767,1.0,0.22933530807495117,0.15360485017299652,0.32829225063323975,0.1394401341676712
is,0.4457404911518097,0.17703697085380554,0.4033885896205902,0.22457899153232574,0.2423158437013626,0.22961433231830597
the,0.6521818041801453,0.2478068619966507,0.3388250470161438,0.28587454557418823,0.29499560594558716,0.22068053483963013
one,0.510688066482544,0.24081246554851532,0.2742621898651123,0.19078339636325836,0.19641777873039246,0.2673267424106598
that,0.6894589066505432,0.21197539567947388,0.21996237337589264,0.256797194480896,0.27574244141578674,0.32716336846351624
contains,0.3896391689777374,0.2099798023700714,0.5199559926986694,0.08249153196811676,0.3207014203071594,0.15215006470680237
the,0.6521818041801453,0.2478068619966507,0.3388250470161438,0.28587454557418823,0.29499560594558716,0.22068053483963013
land,0.2834632992744446,0.15360485017299652,0.20287930965423584,1.0000001192092896,0.3157452344894409,0.1432059109210968
plants,0.3458610773086548,0.32829225063323975,0.313100129365921,0.3157452344894409,1.0,0.1473488062620163
.,0.45942068099975586,0.1666526049375534,0.19033969938755035,0.259204238653183,0.2542511522769928,0.4130953550338745
