,what,did,the,last,few,of,the,boilerplate,csm,launches,carry,with,them,?
the,0.42745697498321533,0.34736719727516174,1.0,0.3698786795139313,0.34660017490386963,0.733189046382904,1.0,0.2695338726043701,0.15609420835971832,0.26606911420822144,0.26752355694770813,0.4223487675189972,0.4788833558559418,0.22068053483963013
last,0.23175878822803497,0.30895525217056274,0.3698786795139313,1.0,0.355864554643631,0.3052992522716522,0.3698786795139313,0.18923407793045044,0.15943169593811035,0.1603778451681137,0.1571488380432129,0.1975114792585373,0.26444244384765625,0.22371746599674225
three,0.24888746440410614,0.2043166607618332,0.43452659249305725,0.23876327276229858,0.42692831158638,0.3844621181488037,0.43452659249305725,0.1792721450328827,0.10414951294660568,0.14173732697963715,0.17238779366016388,0.35964319109916687,0.3433641195297241,0.20928427577018738
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.3052992522716522,0.2682102620601654,1.0,0.733189046382904,0.19810763001441956,0.15882812440395355,0.22261865437030792,0.23692575097084045,0.41827285289764404,0.34503093361854553,0.1826142966747284
these,0.4164220690727234,0.38755595684051514,0.49086877703666687,0.23928019404411316,0.5252386331558228,0.42684608697891235,0.49086877703666687,0.3198336958885193,0.15130145847797394,0.17994773387908936,0.359192430973053,0.37595367431640625,0.6229331493377686,0.2571668326854706
further,0.30867868661880493,0.216647207736969,0.32531118392944336,0.16067008674144745,0.26622629165649414,0.24797867238521576,0.32531118392944336,0.1995915323495865,0.11760209500789642,0.1777508705854416,0.18949651718139648,0.20288193225860596,0.3301449120044708,0.20960763096809387
supported,0.16402992606163025,0.3048703968524933,0.27276676893234253,0.1951853483915329,0.2044885903596878,0.30414751172065735,0.27276676893234253,0.1576857566833496,0.17274485528469086,0.24988318979740143,0.17961513996124268,0.2909988462924957,0.22774764895439148,0.11593948304653168
the,0.42745697498321533,0.34736719727516174,1.0,0.3698786795139313,0.34660017490386963,0.733189046382904,1.0,0.2695338726043701,0.15609420835971832,0.26606911420822144,0.26752355694770813,0.4223487675189972,0.4788833558559418,0.22068053483963013
apollo,0.13561789691448212,0.1976410299539566,0.2169172167778015,0.19937099516391754,0.1768188625574112,0.1786269098520279,0.2169172167778015,0.1890483796596527,0.44091352820396423,0.3553328514099121,0.2052871137857437,0.1249200850725174,0.20912344753742218,0.191528782248497
program,0.25047802925109863,0.18915289640426636,0.22986935079097748,0.16244477033615112,0.17154332995414734,0.17376001179218292,0.22986935079097748,0.2569935917854309,0.35814520716667175,0.3266546428203583,0.14242546260356903,0.14732027053833008,0.2023521065711975,0.1440187245607376
by,0.2455483376979828,0.18574509024620056,0.4408751428127289,0.24441376328468323,0.24547836184501648,0.3646814823150635,0.4408751428127289,0.18884718418121338,0.08329558372497559,0.16594932973384857,0.14549952745437622,0.39731505513191223,0.35830166935920715,0.17966607213020325
also,0.42747777700424194,0.39334940910339355,0.6021018624305725,0.3057452142238617,0.37525537610054016,0.4924938678741455,0.6021018624305725,0.2557924687862396,0.13028749823570251,0.16554486751556396,0.2869444191455841,0.44397303462028503,0.48266860842704773,0.21848613023757935
carrying,0.14636102318763733,0.14129848778247833,0.24629071354866028,0.12341932207345963,0.18998153507709503,0.2647595703601837,0.24629071354866028,0.24145539104938507,0.27114763855934143,0.2932244539260864,0.6933835744857788,0.2465982437133789,0.27504608035087585,0.1526285707950592
pegasus,0.09876807034015656,0.11042187362909317,0.18383702635765076,0.14857076108455658,0.07927286624908447,0.13332834839820862,0.18383702635765076,0.1470460295677185,0.2602803409099579,0.32746294140815735,0.22083131968975067,0.18256571888923645,0.23584666848182678,0.13457128405570984
satellites,0.1955558806657791,0.20184746384620667,0.22091621160507202,0.11473574489355087,0.1716754287481308,0.1548984944820404,0.22091621160507202,0.2649361789226532,0.38851261138916016,0.4725238084793091,0.2153945416212082,0.12890014052391052,0.29125866293907166,0.18280646204948425
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.29026782512664795,0.32531002163887024,0.4946078956127167,0.4933079481124878,0.21238775551319122,0.20636554062366486,0.18217921257019043,0.1951419711112976,0.4120737314224243,0.3985835015773773,0.31091248989105225
which,0.5261979103088379,0.2750149369239807,0.6521818041801453,0.2768070101737976,0.339163601398468,0.5011631846427917,0.6521818041801453,0.3926713764667511,0.1713857203722,0.1912434697151184,0.3581438362598419,0.46403205394744873,0.4958057701587677,0.25814583897590637
verified,0.2454034686088562,0.22328567504882812,0.21752820909023285,0.2844833731651306,0.2459372729063034,0.1795356571674347,0.21752820909023285,0.29723063111305237,0.1901264786720276,0.136854887008667,0.09561989456415176,0.1939670443534851,0.2391507625579834,0.3340679705142975
the,0.42745697498321533,0.34736719727516174,1.0,0.3698786795139313,0.34660017490386963,0.733189046382904,1.0,0.2695338726043701,0.15609420835971832,0.26606911420822144,0.26752355694770813,0.4223487675189972,0.4788833558559418,0.22068053483963013
safety,0.1898718774318695,0.19075745344161987,0.25972458720207214,0.1482333242893219,0.1532731056213379,0.18446403741836548,0.25972458720207214,0.25685352087020874,0.25148603320121765,0.2073391228914261,0.24861444532871246,0.2208736687898636,0.26246681809425354,0.1443338692188263
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.3052992522716522,0.2682102620601654,1.0,0.733189046382904,0.19810763001441956,0.15882812440395355,0.22261865437030792,0.23692575097084045,0.41827285289764404,0.34503093361854553,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,1.0,0.3698786795139313,0.34660017490386963,0.733189046382904,1.0,0.2695338726043701,0.15609420835971832,0.26606911420822144,0.26752355694770813,0.4223487675189972,0.4788833558559418,0.22068053483963013
translunar,0.26625320315361023,0.14291997253894806,0.33685752749443054,0.1924818605184555,0.2148292511701584,0.26793456077575684,0.33685752749443054,0.41900497674942017,0.4147883951663971,0.3067207336425781,0.2853822112083435,0.20394432544708252,0.2577579915523529,0.23503059148788452
environment,0.213022843003273,0.10747723281383514,0.25819888710975647,0.12136922031641006,0.2323649376630783,0.2659151554107666,0.25819888710975647,0.2813996374607086,0.23458872735500336,0.20307320356369019,0.17015129327774048,0.2171572744846344,0.2625202536582947,0.19478057324886322
by,0.2455483376979828,0.18574509024620056,0.4408751428127289,0.24441376328468323,0.24547836184501648,0.3646814823150635,0.4408751428127289,0.18884718418121338,0.08329558372497559,0.16594932973384857,0.14549952745437622,0.39731505513191223,0.35830166935920715,0.17966607213020325
measuring,0.2584631145000458,0.12658174335956573,0.29231998324394226,0.0896768569946289,0.19116997718811035,0.30754444003105164,0.29231998324394226,0.24409280717372894,0.15868709981441498,0.2132292538881302,0.21862955391407013,0.27038273215293884,0.229771688580513,0.16787901520729065
the,0.42745697498321533,0.34736719727516174,1.0,0.3698786795139313,0.34660017490386963,0.733189046382904,1.0,0.2695338726043701,0.15609420835971832,0.26606911420822144,0.26752355694770813,0.4223487675189972,0.4788833558559418,0.22068053483963013
frequency,0.2807137370109558,0.13498257100582123,0.20417852699756622,0.18059176206588745,0.13687431812286377,0.1939978003501892,0.20417852699756622,0.35461390018463135,0.24097059667110443,0.15480412542819977,0.2403077930212021,0.18958339095115662,0.15609925985336304,0.17067383229732513
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.25967320799827576,0.39845648407936096,0.5116966962814331,0.5171257257461548,0.22493964433670044,0.15724779665470123,0.20145733654499054,0.2731964588165283,0.5477725267410278,0.48717668652534485,0.20544172823429108
