,who,is,the,gallery,of,indian,art,named,after,?
the,0.3733934462070465,0.5823672413825989,1.0,0.19251246750354767,0.733189046382904,0.23407642543315887,0.20297785103321075,0.3521348536014557,0.4565047025680542,0.22068053483963013
jawaharlal,0.2889655530452728,0.14788997173309326,0.28519392013549805,0.17565518617630005,0.30938291549682617,0.501230776309967,0.15947842597961426,0.18609945476055145,0.28986242413520813,0.13757126033306122
nehru,0.22970978915691376,0.1886955052614212,0.27794164419174194,0.193845734000206,0.2770204246044159,0.41175949573516846,0.19332276284694672,0.17868579924106598,0.2815113365650177,0.12532828748226166
gallery,0.16549232602119446,0.15374112129211426,0.19251246750354767,1.0,0.1971534639596939,0.12652727961540222,0.5883238911628723,0.16579706966876984,0.12969814240932465,0.18202216923236847
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.1971534639596939,1.0,0.24303589761257172,0.22648051381111145,0.2820465862751007,0.3867455720901489,0.1826142966747284
indian,0.27032554149627686,0.18886174261569977,0.23407642543315887,0.12652727961540222,0.24303589761257172,1.0000001192092896,0.19208523631095886,0.14505484700202942,0.12263122946023941,0.09909533709287643
art,0.14986436069011688,0.17386884987354279,0.20297785103321075,0.5883238911628723,0.22648051381111145,0.19208523631095886,1.0,0.09400837123394012,0.14912347495555878,0.138971745967865
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.21593497693538666,0.4946078956127167,0.2407594621181488,0.2700960636138916,0.2530003488063812,0.38860568404197693,0.31091248989105225
opened,0.1488369107246399,0.15947836637496948,0.28544309735298157,0.249263733625412,0.16720551252365112,0.05962550640106201,0.15857157111167908,0.2936915457248688,0.2920805811882019,0.1934700310230255
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.21665531396865845,0.5696388483047485,0.17715758085250854,0.2282189577817917,0.28130269050598145,0.44050168991088867,0.20430970191955566
1991,0.230638325214386,-0.05684731900691986,0.002508036559447646,-0.0260637030005455,-0.004689669236540794,0.07512599974870682,0.016362324357032776,-0.04457448050379753,0.11277498304843903,0.175977423787117
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.21593497693538666,0.4946078956127167,0.2407594621181488,0.2700960636138916,0.2530003488063812,0.38860568404197693,0.31091248989105225
contains,0.053160976618528366,0.4272567629814148,0.2846323549747467,0.1795414686203003,0.34575599431991577,0.1269691288471222,0.0848543792963028,0.2058834731578827,0.10504573583602905,0.15215006470680237
art,0.14986436069011688,0.17386884987354279,0.20297785103321075,0.5883238911628723,0.22648051381111145,0.19208523631095886,1.0,0.09400837123394012,0.14912347495555878,0.138971745967865
from,0.27839982509613037,0.27355384826660156,0.40150508284568787,0.16936369240283966,0.4249346852302551,0.17991270124912262,0.2182932198047638,0.1969364881515503,0.4051513373851776,0.19969791173934937
about,0.3477841317653656,0.3532065451145172,0.37995871901512146,0.22910408675670624,0.40939709544181824,0.17080625891685486,0.18744216859340668,0.18947507441043854,0.2603839039802551,0.302409827709198
500,-0.0594085194170475,0.051658064126968384,-0.031206801533699036,0.003103306982666254,-0.027781937271356583,0.08676906675100327,-0.013868540525436401,-0.03559349849820137,-0.07648451626300812,0.05473969131708145
bc,0.17401666939258575,0.16060546040534973,0.2513079047203064,0.11938711255788803,0.2062062919139862,0.16233354806900024,0.1662627011537552,0.09896454960107803,0.1880713552236557,0.1382298320531845
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.19736915826797485,0.41548454761505127,0.19344423711299896,0.22068513929843903,0.23689822852611542,0.37890323996543884,0.29463258385658264
the,0.3733934462070465,0.5823672413825989,1.0,0.19251246750354767,0.733189046382904,0.23407642543315887,0.20297785103321075,0.3521348536014557,0.4565047025680542,0.22068053483963013
19th,0.165800079703331,0.21349595487117767,0.24964287877082825,0.08199995011091232,0.16605104506015778,0.14305588603019714,0.11339211463928223,0.15897385776042938,0.1467827409505844,0.004712673369795084
century,0.2990973889827728,0.20648397505283356,0.3617299497127533,0.13014641404151917,0.2826060354709625,0.17188650369644165,0.16697418689727783,0.18404826521873474,0.195833221077919,0.1026201918721199
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.21326512098312378,0.5352458953857422,0.2388933300971985,0.21795564889907837,0.24760639667510986,0.35870397090911865,0.4130953550338745
